"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","17,83","17,49","17,85","17,44","13,30M","0,96%"
"12.07.2021","17,66","17,51","17,72","17,29","15,60M","1,73%"
"08.07.2021","17,36","17,47","17,63","17,27","17,90M","-2,31%"
"07.07.2021","17,77","17,69","17,90","17,56","25,12M","1,25%"
"06.07.2021","17,55","17,74","17,86","17,32","34,03M","-2,17%"
"05.07.2021","17,94","17,42","18,00","17,36","18,76M","2,93%"
"02.07.2021","17,43","17,39","17,63","17,25","24,23M","1,34%"
"01.07.2021","17,20","16,86","17,32","16,82","39,10M","0,76%"
"30.06.2021","17,07","17,15","17,46","17,02","28,81M","-1,27%"
"29.06.2021","17,29","17,35","17,50","16,90","46,90M","-1,20%"
"28.06.2021","17,50","17,17","17,65","17,00","41,28M","3,24%"
"25.06.2021","16,95","17,83","18,00","16,95","58,05M","-5,57%"
"24.06.2021","17,95","18,10","18,10","17,72","21,47M","-0,22%"
"23.06.2021","17,99","18,13","18,42","17,90","21,71M","-1,64%"
"22.06.2021","18,29","18,57","18,67","18,07","32,40M","-2,35%"
"21.06.2021","18,73","18,70","18,88","18,56","12,97M","-0,16%"
"18.06.2021","18,76","18,92","19,09","18,64","27,05M","-1,32%"
"17.06.2021","19,01","19,11","19,52","18,82","22,05M","-0,42%"
"16.06.2021","19,09","19,14","19,35","19,00","36,17M","-0,21%"
"15.06.2021","19,13","19,45","19,45","19,13","12,41M","-1,80%"
"14.06.2021","19,48","19,03","19,50","18,99","22,13M","2,85%"
"11.06.2021","18,94","19,24","19,39","18,84","30,93M","-1,97%"
"10.06.2021","19,32","19,43","19,47","19,09","17,11M","0,05%"
"09.06.2021","19,31","19,59","19,76","19,28","24,61M","-1,43%"
"08.06.2021","19,59","19,47","19,86","19,37","23,18M","-0,05%"
"07.06.2021","19,60","19,32","19,82","19,19","27,86M","1,14%"
"04.06.2021","19,38","19,30","19,46","19,06","33,81M","0,05%"
"02.06.2021","19,37","18,77","19,66","18,62","60,39M","3,20%"
"01.06.2021","18,77","17,99","18,98","17,92","59,96M","4,57%"
"31.05.2021","17,95","17,74","17,95","17,71","10,08M","0,56%"
"28.05.2021","17,85","17,59","17,94","17,50","17,29M","0,90%"
"27.05.2021","17,69","17,38","17,69","17,20","41,85M","1,26%"
"26.05.2021","17,47","17,75","17,80","17,32","16,06M","-0,80%"
"25.05.2021","17,61","17,76","17,80","17,53","13,93M","-0,11%"
"24.05.2021","17,63","17,61","17,74","17,44","13,81M","0,11%"
"21.05.2021","17,61","17,55","17,63","17,23","27,23M","0,40%"
"20.05.2021","17,54","17,55","17,64","17,37","21,30M","-0,11%"
"19.05.2021","17,56","17,37","17,60","17,33","17,51M","0,80%"
"18.05.2021","17,42","17,35","17,59","17,26","15,70M","0,11%"
"17.05.2021","17,40","17,23","17,53","17,10","16,76M","1,28%"
"14.05.2021","17,18","17,10","17,33","17,06","20,86M","1,78%"
"13.05.2021","16,88","17,00","17,14","16,76","19,27M","0,06%"
"12.05.2021","16,87","16,65","17,23","16,65","35,43M","0,00%"
"11.05.2021","16,87","16,35","17,00","16,25","25,64M","2,24%"
"10.05.2021","16,50","16,15","16,65","16,09","28,98M","1,79%"
"07.05.2021","16,21","16,19","16,33","16,00","22,16M","0,19%"
"06.05.2021","16,18","15,84","16,29","15,72","72,97M","8,88%"
"05.05.2021","14,86","14,65","14,92","14,57","17,99M","1,50%"
"04.05.2021","14,64","14,74","14,80","14,54","16,85M","-1,08%"
"03.05.2021","14,80","14,92","14,99","14,61","25,09M","-0,94%"
"30.04.2021","14,94","15,20","15,30","14,91","29,55M","-2,10%"
"29.04.2021","15,26","15,21","15,46","15,21","14,18M","0,33%"
"28.04.2021","15,21","15,30","15,41","15,18","11,69M","-0,52%"
"27.04.2021","15,29","15,51","15,60","15,21","17,91M","-1,92%"
"26.04.2021","15,59","15,60","15,85","15,48","19,00M","-1,64%"
"23.04.2021","15,85","15,98","16,05","15,82","22,49M","-0,31%"
"22.04.2021","15,90","15,89","16,11","15,66","22,66M","1,79%"
"20.04.2021","15,62","15,67","15,80","15,53","12,56M","-0,70%"
"19.04.2021","15,73","15,54","16,07","15,51","19,96M","-0,44%"
"16.04.2021","15,80","15,79","15,96","15,72","13,48M","-0,44%"
"15.04.2021","15,87","15,79","16,03","15,72","17,61M","0,38%"
"14.04.2021","15,81","15,64","15,90","15,62","21,46M","1,15%"
"13.04.2021","15,63","15,50","15,74","15,37","19,41M","0,77%"
"12.04.2021","15,51","15,50","15,60","15,36","11,97M","0,98%"
"09.04.2021","15,36","15,22","15,64","15,21","16,67M","-0,58%"
"08.04.2021","15,45","15,20","15,67","15,14","19,14M","1,51%"
"07.04.2021","15,22","15,23","15,43","15,09","11,78M","-1,10%"
"06.04.2021","15,39","15,27","15,48","15,16","12,58M","0,79%"
"05.04.2021","15,27","15,13","15,39","15,10","20,92M","1,80%"
"01.04.2021","15,00","15,39","15,40","14,99","15,79M","-1,90%"
"31.03.2021","15,29","15,60","15,67","15,29","14,53M","-1,92%"
"30.03.2021","15,59","15,13","15,73","15,08","15,12M","1,90%"
"29.03.2021","15,30","15,07","15,37","15,01","13,69M","0,99%"
"26.03.2021","15,15","15,01","15,33","14,99","16,39M","1,07%"
"25.03.2021","14,99","14,74","15,12","14,71","21,54M","1,28%"
"24.03.2021","14,80","15,01","15,29","14,76","25,25M","-1,86%"
"23.03.2021","15,08","15,41","15,55","15,08","15,93M","-2,96%"
"22.03.2021","15,54","15,29","15,68","15,28","22,10M","0,32%"
"19.03.2021","15,49","15,35","15,63","15,28","32,51M","1,24%"
"18.03.2021","15,30","15,25","15,44","15,16","20,23M","-0,78%"
"17.03.2021","15,42","15,02","15,46","14,81","23,78M","2,46%"
"16.03.2021","15,05","15,23","15,32","14,91","16,87M","-1,63%"
"15.03.2021","15,30","14,97","15,30","14,95","11,17M","1,80%"
"12.03.2021","15,03","14,94","15,23","14,93","17,81M","-0,40%"
"11.03.2021","15,09","15,37","15,60","15,03","19,42M","-1,18%"
"10.03.2021","15,27","15,23","15,31","14,83","37,41M","0,73%"
"09.03.2021","15,16","14,60","15,27","14,53","31,12M","3,20%"
"08.03.2021","14,69","14,79","15,25","14,63","40,36M","-2,59%"
"05.03.2021","15,08","14,95","15,35","14,90","39,95M","2,03%"
"04.03.2021","14,78","14,35","14,83","14,26","37,83M","4,30%"
"03.03.2021","14,17","13,94","14,45","13,63","40,19M","1,29%"
"02.03.2021","13,99","13,51","14,17","13,35","42,90M","1,60%"
"01.03.2021","13,77","14,16","14,28","13,77","19,85M","-1,78%"
"26.02.2021","14,02","14,21","14,38","14,00","33,97M","-1,06%"
"25.02.2021","14,17","14,68","14,75","14,17","33,16M","-3,47%"
"24.02.2021","14,68","14,70","14,79","14,50","16,39M","-0,07%"
"23.02.2021","14,69","14,66","14,84","14,42","28,90M","0,75%"
"22.02.2021","14,58","14,56","14,89","14,33","39,44M","-2,08%"
"19.02.2021","14,89","14,76","15,01","14,66","25,72M","0,68%"
"18.02.2021","14,79","15,19","15,22","14,79","30,82M","-3,14%"
"17.02.2021","15,27","15,18","15,40","15,01","30,69M","3,25%"
"12.02.2021","14,79","14,89","14,97","14,75","17,54M","-1,07%"
"11.02.2021","14,95","15,12","15,22","14,83","17,22M","-0,40%"
"10.02.2021","15,01","15,00","15,12","14,88","25,62M","0,33%"
"09.02.2021","14,96","14,85","15,14","14,82","16,17M","0,13%"
"08.02.2021","14,94","15,54","15,57","14,87","35,73M","-3,74%"
"05.02.2021","15,52","15,68","15,82","15,51","11,34M","-0,51%"
"04.02.2021","15,60","15,59","15,78","15,45","12,95M","-0,51%"
"03.02.2021","15,68","15,70","15,92","15,62","17,83M","0,45%"
"02.02.2021","15,61","15,87","16,30","15,43","34,64M","0,06%"
"01.02.2021","15,60","15,36","15,70","15,22","22,24M","3,24%"
"29.01.2021","15,11","15,40","15,67","15,07","23,14M","-2,77%"
"28.01.2021","15,54","15,39","15,76","15,26","20,21M","0,97%"
"27.01.2021","15,39","15,40","15,59","15,17","27,44M","-0,06%"
"26.01.2021","15,40","15,21","15,69","15,19","28,71M","1,65%"
"22.01.2021","15,15","15,42","15,55","14,95","36,12M","-2,95%"
"21.01.2021","15,61","15,95","16,07","15,49","23,06M","-2,56%"
"20.01.2021","16,02","16,32","16,39","15,90","18,32M","-1,54%"
"19.01.2021","16,27","16,29","16,34","15,98","16,98M","0,31%"
"18.01.2021","16,22","16,16","16,48","16,02","13,98M","1,69%"
"15.01.2021","15,95","16,02","16,27","15,93","27,74M","-1,91%"
"14.01.2021","16,26","16,12","16,43","16,05","17,18M","0,56%"
"13.01.2021","16,17","16,50","16,62","15,98","44,07M","-3,75%"
"12.01.2021","16,80","16,17","16,91","16,17","30,60M","4,35%"
"11.01.2021","16,10","16,41","16,59","16,05","23,62M","-2,60%"
"08.01.2021","16,53","16,10","16,75","16,03","30,18M","2,99%"
"07.01.2021","16,05","16,03","16,24","15,91","32,54M","0,00%"
"06.01.2021","16,05","15,66","16,23","15,63","28,37M","1,52%"
"05.01.2021","15,81","15,37","16,02","15,23","37,11M","2,13%"
"04.01.2021","15,48","15,79","15,85","15,38","17,84M","-1,09%"
"30.12.2020","15,65","16,05","16,10","15,65","19,43M","-1,88%"
"29.12.2020","15,95","15,90","16,01","15,78","13,64M","1,14%"
"28.12.2020","15,77","15,57","15,94","15,50","11,96M","1,74%"
"23.12.2020","15,50","15,58","15,73","15,50","11,56M","-0,06%"
"22.12.2020","15,51","15,50","15,75","15,47","15,41M","0,58%"
"21.12.2020","15,42","15,65","15,79","15,31","24,88M","-2,77%"
"18.12.2020","15,86","15,74","16,05","15,64","33,24M","1,37%"
"17.12.2020","15,65","15,41","15,69","15,30","58,33M","1,52%"
"16.12.2020","15,41","15,20","15,57","15,00","36,87M","1,67%"
"15.12.2020","15,16","14,98","15,43","14,93","19,88M","1,57%"
"14.12.2020","14,93","15,18","15,26","14,88","21,90M","-1,16%"
"11.12.2020","15,10","15,26","15,39","14,93","31,87M","-1,21%"
"10.12.2020","15,29","14,97","15,51","14,96","144,06M","2,82%"
"09.12.2020","14,87","14,63","14,89","14,58","23,97M","1,40%"
"08.12.2020","14,66","14,53","14,79","14,38","23,40M","0,53%"
"07.12.2020","14,58","14,54","14,84","14,47","25,16M","1,56%"
"04.12.2020","14,36","14,36","14,43","14,18","18,36M","0,27%"
"03.12.2020","14,32","14,36","14,48","13,93","32,92M","-1,21%"
"02.12.2020","14,50","14,23","14,55","14,11","18,29M","1,36%"
"01.12.2020","14,30","13,73","14,36","13,72","26,70M","5,01%"
"30.11.2020","13,62","14,05","14,13","13,62","41,88M","-2,37%"
"27.11.2020","13,95","14,11","14,22","13,95","17,50M","-0,69%"
"26.11.2020","14,05","14,02","14,21","13,98","10,46M","-0,48%"
"25.11.2020","14,12","14,37","14,37","14,11","19,14M","-1,76%"
"24.11.2020","14,37","14,34","14,71","14,23","30,06M","0,61%"
"23.11.2020","14,28","14,18","14,34","13,92","23,47M","1,81%"
"20.11.2020","14,03","14,28","14,34","14,03","18,51M","-2,24%"
"19.11.2020","14,35","14,52","14,71","14,28","30,03M","-0,74%"
"18.11.2020","14,46","15,08","15,14","14,43","31,70M","-4,01%"
"17.11.2020","15,06","14,89","15,29","14,72","32,06M","0,65%"
"16.11.2020","14,96","14,88","15,05","14,63","24,43M","1,65%"
"13.11.2020","14,72","14,31","14,82","14,18","31,18M","3,35%"
"12.11.2020","14,24","14,52","14,66","14,14","28,78M","-1,88%"
"11.11.2020","14,52","14,81","14,86","14,37","44,07M","-2,04%"
"10.11.2020","14,82","13,75","14,86","13,74","88,02M","6,96%"
"09.11.2020","13,85","13,45","13,88","13,27","57,33M","7,32%"
"06.11.2020","12,91","12,86","13,14","12,79","20,84M","-0,60%"
"05.11.2020","12,99","12,75","13,02","12,62","23,25M","3,98%"
"04.11.2020","12,49","12,64","12,79","12,44","32,13M","0,31%"
"03.11.2020","12,45","12,08","12,53","12,03","40,58M","4,93%"
"30.10.2020","11,87","12,36","12,52","11,87","46,21M","-5,51%"
"29.10.2020","12,56","13,15","13,22","12,29","79,34M","-3,59%"
"28.10.2020","13,03","13,10","13,21","12,84","30,52M","-2,55%"
"27.10.2020","13,37","13,87","13,89","13,28","30,91M","-3,38%"
"26.10.2020","13,83","13,50","14,04","13,50","35,22M","2,23%"
"23.10.2020","13,53","13,23","13,54","13,16","25,31M","2,36%"
"22.10.2020","13,22","13,06","13,22","12,92","21,00M","1,50%"
