"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","16,94","16,66","16,95","16,54","10,53M","1,38%"
"12.07.2021","16,71","16,25","16,75","16,21","29,21M","3,47%"
"08.07.2021","16,15","16,00","16,28","15,90","24,65M","-0,74%"
"07.07.2021","16,27","16,06","16,29","15,92","22,93M","2,20%"
"06.07.2021","15,92","16,08","16,18","15,81","43,42M","-1,18%"
"05.07.2021","16,11","16,32","16,40","16,11","15,87M","-1,89%"
"02.07.2021","16,42","16,50","16,56","16,27","48,65M","0,61%"
"01.07.2021","16,32","16,70","16,83","16,24","44,96M","-2,97%"
"30.06.2021","16,82","16,81","16,89","16,70","28,21M","-1,29%"
"29.06.2021","17,04","16,93","17,11","16,85","27,29M","0,29%"
"28.06.2021","16,99","16,79","16,99","16,60","36,00M","1,80%"
"25.06.2021","16,69","16,99","17,08","16,44","48,82M","-1,77%"
"24.06.2021","16,99","17,10","17,20","16,85","27,03M","-0,18%"
"23.06.2021","17,02","16,90","17,22","16,90","30,51M","0,18%"
"22.06.2021","16,99","17,00","17,10","16,80","39,43M","-0,47%"
"21.06.2021","17,07","17,34","17,43","16,92","36,82M","-1,78%"
"18.06.2021","17,38","17,12","17,40","17,07","66,43M","1,22%"
"17.06.2021","17,17","17,06","17,17","16,89","54,40M","1,54%"
"16.06.2021","16,91","16,67","17,25","16,65","108,74M","1,44%"
"15.06.2021","16,67","16,38","16,76","16,28","67,30M","2,14%"
"14.06.2021","16,32","16,24","16,45","16,17","48,98M","1,18%"
"11.06.2021","16,13","16,08","16,25","15,82","66,54M","0,81%"
"10.06.2021","16,00","16,45","16,53","15,71","104,89M","-2,44%"
"09.06.2021","16,40","16,40","16,45","15,81","111,77M","0,43%"
"08.06.2021","16,33","17,17","17,23","16,28","87,92M","-5,55%"
"07.06.2021","17,29","17,20","17,30","17,03","29,79M","0,29%"
"04.06.2021","17,24","17,01","17,39","17,00","48,71M","1,35%"
"02.06.2021","17,01","17,24","17,29","16,62","132,78M","-3,90%"
"01.06.2021","17,70","17,70","17,96","17,55","53,44M","0,91%"
"31.05.2021","17,54","17,36","17,63","17,30","22,46M","0,34%"
"28.05.2021","17,48","16,96","17,48","16,92","33,83M","2,94%"
"27.05.2021","16,98","17,17","17,18","16,79","66,89M","-0,70%"
"26.05.2021","17,10","17,18","17,33","16,98","24,04M","0,59%"
"25.05.2021","17,00","17,48","17,60","16,82","60,97M","-2,58%"
"24.05.2021","17,45","17,35","17,53","17,22","27,49M","0,58%"
"21.05.2021","17,35","17,34","17,40","16,96","31,47M","0,58%"
"20.05.2021","17,25","17,29","17,36","17,14","21,80M","0,17%"
"19.05.2021","17,22","17,15","17,40","17,08","24,64M","-0,46%"
"18.05.2021","17,30","17,57","17,70","17,30","21,07M","-1,59%"
"17.05.2021","17,58","18,00","18,00","17,47","23,54M","-1,51%"
"14.05.2021","17,85","17,56","18,02","17,40","40,52M","3,48%"
"13.05.2021","17,25","17,29","17,57","17,20","44,41M","0,49%"
"12.05.2021","17,17","17,34","17,51","17,11","34,95M","-2,55%"
"11.05.2021","17,62","17,44","17,64","17,39","44,95M","-0,84%"
"10.05.2021","17,77","17,61","17,86","17,48","32,70M","-0,07%"
"07.05.2021","17,78","17,15","17,85","17,14","61,17M","5,00%"
