"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","25,01","25,07","25,16","24,82","15,95M","-0,79%"
"12.07.2021","25,21","24,72","25,36","24,69","31,72M","2,52%"
"08.07.2021","24,59","24,49","24,77","24,24","64,52M","-1,17%"
"07.07.2021","24,88","24,93","24,98","24,50","30,68M","0,73%"
"06.07.2021","24,70","24,90","24,98","24,43","31,53M","-1,24%"
"05.07.2021","25,01","25,38","25,42","25,00","16,74M","-3,81%"
"02.07.2021","26,00","25,61","26,00","25,30","35,67M","2,32%"
"01.07.2021","25,41","25,73","25,84","25,12","34,79M","-1,24%"
"30.06.2021","25,73","25,94","26,23","25,67","39,41M","-1,42%"
"29.06.2021","26,10","26,20","26,35","25,81","30,46M","-0,61%"
"28.06.2021","26,26","26,40","26,55","25,93","29,66M","-0,49%"
"25.06.2021","26,39","27,20","27,29","26,23","27,76M","-3,12%"
"24.06.2021","27,24","27,32","27,35","26,88","21,34M","0,74%"
"23.06.2021","27,04","27,32","27,59","27,00","27,86M","-0,44%"
"22.06.2021","27,16","27,50","27,62","26,99","39,79M","-1,84%"
"21.06.2021","27,67","27,49","27,83","27,33","25,54M","0,25%"
"18.06.2021","27,60","27,80","28,00","27,40","32,00M","-1,29%"
"17.06.2021","27,96","28,22","28,76","27,85","31,51M","-0,43%"
"16.06.2021","28,08","28,00","28,56","27,82","66,29M","0,50%"
"15.06.2021","27,94","27,91","28,06","27,77","16,45M","0,07%"
"14.06.2021","27,92","28,19","28,30","27,66","25,44M","-0,43%"
"11.06.2021","28,04","28,07","28,12","27,65","35,83M","-0,39%"
"10.06.2021","28,15","28,25","28,53","28,02","32,24M","0,18%"
"09.06.2021","28,10","28,17","28,83","27,75","47,09M","-0,50%"
"08.06.2021","28,24","28,35","28,65","28,03","31,48M","-0,70%"
"07.06.2021","28,44","28,09","28,80","27,85","34,21M","1,25%"
"04.06.2021","28,09","27,91","28,31","27,65","36,49M","-0,11%"
"02.06.2021","28,12","27,00","28,13","26,91","65,89M","3,84%"
"01.06.2021","27,08","26,73","27,08","26,58","49,24M","2,27%"
"31.05.2021","26,48","26,59","26,63","26,27","14,90M","-0,23%"
"28.05.2021","26,54","26,26","26,67","26,22","27,77M","0,23%"
"27.05.2021","26,48","26,32","26,56","25,81","69,86M","0,61%"
"26.05.2021","26,32","25,82","26,37","25,77","38,62M","2,29%"
"25.05.2021","25,73","25,95","25,95","25,55","23,20M","-0,50%"
"24.05.2021","25,86","26,00","26,14","25,76","22,84M","-0,27%"
"21.05.2021","25,93","25,74","26,08","25,38","54,75M","0,46%"
"20.05.2021","25,81","25,50","25,81","25,43","32,30M","0,94%"
"19.05.2021","25,57","25,14","25,57","24,93","28,79M","0,67%"
"18.05.2021","25,40","24,91","25,45","24,82","42,64M","1,60%"
"17.05.2021","25,00","24,81","25,04","24,55","26,12M","0,44%"
"14.05.2021","24,89","24,89","25,13","24,51","38,13M","0,93%"
"13.05.2021","24,66","24,09","24,75","24,05","34,47M","2,32%"
"12.05.2021","24,10","24,32","24,41","23,84","43,31M","-2,03%"
