"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","4,29","4,22","4,30","4,18","18,53M","1,42%"
"12.07.2021","4,23","4,19","4,34","4,18","29,56M","2,17%"
"08.07.2021","4,14","4,14","4,16","4,08","33,11M","-0,72%"
"07.07.2021","4,17","4,22","4,24","4,13","38,85M","0,00%"
"06.07.2021","4,17","4,27","4,27","4,14","35,55M","-3,02%"
"05.07.2021","4,30","4,35","4,36","4,28","18,43M","-0,92%"
"02.07.2021","4,34","4,31","4,37","4,26","34,48M","1,88%"
"01.07.2021","4,26","4,40","4,46","4,26","44,80M","-1,62%"
"30.06.2021","4,33","4,47","4,48","4,32","47,49M","-3,56%"
"29.06.2021","4,49","4,58","4,60","4,44","32,40M","-1,75%"
"28.06.2021","4,57","4,58","4,68","4,54","30,79M","-0,44%"
"25.06.2021","4,59","4,78","4,80","4,54","40,95M","-3,37%"
"24.06.2021","4,75","4,76","4,90","4,73","42,26M","0,21%"
"23.06.2021","4,74","4,70","4,79","4,68","31,67M","1,07%"
"22.06.2021","4,69","4,79","4,79","4,62","48,39M","-2,29%"
"21.06.2021","4,80","4,59","4,83","4,58","49,66M","5,03%"
"18.06.2021","4,57","4,67","4,69","4,53","71,98M","-1,93%"
"17.06.2021","4,66","4,65","4,83","4,59","48,50M","0,43%"
"16.06.2021","4,64","4,67","4,70","4,57","50,97M","-0,43%"
"15.06.2021","4,66","4,78","4,80","4,62","52,42M","-1,89%"
"14.06.2021","4,75","4,37","4,80","4,36","104,40M","9,45%"
"11.06.2021","4,34","4,48","4,51","4,27","34,26M","-2,69%"
"10.06.2021","4,46","4,51","4,53","4,42","24,25M","-0,89%"
"09.06.2021","4,50","4,55","4,63","4,46","28,61M","-1,32%"
"08.06.2021","4,56","4,62","4,70","4,55","32,78M","-0,65%"
"07.06.2021","4,59","4,63","4,72","4,55","36,71M","-0,86%"
"04.06.2021","4,63","4,44","4,67","4,41","44,63M","4,04%"
"02.06.2021","4,45","4,47","4,52","4,35","49,81M","0,00%"
"01.06.2021","4,45","4,26","4,50","4,25","66,18M","5,45%"
"31.05.2021","4,22","4,27","4,29","4,18","15,89M","-0,94%"
"28.05.2021","4,26","4,30","4,33","4,23","23,20M","-0,70%"
"27.05.2021","4,29","4,08","4,36","4,06","72,89M","6,19%"
"26.05.2021","4,04","4,21","4,25","4,03","48,51M","-3,12%"
"25.05.2021","4,17","3,95","4,18","3,94","73,32M","6,65%"
"24.05.2021","3,91","3,94","3,95","3,88","20,54M","-0,26%"
"21.05.2021","3,92","3,98","4,08","3,92","44,25M","-1,75%"
"20.05.2021","3,99","3,99","4,02","3,92","23,41M","-0,50%"
"19.05.2021","4,01","3,98","4,04","3,95","26,17M","-0,25%"
"18.05.2021","4,02","4,08","4,12","3,98","37,70M","-0,25%"
"17.05.2021","4,03","3,97","4,07","3,94","27,98M","1,26%"
"14.05.2021","3,98","3,92","4,10","3,92","77,92M","2,84%"
"13.05.2021","3,87","3,81","3,91","3,79","34,35M","2,38%"
"12.05.2021","3,78","3,90","3,91","3,77","30,24M","-3,57%"
"11.05.2021","3,92","3,93","3,96","3,89","22,77M","-1,26%"
"10.05.2021","3,97","3,89","3,99","3,88","33,59M","2,58%"
"07.05.2021","3,87","3,85","3,91","3,82","18,00M","0,52%"
"06.05.2021","3,85","3,86","3,92","3,79","31,40M","-0,77%"
"05.05.2021","3,88","3,79","3,95","3,78","44,43M","2,92%"
"04.05.2021","3,77","3,88","3,89","3,76","31,24M","-2,33%"
"03.05.2021","3,86","3,90","3,95","3,83","33,39M","-0,26%"
"30.04.2021","3,87","3,93","3,97","3,85","34,30M","-1,53%"
"29.04.2021","3,93","4,00","4,08","3,91","37,21M","-1,75%"
"28.04.2021","4,00","3,98","4,01","3,88","30,80M","1,01%"
"27.04.2021","3,96","3,99","4,05","3,94","29,23M","-0,75%"
"26.04.2021","3,99","3,98","4,11","3,94","44,71M","0,76%"
"23.04.2021","3,96","3,97","4,02","3,94","35,91M","0,00%"
"22.04.2021","3,96","4,03","4,06","3,93","42,78M","-0,75%"
"20.04.2021","3,99","4,09","4,14","3,99","40,62M","-2,68%"
"19.04.2021","4,10","4,20","4,21","4,09","47,43M","-2,15%"
"16.04.2021","4,19","4,11","4,22","4,09","32,99M","1,95%"
"15.04.2021","4,11","4,15","4,27","4,09","44,28M","-0,48%"
"14.04.2021","4,13","4,36","4,39","4,13","68,01M","-4,62%"
"13.04.2021","4,33","4,08","4,40","4,07","95,69M","5,87%"
"12.04.2021","4,09","4,10","4,15","4,05","34,36M","-0,49%"
"09.04.2021","4,11","4,03","4,13","4,01","44,09M","1,48%"
"08.04.2021","4,05","4,02","4,18","4,00","47,00M","1,25%"
"07.04.2021","4,00","4,06","4,13","3,99","37,61M","-1,23%"
"06.04.2021","4,05","4,08","4,14","4,03","35,35M","-0,49%"
"05.04.2021","4,07","3,89","4,14","3,87","59,42M","5,99%"
"01.04.2021","3,84","3,99","4,03","3,84","48,01M","-3,52%"
"31.03.2021","3,98","3,80","4,11","3,76","125,23M","3,11%"
"30.03.2021","3,86","3,74","3,91","3,71","45,15M","2,39%"
"29.03.2021","3,77","3,83","3,85","3,72","41,85M","-1,05%"
"26.03.2021","3,81","4,00","4,00","3,81","66,71M","-4,51%"
"25.03.2021","3,99","3,89","4,02","3,81","40,52M","2,84%"
"24.03.2021","3,88","3,99","4,02","3,87","36,02M","-2,02%"
"23.03.2021","3,96","4,02","4,12","3,95","43,25M","-2,22%"
"22.03.2021","4,05","4,11","4,21","4,04","43,97M","-2,64%"
"19.03.2021","4,16","3,98","4,18","3,96","51,11M","4,79%"
"18.03.2021","3,97","4,06","4,10","3,92","37,91M","-3,64%"
"17.03.2021","4,12","3,96","4,16","3,93","39,29M","3,78%"
"16.03.2021","3,97","4,10","4,17","3,92","37,80M","-3,64%"
"15.03.2021","4,12","4,20","4,21","4,10","34,07M","-1,67%"
"12.03.2021","4,19","4,10","4,22","4,09","32,46M","1,21%"
"11.03.2021","4,14","4,10","4,33","4,08","65,01M","2,22%"
"10.03.2021","4,05","3,80","4,08","3,75","62,39M","8,00%"
"09.03.2021","3,75","3,83","3,92","3,73","42,80M","-2,09%"
"08.03.2021","3,83","3,96","4,13","3,80","82,07M","-5,90%"
