"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","47,24","46,64","47,59","46,39","8,09M","0,92%"
"12.07.2021","46,81","44,79","46,91","44,53","17,82M","6,17%"
"08.07.2021","44,09","44,70","44,90","43,71","17,36M","-4,42%"
"07.07.2021","46,13","45,40","46,28","45,13","11,96M","3,45%"
"06.07.2021","44,59","45,51","45,65","43,97","7,73M","-2,13%"
"05.07.2021","45,56","45,55","46,21","45,36","6,34M","1,09%"
"02.07.2021","45,07","43,80","45,13","43,53","7,82M","3,78%"
"01.07.2021","43,43","44,19","44,79","43,05","7,24M","-1,27%"
"30.06.2021","43,99","44,42","45,23","43,36","8,57M","-1,57%"
"29.06.2021","44,69","42,99","44,85","42,91","9,45M","4,10%"
"28.06.2021","42,93","43,75","44,10","42,31","8,16M","-1,42%"
"25.06.2021","43,55","45,10","45,54","43,24","16,06M","-2,35%"
"24.06.2021","44,60","43,79","44,94","43,20","7,47M","3,31%"
"23.06.2021","43,17","42,91","43,54","42,58","6,96M","1,55%"
"22.06.2021","42,51","42,46","42,83","42,15","6,20M","1,12%"
"21.06.2021","42,04","40,50","42,26","40,17","7,58M","1,55%"
"18.06.2021","41,40","40,44","41,62","40,30","11,38M","2,73%"
"17.06.2021","40,30","42,20","42,39","40,00","16,16M","-4,95%"
"16.06.2021","42,40","44,64","44,64","42,00","19,23M","-4,72%"
"15.06.2021","44,50","45,34","45,50","43,75","8,04M","-1,37%"
"14.06.2021","45,12","45,90","46,18","44,91","7,61M","-0,84%"
"11.06.2021","45,50","45,28","46,00","45,05","7,16M","1,49%"
"10.06.2021","44,83","45,31","45,37","44,48","6,16M","0,11%"
"09.06.2021","44,78","44,21","45,10","43,15","10,37M","2,24%"
"08.06.2021","43,80","44,47","44,74","43,75","8,38M","-1,06%"
"07.06.2021","44,27","45,41","45,49","44,07","10,47M","-2,96%"
"04.06.2021","45,62","46,63","46,63","45,16","8,23M","-2,08%"
"02.06.2021","46,59","47,71","47,98","46,33","9,82M","-1,73%"
"01.06.2021","47,41","45,93","47,55","45,90","15,69M","5,54%"
"31.05.2021","44,92","45,20","45,57","44,40","7,16M","0,63%"
"28.05.2021","44,64","45,50","45,68","43,90","9,64M","-0,71%"
"27.05.2021","44,96","45,33","45,90","44,96","12,30M","0,09%"
"26.05.2021","44,92","43,52","44,92","43,39","10,90M","1,74%"
"25.05.2021","44,15","45,45","45,84","43,65","10,73M","-2,39%"
"24.05.2021","45,23","45,19","45,42","44,21","11,83M","-1,03%"
"21.05.2021","45,70","47,02","47,37","45,41","11,43M","-3,18%"
"20.05.2021","47,20","46,75","47,75","46,66","8,43M","-0,11%"
"19.05.2021","47,25","48,20","48,25","46,42","15,22M","-3,98%"
"18.05.2021","49,21","49,31","49,77","48,65","11,97M","1,65%"
"17.05.2021","48,41","47,56","48,48","47,05","7,73M","3,00%"
"14.05.2021","47,00","47,57","47,75","45,85","10,18M","-1,94%"
"13.05.2021","47,93","48,76","48,90","47,22","11,94M","-3,01%"
"12.05.2021","49,42","51,24","52,34","49,25","14,23M","-4,54%"
"11.05.2021","51,77","50,12","51,87","49,22","15,50M","2,03%"
"10.05.2021","50,74","52,21","53,90","50,74","14,92M","0,22%"
"07.05.2021","50,63","51,11","51,42","49,62","10,86M","0,26%"
"06.05.2021","50,50","51,19","51,37","49,06","11,79M","1,63%"
"05.05.2021","49,69","48,74","50,14","48,74","9,53M","3,22%"
"04.05.2021","48,14","47,52","49,25","46,81","11,71M","0,67%"
"03.05.2021","47,82","49,00","49,00","46,93","11,61M","-1,48%"
"30.04.2021","48,54","48,96","49,45","48,13","11,72M","-3,39%"
"29.04.2021","50,24","51,60","52,55","49,35","13,53M","-2,20%"
"28.04.2021","51,37","51,09","51,77","50,70","7,18M","0,75%"
"27.04.2021","50,99","51,80","51,84","50,05","11,39M","-1,03%"
"26.04.2021","51,52","49,85","51,52","49,62","10,68M","5,08%"
"23.04.2021","49,03","49,62","50,09","47,41","17,11M","0,64%"
"22.04.2021","48,72","47,14","49,85","46,70","16,07M","4,41%"
"20.04.2021","46,66","47,95","48,22","46,06","9,43M","-1,62%"
"19.04.2021","47,43","48,08","48,54","47,15","9,12M","-1,19%"
"16.04.2021","48,00","47,08","48,00","45,69","12,76M","2,02%"
"15.04.2021","47,05","47,80","48,16","46,61","12,71M","1,16%"
"14.04.2021","46,51","45,44","47,20","45,28","15,65M","3,17%"
"13.04.2021","45,08","43,96","45,30","43,45","13,47M","2,73%"
"12.04.2021","43,88","43,55","44,23","42,91","15,98M","1,83%"
"09.04.2021","43,09","40,81","43,44","40,61","18,43M","4,84%"
"08.04.2021","41,10","39,99","41,26","39,86","14,32M","3,03%"
"07.04.2021","39,89","39,33","40,00","38,90","11,60M","1,84%"
"06.04.2021","39,17","37,94","39,74","37,89","14,72M","3,62%"
"05.04.2021","37,80","37,33","38,08","37,25","8,48M","2,72%"
"01.04.2021","36,80","38,28","38,37","36,44","10,88M","-2,90%"
"31.03.2021","37,90","36,94","37,93","36,64","13,32M","2,79%"
"30.03.2021","36,87","36,48","36,99","35,77","9,95M","1,21%"
"29.03.2021","36,43","35,30","36,53","35,30","15,58M","3,67%"
"26.03.2021","35,14","34,12","35,20","33,83","16,33M","4,99%"
"25.03.2021","33,47","33,62","34,17","32,85","17,72M","0,51%"
"24.03.2021","33,30","34,09","34,55","33,14","16,32M","-0,60%"
"23.03.2021","33,50","35,17","35,42","33,21","13,62M","-4,29%"
"22.03.2021","35,00","34,95","35,22","33,86","15,06M","-1,71%"
"19.03.2021","35,61","37,18","37,45","35,42","16,48M","-3,86%"
"18.03.2021","37,04","37,36","38,70","36,56","14,25M","-1,59%"
"17.03.2021","37,64","37,11","37,68","36,84","11,44M","1,87%"
"16.03.2021","36,95","36,52","37,49","36,50","15,50M","3,13%"
"15.03.2021","35,83","37,37","37,60","35,65","18,13M","-4,76%"
