"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","24,15","24,36","24,52","23,78","14,40M","-1,83%"
"12.07.2021","24,60","24,23","24,70","24,23","9,65M","1,23%"
"08.07.2021","24,30","24,01","24,57","24,00","3,22M","-0,69%"
"07.07.2021","24,47","24,35","24,48","23,97","5,71M","0,70%"
"06.07.2021","24,30","24,25","24,42","24,08","3,45M","-0,57%"
"05.07.2021","24,44","24,33","24,50","24,15","6,51M","-0,08%"
"02.07.2021","24,46","24,41","24,57","24,16","5,03M","0,87%"
"01.07.2021","24,25","24,54","24,83","24,02","5,82M","-2,22%"
"30.06.2021","24,80","24,72","24,90","24,42","6,74M","-0,80%"
"29.06.2021","25,00","25,26","25,35","24,70","4,89M","-1,57%"
"28.06.2021","25,40","25,39","25,60","25,05","13,99M","-0,16%"
"25.06.2021","25,44","25,04","25,54","24,78","7,82M","0,04%"
"24.06.2021","25,43","24,56","25,43","24,51","6,39M","4,22%"
"23.06.2021","24,40","24,74","24,88","24,37","4,22M","-1,61%"
"22.06.2021","24,80","25,30","25,30","24,66","7,64M","-2,09%"
"21.06.2021","25,33","24,85","25,59","24,71","8,22M","2,05%"
"18.06.2021","24,82","24,81","25,08","24,52","5,74M","0,24%"
"17.06.2021","24,76","24,85","25,18","24,61","5,66M","0,16%"
"16.06.2021","24,72","25,57","25,67","24,72","9,27M","-3,29%"
"15.06.2021","25,56","25,40","25,64","25,03","6,92M","0,67%"
"14.06.2021","25,39","24,78","25,40","24,75","4,34M","2,75%"
"11.06.2021","24,71","25,16","25,34","24,55","3,37M","-1,79%"
"10.06.2021","25,16","24,61","25,24","24,47","5,03M","2,69%"
"09.06.2021","24,50","24,62","24,75","24,37","4,44M","-0,65%"
"08.06.2021","24,66","24,78","24,84","24,42","6,28M","-1,08%"
"07.06.2021","24,93","24,77","25,02","24,61","4,94M","0,16%"
"04.06.2021","24,89","24,84","24,90","24,50","4,93M","0,20%"
"02.06.2021","24,84","25,04","25,20","24,78","3,95M","-0,84%"
"01.06.2021","25,05","24,63","25,16","24,48","7,23M","1,29%"
"31.05.2021","24,73","25,34","25,58","24,32","7,24M","-2,71%"
"28.05.2021","25,42","25,45","25,65","25,22","7,60M","-0,24%"
"27.05.2021","25,48","25,58","25,82","25,42","7,20M","-0,08%"
"26.05.2021","25,50","25,80","25,98","25,48","7,44M","0,47%"
"25.05.2021","25,38","25,88","25,88","25,28","4,73M","-1,51%"
"24.05.2021","25,77","25,94","26,11","25,39","5,87M","-0,23%"
"21.05.2021","25,83","25,79","25,89","25,28","4,47M","0,39%"
"20.05.2021","25,73","25,71","25,81","25,31","3,56M","0,31%"
"19.05.2021","25,65","24,96","26,04","24,70","10,87M","2,48%"
"18.05.2021","25,03","25,16","25,46","24,93","3,98M","-0,83%"
