"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","30,56","30,44","30,97","30,25","9,02M","0,49%"
"12.07.2021","30,41","29,65","30,56","29,45","16,39M","4,50%"
"08.07.2021","29,10","29,45","29,56","28,80","11,21M","-3,00%"
"07.07.2021","30,00","29,97","30,41","29,76","9,56M","1,49%"
"06.07.2021","29,56","29,54","29,82","29,22","11,05M","-0,40%"
"05.07.2021","29,68","30,00","30,17","29,34","11,30M","-0,27%"
"02.07.2021","29,76","29,22","29,92","28,95","15,80M","2,80%"
"01.07.2021","28,95","29,71","30,02","28,75","19,47M","-2,23%"
"30.06.2021","29,61","30,20","30,49","29,41","16,54M","-2,15%"
"29.06.2021","30,26","30,62","31,06","29,76","16,82M","-1,01%"
"28.06.2021","30,57","31,14","31,33","30,16","11,74M","-0,88%"
"25.06.2021","30,84","31,04","31,28","30,68","12,34M","0,23%"
"24.06.2021","30,77","30,17","31,24","29,95","14,40M","3,29%"
"23.06.2021","29,79","29,89","30,18","29,67","11,35M","-0,03%"
"22.06.2021","29,80","29,73","30,32","29,51","13,01M","-0,23%"
"21.06.2021","29,87","28,70","30,22","28,46","18,52M","2,72%"
"18.06.2021","29,08","29,13","29,82","28,91","18,70M","0,28%"
"17.06.2021","29,00","30,18","30,27","28,67","28,84M","-3,78%"
"16.06.2021","30,14","31,79","31,84","29,99","31,80M","-5,10%"
"15.06.2021","31,76","32,21","32,24","31,40","9,32M","-1,06%"
"14.06.2021","32,10","33,40","33,46","32,05","13,07M","-2,73%"
"11.06.2021","33,00","32,30","33,04","32,17","14,58M","2,68%"
"10.06.2021","32,14","32,10","32,33","31,70","9,62M","0,22%"
"09.06.2021","32,07","31,90","32,44","31,24","14,25M","2,33%"
"08.06.2021","31,34","32,02","32,34","31,34","11,61M","-1,72%"
"07.06.2021","31,89","32,10","32,30","31,53","14,87M","-1,76%"
"04.06.2021","32,46","33,41","33,41","32,34","14,24M","-2,79%"
"02.06.2021","33,39","34,15","34,19","33,34","14,95M","-2,14%"
"01.06.2021","34,12","33,51","34,32","33,20","14,48M","3,65%"
"31.05.2021","32,92","32,81","33,57","32,65","8,11M","0,83%"
"28.05.2021","32,65","33,30","33,44","32,25","10,09M","-1,33%"
"27.05.2021","33,09","33,09","33,75","32,80","26,06M","1,66%"
"26.05.2021","32,55","31,94","32,64","31,75","14,63M","1,09%"
"25.05.2021","32,20","33,10","33,39","32,05","13,69M","-2,10%"
"24.05.2021","32,89","33,76","33,78","32,65","20,84M","-2,89%"
"21.05.2021","33,87","34,20","34,69","33,53","13,28M","-1,25%"
"20.05.2021","34,30","35,23","35,56","34,30","11,18M","-3,30%"
"19.05.2021","35,47","35,20","35,84","34,23","13,14M","-1,09%"
"18.05.2021","35,86","35,67","36,06","35,31","10,38M","1,30%"
"17.05.2021","35,40","34,59","35,40","34,36","8,37M","2,28%"
"14.05.2021","34,61","35,41","35,41","33,95","16,82M","-2,86%"
"13.05.2021","35,63","36,20","36,95","35,55","18,07M","-2,78%"
"12.05.2021","36,65","37,42","37,55","36,41","15,65M","-2,66%"
"11.05.2021","37,65","35,82","37,84","35,54","20,60M","3,49%"
"10.05.2021","36,38","37,10","37,43","36,17","13,64M","0,03%"
"07.05.2021","36,37","36,30","36,56","35,45","15,50M","0,97%"
"06.05.2021","36,02","34,70","36,05","34,70","16,96M","4,56%"
"05.05.2021","34,45","33,75","35,00","33,62","27,93M","5,51%"
"04.05.2021","32,65","32,46","33,06","32,26","11,56M","0,46%"
"03.05.2021","32,50","33,25","33,26","32,14","19,09M","-2,17%"
"30.04.2021","33,22","33,96","34,26","33,15","19,15M","-3,40%"
"29.04.2021","34,39","34,75","35,01","33,71","10,81M","-0,81%"
"28.04.2021","34,67","34,48","34,82","34,13","12,43M","0,70%"
"27.04.2021","34,43","34,30","34,64","33,90","11,27M","0,38%"
"26.04.2021","34,30","33,74","34,37","33,51","10,01M","2,33%"
"23.04.2021","33,52","33,97","34,33","32,91","11,78M","0,66%"
"22.04.2021","33,30","32,66","33,70","32,36","15,10M","3,19%"
"20.04.2021","32,27","32,63","32,85","31,78","8,42M","-0,74%"
"19.04.2021","32,51","32,85","33,08","32,21","11,14M","-0,06%"
"16.04.2021","32,53","32,72","32,85","31,93","11,18M","-0,28%"
"15.04.2021","32,62","32,75","33,24","32,15","11,77M","0,71%"
"14.04.2021","32,39","32,01","32,76","32,01","14,62M","1,41%"
"13.04.2021","31,94","31,30","32,17","30,96","14,82M","2,31%"
"12.04.2021","31,22","31,28","31,48","30,87","9,58M","0,32%"
"09.04.2021","31,12","30,50","31,38","30,41","10,96M","1,01%"
"08.04.2021","30,81","30,80","31,18","30,53","13,86M","0,33%"
"07.04.2021","30,71","30,13","30,94","30,08","18,32M","1,89%"
"06.04.2021","30,14","29,74","30,24","29,43","18,49M","2,38%"
"05.04.2021","29,44","29,80","30,16","29,32","26,24M","0,20%"
"01.04.2021","29,38","30,52","30,77","29,12","30,46M","-2,78%"
"31.03.2021","30,22","29,48","30,52","29,47","22,66M","2,58%"
"30.03.2021","29,46","28,92","29,67","28,67","11,04M","1,59%"
"29.03.2021","29,00","28,68","29,50","28,64","10,26M","1,40%"
"26.03.2021","28,60","27,46","29,04","27,32","19,61M","5,26%"
"25.03.2021","27,17","26,63","27,40","26,33","9,81M","1,49%"
"24.03.2021","26,77","26,83","27,45","26,65","10,75M","0,79%"
"23.03.2021","26,56","27,65","27,94","26,33","20,89M","-4,36%"
"22.03.2021","27,77","28,21","28,35","27,16","14,54M","-3,04%"
"19.03.2021","28,64","28,65","28,90","28,05","13,83M","0,10%"
"18.03.2021","28,61","28,89","29,47","28,23","12,01M","-1,75%"
"17.03.2021","29,12","28,77","29,47","28,54","16,42M","1,18%"
"16.03.2021","28,78","28,50","29,07","28,25","20,12M","1,02%"
"15.03.2021","28,49","27,31","28,49","27,28","17,29M","3,60%"
"12.03.2021","27,50","27,66","28,59","27,28","15,87M","-1,75%"
"11.03.2021","27,99","27,50","28,47","27,38","22,87M","3,78%"
"10.03.2021","26,97","27,37","27,73","26,27","13,02M","-1,32%"
"09.03.2021","27,33","26,70","28,11","26,12","20,64M","1,37%"
"08.03.2021","26,96","27,20","28,43","26,81","18,09M","-2,39%"
"05.03.2021","27,62","26,84","27,97","26,48","21,96M","2,64%"
"04.03.2021","26,91","26,94","27,79","26,58","21,29M","-0,11%"
"03.03.2021","26,94","27,01","27,58","26,36","22,43M","-0,33%"
"02.03.2021","27,03","26,47","27,50","26,02","22,73M","1,35%"
"01.03.2021","26,67","26,28","27,19","26,07","16,69M","3,09%"
"26.02.2021","25,87","26,11","26,62","25,43","19,49M","-0,96%"
"25.02.2021","26,12","27,16","28,17","25,75","19,91M","-3,76%"
"24.02.2021","27,14","26,75","27,39","26,41","35,44M","5,48%"
"23.02.2021","25,73","25,13","25,85","24,46","18,56M","3,83%"
"22.02.2021","24,78","24,21","25,46","23,46","20,44M","-0,48%"
"19.02.2021","24,90","24,39","24,98","24,14","11,67M","2,09%"
"18.02.2021","24,39","24,77","25,13","24,22","11,62M","-0,29%"
"17.02.2021","24,46","24,40","24,91","24,30","17,89M","1,45%"
"12.02.2021","24,11","24,11","24,35","23,87","8,47M","0,00%"
"11.02.2021","24,11","23,76","24,47","23,68","10,19M","2,29%"
"10.02.2021","23,57","24,25","24,55","23,36","12,60M","-2,40%"
"09.02.2021","24,15","24,01","24,44","23,61","10,69M","0,62%"
"08.02.2021","24,00","24,38","24,78","23,86","10,50M","-0,83%"
"05.02.2021","24,20","23,39","24,50","23,22","16,34M","4,36%"
"04.02.2021","23,19","23,71","24,07","23,19","10,55M","-1,44%"
"03.02.2021","23,53","23,14","23,93","23,08","12,22M","2,44%"
"02.02.2021","22,97","23,45","23,59","22,82","14,08M","-1,16%"
"01.02.2021","23,24","23,69","23,74","22,86","16,10M","-0,04%"
"29.01.2021","23,25","23,84","24,24","23,11","15,46M","-4,28%"
"28.01.2021","24,29","23,51","24,53","23,34","12,74M","2,88%"
"27.01.2021","23,61","23,98","24,18","23,02","23,29M","-1,83%"
"26.01.2021","24,05","25,30","25,42","24,01","13,37M","-5,17%"
"22.01.2021","25,36","24,60","25,48","24,16","10,42M","1,36%"
"21.01.2021","25,02","25,14","25,63","24,83","9,48M","-0,48%"
"20.01.2021","25,14","25,92","25,96","24,82","10,95M","-2,06%"
"19.01.2021","25,67","26,60","26,60","24,85","19,17M","-2,95%"
"18.01.2021","26,45","26,25","26,90","26,06","11,99M","1,42%"
"15.01.2021","26,08","27,08","27,42","25,71","23,82M","-5,92%"
"14.01.2021","27,72","26,87","27,82","26,48","17,42M","4,17%"
"13.01.2021","26,61","27,40","27,61","26,35","19,46M","-3,31%"
"12.01.2021","27,52","28,45","28,52","27,38","16,22M","-2,76%"
"11.01.2021","28,30","28,40","29,10","27,84","17,95M","-2,75%"
"08.01.2021","29,10","29,83","30,00","28,44","18,04M","-1,49%"
"07.01.2021","29,54","28,31","29,55","28,25","21,00M","5,54%"
"06.01.2021","27,99","26,77","28,62","26,67","26,79M","4,95%"
"05.01.2021","26,67","25,97","26,85","25,73","17,56M","2,42%"
"04.01.2021","26,04","24,80","26,04","24,80","22,16M","6,50%"
"30.12.2020","24,45","24,53","24,76","24,29","10,58M","-0,20%"
"29.12.2020","24,50","24,31","24,93","24,22","8,69M","1,11%"
"28.12.2020","24,23","24,46","24,47","24,06","5,52M","-0,04%"
"23.12.2020","24,24","24,20","24,30","23,86","7,72M","0,75%"
"22.12.2020","24,06","24,36","24,66","23,73","7,70M","-1,35%"
"21.12.2020","24,39","24,49","24,84","23,76","13,50M","-1,77%"
"18.12.2020","24,83","24,52","25,25","24,40","19,75M","1,76%"
"17.12.2020","24,40","23,81","24,77","23,75","15,88M","2,61%"
"16.12.2020","23,78","23,91","24,10","23,42","10,16M","-0,08%"
"15.12.2020","23,80","23,00","24,29","22,91","16,05M","4,34%"
"14.12.2020","22,81","23,02","23,12","22,59","7,91M","-0,65%"
"11.12.2020","22,96","22,87","23,14","22,72","6,55M","-0,17%"
"10.12.2020","23,00","22,77","23,25","22,47","12,19M","1,64%"
"09.12.2020","22,63","23,09","23,32","22,41","9,91M","-1,91%"
"08.12.2020","23,07","23,20","23,29","22,74","8,79M","-0,86%"
"07.12.2020","23,27","22,96","23,52","22,60","11,96M","1,44%"
"04.12.2020","22,94","22,66","23,25","22,52","16,80M","2,05%"
"03.12.2020","22,48","23,53","23,56","22,40","23,77M","-4,10%"
"02.12.2020","23,44","23,80","23,92","23,22","17,07M","-1,51%"
"01.12.2020","23,80","22,86","24,00","22,77","23,41M","5,31%"
"30.11.2020","22,60","22,76","22,96","22,51","13,57M","-0,70%"
"27.11.2020","22,76","22,97","23,25","22,51","11,58M","-0,91%"
"26.11.2020","22,97","22,49","22,99","22,40","7,63M","1,91%"
"25.11.2020","22,54","22,58","22,83","22,22","14,24M","-0,35%"
"24.11.2020","22,62","22,15","22,95","21,98","14,71M","2,59%"
"23.11.2020","22,05","21,56","22,14","21,44","12,95M","2,99%"
