"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","29,63","29,56","29,65","29,17","16,84M","-0,20%"
"12.07.2021","29,69","29,40","30,00","29,32","26,85M","1,37%"
"08.07.2021","29,29","29,15","29,67","28,96","48,88M","-1,31%"
"07.07.2021","29,68","29,58","29,94","29,15","39,11M","1,40%"
"06.07.2021","29,27","29,48","29,73","29,23","24,58M","-1,11%"
"05.07.2021","29,60","29,72","29,86","29,55","12,08M","-1,37%"
"02.07.2021","30,01","29,88","30,10","29,57","25,17M","1,08%"
"01.07.2021","29,69","29,79","29,98","29,32","20,20M","-0,37%"
"30.06.2021","29,80","30,00","30,27","29,77","22,32M","-1,16%"
"29.06.2021","30,15","30,26","30,44","29,83","30,46M","-0,99%"
"28.06.2021","30,45","30,84","30,90","30,05","35,98M","-1,14%"
"25.06.2021","30,80","31,98","32,13","30,61","38,84M","-3,18%"
"24.06.2021","31,81","32,17","32,20","31,48","23,74M","0,03%"
"23.06.2021","31,80","32,05","32,62","31,65","28,51M","-0,72%"
"22.06.2021","32,03","32,23","32,46","31,81","40,49M","-1,29%"
"21.06.2021","32,45","32,22","32,74","32,06","27,31M","0,46%"
"18.06.2021","32,30","32,75","32,97","32,08","40,99M","-1,82%"
"17.06.2021","32,90","33,66","34,34","32,86","49,39M","-1,17%"
"16.06.2021","33,29","32,68","33,61","32,45","66,89M","1,99%"
"15.06.2021","32,64","32,76","32,83","32,29","17,59M","0,00%"
"14.06.2021","32,64","32,94","33,06","32,36","23,65M","-0,34%"
"11.06.2021","32,75","33,04","33,15","32,36","23,08M","-1,18%"
"10.06.2021","33,14","33,60","33,88","32,92","49,85M","-0,36%"
"09.06.2021","33,26","32,67","34,19","32,42","89,54M","1,37%"
"08.06.2021","32,81","32,82","33,15","32,26","72,12M","-0,70%"
"07.06.2021","33,04","32,28","33,18","31,87","59,35M","2,35%"
"04.06.2021","32,28","31,57","32,38","31,44","36,77M","2,09%"
"02.06.2021","31,62","30,65","31,79","30,63","56,54M","3,33%"
"01.06.2021","30,60","29,84","30,60","29,80","43,08M","3,59%"
"31.05.2021","29,54","29,67","29,93","29,39","15,42M","-0,30%"
"28.05.2021","29,63","29,06","29,74","29,00","26,30M","1,65%"
"27.05.2021","29,15","29,40","29,50","28,87","59,68M","-0,85%"
"26.05.2021","29,40","29,08","29,57","29,08","20,99M","1,38%"
"25.05.2021","29,00","29,32","29,38","28,78","33,50M","-1,02%"
"24.05.2021","29,30","29,47","29,55","29,15","25,03M","-0,27%"
"21.05.2021","29,38","29,28","29,43","28,89","27,71M","0,48%"
"20.05.2021","29,24","29,14","29,67","29,01","32,07M","0,55%"
"19.05.2021","29,08","28,48","29,19","28,15","26,42M","0,73%"
"18.05.2021","28,87","28,75","29,20","28,63","26,26M","-0,21%"
"17.05.2021","28,93","28,82","28,98","28,32","37,12M","-0,07%"
"14.05.2021","28,95","28,61","29,13","28,29","44,56M","2,22%"
"13.05.2021","28,32","27,56","28,52","27,52","42,62M","2,91%"
"12.05.2021","27,52","27,65","27,75","27,33","22,94M","-1,47%"
"11.05.2021","27,93","27,69","28,11","27,67","25,24M","-0,21%"
"10.05.2021","27,99","27,62","28,19","27,47","28,66M","1,49%"
"07.05.2021","27,58","27,36","27,65","27,19","26,59M","1,21%"
"06.05.2021","27,25","27,31","27,57","27,05","23,78M","-0,62%"
"05.05.2021","27,42","26,86","27,60","26,48","50,09M","2,81%"
"04.05.2021","26,67","28,05","28,30","26,61","78,70M","-4,24%"
"03.05.2021","27,85","27,65","28,14","27,53","41,30M","1,38%"
"30.04.2021","27,47","27,12","27,53","26,89","42,27M","0,77%"
"29.04.2021","27,26","28,12","28,29","27,21","33,38M","-3,16%"
"28.04.2021","28,15","27,46","28,24","27,38","37,23M","4,38%"
"27.04.2021","26,97","27,35","27,63","26,90","29,52M","-1,53%"
"26.04.2021","27,39","27,55","27,73","27,16","20,35M","-0,07%"
"23.04.2021","27,41","27,33","27,78","27,28","17,10M","0,48%"
"22.04.2021","27,28","27,41","27,60","27,11","24,08M","0,04%"
"20.04.2021","27,27","27,29","27,66","27,15","19,71M","-0,51%"
"19.04.2021","27,41","27,76","27,84","27,33","26,91M","-1,51%"
