"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","22,20","21,97","22,29","21,77","13,06M","0,45%"
"12.07.2021","22,10","22,06","22,40","21,95","20,31M","0,82%"
"08.07.2021","21,92","21,68","22,07","21,48","17,91M","-0,41%"
"07.07.2021","22,01","21,30","22,15","21,28","30,68M","4,46%"
"06.07.2021","21,07","21,14","21,43","20,95","19,76M","-1,45%"
"05.07.2021","21,38","21,50","21,60","21,13","8,64M","-1,20%"
"02.07.2021","21,64","20,80","21,69","20,76","24,16M","4,59%"
"01.07.2021","20,69","21,22","21,27","20,42","18,08M","-2,17%"
"30.06.2021","21,15","21,53","21,60","21,01","25,04M","-2,40%"
"29.06.2021","21,67","21,53","21,69","21,05","11,74M","0,65%"
"28.06.2021","21,53","21,39","21,84","21,12","20,80M","0,65%"
"25.06.2021","21,39","21,77","21,93","21,06","29,78M","-1,20%"
"24.06.2021","21,65","20,80","21,73","20,70","31,32M","5,20%"
"23.06.2021","20,58","20,95","21,22","20,51","16,25M","-1,86%"
"22.06.2021","20,97","21,33","21,34","20,66","16,34M","-1,41%"
"21.06.2021","21,27","21,17","21,32","20,88","10,90M","0,95%"
"18.06.2021","21,07","21,31","21,51","21,02","28,54M","-1,13%"
"17.06.2021","21,31","20,30","21,37","20,08","30,28M","4,92%"
"16.06.2021","20,31","20,95","21,00","20,06","29,05M","-2,78%"
"15.06.2021","20,89","20,56","21,18","20,48","22,53M","1,46%"
"14.06.2021","20,59","20,44","20,73","20,38","16,47M","1,03%"
"11.06.2021","20,38","20,28","20,48","19,99","11,24M","0,49%"
"10.06.2021","20,28","20,34","20,39","19,93","15,54M","0,05%"
"09.06.2021","20,27","21,05","21,09","20,22","26,45M","-3,71%"
"08.06.2021","21,05","21,09","21,43","20,85","34,94M","1,20%"
"07.06.2021","20,80","20,94","20,99","20,57","13,51M","-0,24%"
"04.06.2021","20,85","20,61","21,05","20,51","17,79M","1,71%"
"02.06.2021","20,50","20,41","21,26","20,25","27,25M","0,74%"
"01.06.2021","20,35","20,26","20,65","20,21","17,83M","0,94%"
"31.05.2021","20,16","20,26","20,40","19,98","12,44M","-0,44%"
"28.05.2021","20,25","19,70","20,42","19,62","19,35M","3,37%"
"27.05.2021","19,59","19,74","19,84","19,47","22,36M","-0,41%"
"26.05.2021","19,67","20,36","20,39","19,65","19,39M","-1,75%"
"25.05.2021","20,02","20,20","20,66","20,02","33,66M","0,10%"
"24.05.2021","20,00","18,55","20,06","18,51","43,76M","7,93%"
"21.05.2021","18,53","18,75","18,78","18,25","22,81M","-1,12%"
"20.05.2021","18,74","18,68","18,88","18,60","10,96M","0,32%"
"19.05.2021","18,68","18,76","19,12","18,54","16,65M","-1,53%"
"18.05.2021","18,97","18,83","19,41","18,77","17,87M","0,58%"
"17.05.2021","18,86","19,12","19,22","18,73","15,47M","-1,51%"
"14.05.2021","19,15","19,60","19,74","18,97","26,78M","0,10%"
"13.05.2021","19,13","18,81","19,25","18,73","19,72M","2,90%"
"12.05.2021","18,59","19,00","19,15","18,50","21,48M","-3,78%"
"11.05.2021","19,32","19,00","19,39","18,66","26,57M","0,62%"
"10.05.2021","19,20","19,89","19,98","19,05","21,84M","-3,47%"
"07.05.2021","19,89","19,58","19,90","19,33","23,14M","2,21%"
"06.05.2021","19,46","19,85","19,95","19,30","26,88M","-2,21%"
"05.05.2021","19,90","19,85","20,09","19,68","14,94M","0,76%"
"04.05.2021","19,75","20,18","20,23","19,64","19,28M","-2,13%"
"03.05.2021","20,18","20,11","20,25","19,90","17,72M","0,75%"
"30.04.2021","20,03","20,10","20,39","19,87","29,26M","-1,14%"
"29.04.2021","20,26","20,63","20,67","19,91","34,24M","-1,89%"
"28.04.2021","20,65","20,94","21,10","20,58","28,28M","-1,43%"
"27.04.2021","20,95","21,60","21,65","20,93","15,63M","-3,50%"
"26.04.2021","21,71","21,61","21,81","21,50","19,55M","-0,09%"
"23.04.2021","21,73","21,26","21,73","21,13","25,81M","2,74%"
