"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","27,70","27,59","27,70","27,39","23,72M","-0,11%"
"12.07.2021","27,73","27,58","27,78","27,28","52,41M","0,87%"
"08.07.2021","27,49","27,40","27,68","27,27","80,20M","-2,00%"
"07.07.2021","28,05","28,15","28,15","27,41","73,36M","1,37%"
"06.07.2021","27,67","28,70","28,80","27,67","97,04M","-4,09%"
"05.07.2021","28,85","29,01","29,16","28,37","55,76M","-1,13%"
"02.07.2021","29,18","29,30","29,38","28,73","37,22M","0,41%"
"01.07.2021","29,06","29,74","29,88","28,92","64,86M","-1,26%"
"30.06.2021","29,43","29,03","29,57","28,92","70,91M","0,86%"
"29.06.2021","29,18","29,09","29,18","28,74","43,10M","0,45%"
"28.06.2021","29,05","29,18","29,27","28,67","40,16M","-0,17%"
"25.06.2021","29,10","29,69","29,79","28,95","84,49M","-1,85%"
"24.06.2021","29,65","29,49","29,65","29,22","51,14M","1,19%"
"23.06.2021","29,30","29,25","29,52","29,00","57,11M","0,69%"
"22.06.2021","29,10","29,00","29,27","28,67","41,44M","0,52%"
"21.06.2021","28,95","28,40","29,00","28,40","50,41M","2,22%"
"18.06.2021","28,32","28,00","28,42","27,64","114,06M","0,68%"
"17.06.2021","28,13","29,01","29,20","27,91","94,48M","-3,47%"
"16.06.2021","29,14","29,08","29,29","28,77","76,78M","0,38%"
"15.06.2021","29,03","28,96","29,06","28,63","42,30M","0,97%"
"14.06.2021","28,75","28,90","29,35","28,61","64,04M","0,63%"
"11.06.2021","28,57","28,80","28,85","28,26","54,78M","-0,38%"
"10.06.2021","28,68","28,83","29,03","28,57","35,66M","0,07%"
"09.06.2021","28,66","28,72","29,08","28,52","60,37M","0,00%"
"08.06.2021","28,66","28,17","28,80","27,96","88,14M","1,31%"
"07.06.2021","28,29","28,50","28,55","28,01","74,03M","-0,74%"
"04.06.2021","28,50","28,06","28,62","27,92","102,40M","1,57%"
"02.06.2021","28,06","27,35","28,07","27,26","104,09M","2,82%"
"01.06.2021","27,29","27,40","27,70","27,01","90,02M","1,56%"
"31.05.2021","26,87","26,96","27,20","26,78","46,03M","-0,44%"
"28.05.2021","26,99","26,20","27,02","26,15","128,99M","4,17%"
"27.05.2021","25,91","26,08","26,25","25,77","48,45M","-0,69%"
"26.05.2021","26,09","25,91","26,18","25,65","46,25M","0,97%"
"25.05.2021","25,84","26,48","26,62","25,78","63,21M","-2,08%"
"24.05.2021","26,39","26,28","26,52","25,99","62,78M","1,70%"
"21.05.2021","25,95","26,08","26,31","25,94","81,34M","0,08%"
"20.05.2021","25,93","26,15","26,28","25,72","70,99M","-0,84%"
"19.05.2021","26,15","25,85","26,35","25,80","84,35M","-0,76%"
"18.05.2021","26,35","26,70","26,80","26,27","62,02M","-1,16%"
"17.05.2021","26,66","26,30","26,66","26,20","82,94M","1,45%"
"14.05.2021","26,28","25,80","26,38","25,55","195,81M","5,16%"
"13.05.2021","24,99","24,76","25,10","24,43","76,72M","0,85%"
"12.05.2021","24,78","24,95","25,53","24,69","89,35M","-1,47%"
"11.05.2021","25,15","24,44","25,17","24,32","73,36M","1,82%"
"10.05.2021","24,70","24,80","24,98","24,58","73,59M","1,31%"
"07.05.2021","24,38","23,64","24,45","23,46","73,69M","3,74%"
"06.05.2021","23,50","23,71","23,85","23,40","53,65M","-1,38%"
"05.05.2021","23,83","23,17","23,95","23,12","75,38M","4,11%"
"04.05.2021","22,89","23,54","23,64","22,88","43,71M","-2,30%"
"03.05.2021","23,43","23,80","23,81","23,30","47,97M","-0,80%"
"30.04.2021","23,62","23,40","23,93","23,28","60,38M","0,00%"
"29.04.2021","23,62","24,12","24,29","23,42","49,20M","-1,34%"
"28.04.2021","23,94","23,40","24,09","23,36","65,86M","3,64%"
"27.04.2021","23,10","23,82","24,17","23,10","75,80M","-2,86%"
"26.04.2021","23,78","23,85","24,05","23,61","33,02M","0,38%"
"23.04.2021","23,69","23,88","23,94","23,51","59,82M","-0,08%"
"22.04.2021","23,71","24,14","24,19","23,65","46,19M","-0,46%"
"20.04.2021","23,82","24,33","24,59","23,76","93,94M","-1,89%"
"19.04.2021","24,28","22,95","24,89","22,77","195,00M","5,80%"
"16.04.2021","22,95","23,13","23,24","22,81","59,15M","-0,61%"
"15.04.2021","23,09","23,70","23,83","23,02","63,51M","-5,17%"
"14.04.2021","24,35","24,20","24,58","23,98","90,29M","1,59%"
"13.04.2021","23,97","23,98","24,11","23,69","52,78M","0,33%"
"12.04.2021","23,89","23,96","24,37","23,78","50,14M","1,01%"
"09.04.2021","23,65","23,50","23,78","23,37","46,82M","-0,21%"
"08.04.2021","23,70","23,98","24,04","23,37","62,74M","-1,25%"
"07.04.2021","24,00","23,94","24,34","23,93","55,07M","-0,08%"
"06.04.2021","24,02","24,18","24,37","23,91","45,51M","-0,08%"
"05.04.2021","24,04","24,13","24,20","23,68","40,18M","0,63%"
"01.04.2021","23,89","24,29","24,39","23,78","46,75M","-0,87%"
"31.03.2021","24,10","23,80","24,23","23,78","68,27M","1,13%"
"30.03.2021","23,83","23,64","23,99","23,57","40,70M","0,00%"
"29.03.2021","23,83","23,34","23,83","23,28","49,67M","1,58%"
"26.03.2021","23,46","23,48","23,88","23,11","60,63M","1,12%"
"25.03.2021","23,20","22,70","23,30","22,16","78,84M","1,67%"
"24.03.2021","22,82","23,19","23,54","22,82","62,21M","0,09%"
"23.03.2021","22,80","23,17","23,63","22,80","56,43M","-3,06%"
"22.03.2021","23,52","23,69","23,78","23,23","43,73M","-2,00%"
"19.03.2021","24,00","23,27","24,04","23,18","89,62M","3,27%"
"18.03.2021","23,24","23,88","23,90","23,07","76,65M","-3,49%"
"17.03.2021","24,08","23,14","24,13","23,11","77,63M","3,44%"
"16.03.2021","23,28","23,63","23,68","23,23","43,12M","-1,56%"
"15.03.2021","23,65","23,11","23,67","23,10","67,54M","2,07%"
"12.03.2021","23,17","23,15","23,38","22,86","68,12M","-0,52%"
"11.03.2021","23,29","22,62","23,49","22,61","130,58M","4,25%"
"10.03.2021","22,34","21,94","22,34","21,58","111,74M","3,47%"
"09.03.2021","21,59","21,36","21,95","20,86","122,55M","2,32%"
"08.03.2021","21,10","21,94","22,28","20,96","141,14M","-5,76%"
"05.03.2021","22,39","22,44","23,22","22,29","126,31M","0,77%"
"04.03.2021","22,22","21,30","22,40","21,12","127,84M","4,86%"
"03.03.2021","21,19","21,80","21,89","20,48","185,69M","-3,64%"
"02.03.2021","21,99","21,84","22,33","20,67","147,77M","-0,05%"
"01.03.2021","22,00","22,80","23,04","21,92","90,33M","-1,08%"
"26.02.2021","22,24","23,20","23,42","21,97","159,88M","-4,10%"
"25.02.2021","23,19","25,00","25,25","23,10","170,15M","-4,96%"
"24.02.2021","24,40","24,55","25,00","24,01","155,25M","1,41%"
"23.02.2021","24,06","23,05","24,26","22,71","293,50M","12,17%"
"22.02.2021","21,45","22,80","23,20","21,40","490,23M","-21,51%"
"19.02.2021","27,33","28,03","28,49","27,17","215,83M","-6,63%"
"18.02.2021","29,27","30,38","30,92","29,04","105,54M","-1,08%"
"17.02.2021","29,59","28,52","29,60","28,13","54,97M","4,04%"
"12.02.2021","28,44","27,81","28,49","27,61","47,80M","1,28%"
"11.02.2021","28,08","28,14","28,50","27,87","61,16M","1,01%"
"10.02.2021","27,80","27,74","28,04","27,12","52,95M","0,94%"
"09.02.2021","27,54","28,05","28,37","27,38","63,66M","-2,03%"
"08.02.2021","28,11","28,51","29,30","27,80","98,82M","-3,14%"
"05.02.2021","29,02","28,98","30,09","28,32","121,10M","0,69%"
"04.02.2021","28,82","28,83","28,99","28,21","41,44M","-0,10%"
"03.02.2021","28,85","28,98","29,14","28,66","51,77M","0,66%"
"02.02.2021","28,66","28,40","29,14","28,20","91,66M","4,10%"
"01.02.2021","27,53","27,26","27,68","26,83","44,45M","3,15%"
"29.01.2021","26,69","27,52","27,68","26,69","67,56M","-3,85%"
"28.01.2021","27,76","27,32","28,45","27,31","67,83M","1,39%"
"27.01.2021","27,38","26,81","28,17","26,53","68,34M","1,41%"
"26.01.2021","27,00","27,25","27,97","26,82","64,51M","-0,33%"
"22.01.2021","27,09","26,93","27,24","26,56","51,18M","-1,67%"
"21.01.2021","27,55","28,02","28,40","27,51","41,28M","-2,34%"
"20.01.2021","28,21","28,95","29,12","28,11","60,31M","-1,67%"
"19.01.2021","28,69","28,48","28,86","27,64","61,65M","2,21%"
"18.01.2021","28,07","28,31","28,85","28,01","68,86M","-0,18%"
"15.01.2021","28,12","29,05","29,08","28,03","80,67M","-4,52%"
"14.01.2021","29,45","29,17","29,67","28,72","50,73M","1,03%"
"13.01.2021","29,15","30,68","30,86","29,00","93,83M","-4,83%"
"12.01.2021","30,63","31,12","31,56","30,63","65,69M","-0,75%"
"11.01.2021","30,86","30,61","31,06","30,40","48,74M","-0,84%"
"08.01.2021","31,12","31,46","31,76","30,35","67,14M","0,39%"
"07.01.2021","31,00","30,34","31,15","30,34","56,16M","3,09%"
"06.01.2021","30,07","30,16","30,90","30,05","96,56M","0,10%"
"05.01.2021","30,04","28,90","30,18","28,24","95,18M","3,91%"
"04.01.2021","28,91","28,65","29,18","28,53","74,72M","2,01%"
"30.12.2020","28,34","28,35","28,49","28,20","36,97M","0,25%"
"29.12.2020","28,27","28,38","28,43","27,99","29,89M","0,32%"
"28.12.2020","28,18","28,36","28,52","28,18","36,31M","0,82%"
"23.12.2020","27,95","27,43","28,25","27,35","49,04M","2,46%"
"22.12.2020","27,28","27,20","27,47","27,05","46,51M","0,96%"
"21.12.2020","27,02","27,19","27,49","26,52","99,99M","-3,84%"
"18.12.2020","28,10","28,10","28,32","28,02","44,71M","-0,50%"
"17.12.2020","28,24","28,30","28,39","28,07","39,15M","0,18%"
"16.12.2020","28,19","27,85","28,24","27,47","59,40M","1,22%"
"15.12.2020","27,85","27,80","27,99","27,64","47,21M","0,83%"
"14.12.2020","27,62","28,03","28,27","27,62","53,16M","0,18%"
"11.12.2020","27,57","27,49","27,84","27,28","48,33M","-0,90%"
"10.12.2020","27,82","27,19","28,20","27,13","97,54M","3,27%"
"09.12.2020","26,94","26,63","26,97","26,40","52,45M","1,05%"
"08.12.2020","26,66","26,81","27,14","26,46","46,28M","-1,26%"
"07.12.2020","27,00","27,27","27,79","26,67","72,66M","-1,93%"
"04.12.2020","27,53","27,19","27,57","27,06","61,65M","3,34%"
"03.12.2020","26,64","26,15","26,89","26,05","62,42M","2,82%"
"02.12.2020","25,91","25,60","26,50","25,33","88,09M","1,21%"
"01.12.2020","25,60","25,40","25,77","25,29","58,87M","2,81%"
"30.11.2020","24,90","25,26","25,88","24,84","90,21M","-2,35%"
"27.11.2020","25,50","25,92","26,06","25,45","49,86M","-1,24%"
"26.11.2020","25,82","25,94","25,95","25,56","41,94M","-1,64%"
"25.11.2020","26,25","26,20","26,50","25,67","73,97M","0,11%"
"24.11.2020","26,22","25,64","26,67","25,64","153,29M","4,46%"
"23.11.2020","25,10","24,05","25,10","24,04","125,65M","6,13%"
"20.11.2020","23,65","23,84","23,99","23,47","38,14M","-0,71%"
"19.11.2020","23,82","23,55","23,94","23,37","65,38M","1,15%"
"18.11.2020","23,55","23,99","24,13","23,55","68,54M","-0,59%"
"17.11.2020","23,69","23,05","24,14","22,98","94,08M","1,72%"
"16.11.2020","23,29","23,20","23,63","23,13","101,58M","2,92%"
"13.11.2020","22,63","22,02","22,80","21,89","66,07M","3,29%"
"12.11.2020","21,91","22,74","22,82","21,77","77,28M","-4,24%"
