"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","19,28","19,38","19,44","19,00","9,47M","-0,82%"
"12.07.2021","19,44","19,67","19,78","19,22","9,63M","-0,72%"
"08.07.2021","19,58","19,45","19,90","19,10","10,39M","-1,31%"
"07.07.2021","19,84","20,62","20,70","19,55","19,51M","-1,98%"
"06.07.2021","20,24","21,43","21,71","20,05","17,89M","-5,82%"
"05.07.2021","21,49","21,36","21,99","21,19","14,66M","1,08%"
"02.07.2021","21,26","20,54","21,50","20,32","20,72M","3,51%"
"01.07.2021","20,54","19,80","20,55","19,70","27,44M","5,39%"
"30.06.2021","19,49","19,14","19,80","18,95","19,81M","2,69%"
"29.06.2021","18,98","18,88","19,17","18,55","10,51M","1,12%"
"28.06.2021","18,77","19,12","19,32","18,66","9,16M","-1,62%"
"25.06.2021","19,08","19,60","20,00","18,87","13,61M","-1,90%"
"24.06.2021","19,45","19,54","19,65","19,21","6,07M","-0,21%"
"23.06.2021","19,49","19,40","19,73","19,29","7,69M","0,83%"
"22.06.2021","19,33","19,23","19,38","19,01","6,01M","-0,46%"
"21.06.2021","19,42","19,13","19,49","19,05","7,64M","2,21%"
"18.06.2021","19,00","19,11","19,20","18,48","12,43M","-0,73%"
"17.06.2021","19,14","19,98","20,08","19,00","14,44M","-4,54%"
"16.06.2021","20,05","20,12","20,35","19,71","10,41M","-0,15%"
"15.06.2021","20,08","19,45","20,37","19,45","16,56M","3,61%"
"14.06.2021","19,38","19,85","20,26","19,31","11,50M","-1,57%"
"11.06.2021","19,69","19,45","19,70","19,15","6,26M","0,87%"
"10.06.2021","19,52","19,21","19,59","19,00","7,61M","2,74%"
"09.06.2021","19,00","19,50","19,67","19,00","11,32M","-1,66%"
"08.06.2021","19,32","19,71","19,75","19,05","10,78M","-1,93%"
"07.06.2021","19,70","20,48","20,49","19,55","13,71M","-3,90%"
"04.06.2021","20,50","20,49","20,98","20,18","13,81M","1,08%"
