"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","20,50","20,22","20,52","20,16","9,76M","1,33%"
"12.07.2021","20,23","19,85","20,24","19,78","17,63M","3,37%"
"08.07.2021","19,57","19,34","19,75","18,94","18,02M","-1,01%"
"07.07.2021","19,77","19,66","20,07","19,51","18,05M","1,49%"
"06.07.2021","19,48","19,50","19,69","19,09","12,66M","-0,41%"
"05.07.2021","19,56","19,70","19,95","19,55","11,00M","0,15%"
"02.07.2021","19,53","19,40","19,70","19,25","10,87M","1,24%"
"01.07.2021","19,29","19,50","20,18","19,14","25,42M","0,99%"
"30.06.2021","19,10","19,10","19,33","18,83","16,28M","-0,26%"
"29.06.2021","19,15","18,80","19,57","18,76","24,06M","1,16%"
"28.06.2021","18,93","18,94","19,28","18,57","13,28M","0,48%"
"25.06.2021","18,84","19,23","19,35","18,74","13,57M","-1,36%"
"24.06.2021","19,10","18,82","19,30","18,39","20,08M","2,58%"
"23.06.2021","18,62","18,29","18,83","18,24","14,88M","2,14%"
"22.06.2021","18,23","18,08","18,49","18,00","11,14M","0,39%"
"21.06.2021","18,16","17,81","18,22","17,67","11,35M","0,33%"
"18.06.2021","18,10","17,65","18,15","17,63","16,98M","2,20%"
"17.06.2021","17,71","17,90","18,16","17,52","14,49M","-2,32%"
"16.06.2021","18,13","18,46","18,50","17,98","23,45M","-2,58%"
"15.06.2021","18,61","18,81","18,84","18,37","11,39M","-0,48%"
"14.06.2021","18,70","19,15","19,25","18,62","10,82M","-1,16%"
"11.06.2021","18,92","18,91","19,10","18,81","13,67M","0,58%"
"10.06.2021","18,81","18,99","19,01","18,45","15,31M","-0,21%"
"09.06.2021","18,85","18,49","19,17","18,16","18,41M","2,56%"
"08.06.2021","18,38","18,88","19,04","18,31","14,00M","-2,34%"
"07.06.2021","18,82","18,91","18,98","18,52","19,63M","-1,21%"
"04.06.2021","19,05","19,54","19,55","18,91","22,80M","-2,76%"
"02.06.2021","19,59","20,29","20,29","19,41","25,17M","-2,78%"
"01.06.2021","20,15","20,31","20,52","19,95","22,28M","1,46%"
"31.05.2021","19,86","19,94","20,53","19,81","20,65M","1,33%"
"28.05.2021","19,60","19,88","20,05","19,33","19,74M","0,05%"
"27.05.2021","19,59","19,97","20,14","19,59","25,57M","-0,36%"
"26.05.2021","19,66","19,12","19,66","19,03","16,35M","1,13%"
"25.05.2021","19,44","20,16","20,31","19,30","16,21M","-3,09%"
"24.05.2021","20,06","19,64","20,10","19,27","14,03M","0,91%"
"21.05.2021","19,88","20,18","20,35","19,71","13,16M","-1,97%"
"20.05.2021","20,28","20,50","20,72","20,13","11,02M","-1,27%"
"19.05.2021","20,54","20,33","20,63","20,03","17,74M","-1,15%"
"18.05.2021","20,78","20,94","21,00","20,50","16,19M","0,78%"
"17.05.2021","20,62","20,60","21,08","20,33","21,52M","1,58%"
"14.05.2021","20,30","21,16","21,27","20,23","28,85M","-4,96%"
"13.05.2021","21,36","21,89","22,39","21,24","24,64M","-4,47%"
"12.05.2021","22,36","23,17","23,39","22,15","25,70M","-5,13%"
"11.05.2021","23,57","23,00","23,66","22,81","19,39M","0,81%"
"10.05.2021","23,38","23,77","24,36","23,23","26,93M","1,04%"
"07.05.2021","23,14","23,12","23,31","22,69","84,12M","-1,82%"
"06.05.2021","23,57","23,07","23,82","22,76","18,90M","2,93%"
"05.05.2021","22,90","22,17","23,47","22,17","34,47M","4,47%"
"04.05.2021","21,92","21,61","22,07","21,45","12,50M","0,87%"
"03.05.2021","21,73","22,52","22,53","21,32","17,81M","-3,21%"
"30.04.2021","22,45","22,28","22,89","22,15","21,45M","-2,05%"
"29.04.2021","22,92","23,00","23,21","22,09","19,65M","0,00%"
"28.04.2021","22,92","23,15","23,57","22,72","18,68M","-0,74%"
"27.04.2021","23,09","22,97","23,54","22,49","24,32M","0,65%"
"26.04.2021","22,94","22,50","23,09","21,96","25,41M","3,57%"
"23.04.2021","22,15","22,81","23,12","21,67","33,63M","-0,27%"
"22.04.2021","22,21","21,42","22,59","21,33","31,30M","5,36%"
"20.04.2021","21,08","21,63","21,94","20,75","15,90M","-1,63%"
"19.04.2021","21,43","21,74","21,88","21,24","16,64M","-0,65%"
"16.04.2021","21,57","21,11","21,62","20,85","13,90M","2,71%"
"15.04.2021","21,00","21,29","21,83","20,66","22,35M","0,91%"
"14.04.2021","20,81","20,08","21,04","20,03","22,93M","4,21%"
"13.04.2021","19,97","19,51","20,19","19,20","18,64M","2,89%"
"12.04.2021","19,41","19,48","19,70","19,11","17,50M","1,09%"
"09.04.2021","19,20","18,32","19,51","18,25","26,97M","3,39%"
"08.04.2021","18,57","18,04","18,60","18,04","21,38M","3,74%"
"07.04.2021","17,90","17,76","18,00","17,53","13,81M","1,42%"
"06.04.2021","17,65","17,15","17,84","17,13","20,24M","3,46%"
"05.04.2021","17,06","16,84","17,25","16,72","14,21M","2,71%"
"01.04.2021","16,61","17,26","17,40","16,56","14,92M","-2,87%"
"31.03.2021","17,10","16,87","17,22","16,73","18,17M","1,36%"
"30.03.2021","16,87","16,59","16,94","16,35","15,37M","1,20%"
"29.03.2021","16,67","16,67","17,04","16,46","18,11M","0,54%"
"26.03.2021","16,58","16,60","16,96","16,23","18,17M","1,34%"
"25.03.2021","16,36","16,45","16,55","15,85","18,81M","-0,37%"
"24.03.2021","16,42","16,92","17,18","16,35","20,22M","-1,38%"
"23.03.2021","16,65","17,45","17,83","16,56","24,62M","-3,37%"
"22.03.2021","17,23","17,48","17,65","17,01","15,05M","-3,09%"
"19.03.2021","17,78","18,00","18,18","17,61","17,98M","-1,00%"
"18.03.2021","17,96","18,37","18,90","17,77","18,55M","-2,23%"
"17.03.2021","18,37","18,56","18,73","18,19","19,85M","-0,92%"
"16.03.2021","18,54","17,31","18,85","17,29","52,46M","8,55%"
"15.03.2021","17,08","16,89","17,21","16,72","14,24M","1,18%"
"12.03.2021","16,88","17,20","17,82","16,86","23,15M","-2,31%"
"11.03.2021","17,28","16,82","17,57","16,76","21,81M","4,47%"
"10.03.2021","16,54","17,05","17,20","16,28","19,44M","-3,22%"
"09.03.2021","17,09","16,70","17,25","16,35","19,04M","0,59%"
"08.03.2021","16,99","17,50","18,05","16,89","19,55M","-4,50%"
"05.03.2021","17,79","16,80","17,94","16,63","22,99M","5,83%"
"04.03.2021","16,81","17,30","17,59","16,58","25,98M","-2,94%"
"03.03.2021","17,32","17,30","17,83","16,77","27,77M","0,52%"
"02.03.2021","17,23","16,61","17,42","16,35","20,23M","2,26%"
"01.03.2021","16,85","16,49","17,22","16,24","21,80M","3,76%"
"26.02.2021","16,24","16,45","16,90","15,96","19,89M","-1,04%"
"25.02.2021","16,41","17,24","17,60","16,27","25,03M","-4,81%"
"24.02.2021","17,24","15,81","17,29","15,81","50,11M","9,53%"
"23.02.2021","15,74","15,21","15,78","14,96","36,51M","5,00%"
"22.02.2021","14,99","14,40","15,50","14,25","25,73M","0,13%"
"19.02.2021","14,97","14,74","15,02","14,57","14,98M","0,94%"
"18.02.2021","14,83","15,19","15,43","14,75","24,49M","-1,20%"
"17.02.2021","15,01","14,34","15,08","14,34","25,53M","5,78%"
"12.02.2021","14,19","14,65","14,85","14,13","38,20M","0,35%"
"11.02.2021","14,14","13,95","14,19","13,85","18,14M","2,39%"
"10.02.2021","13,81","14,10","14,22","13,55","20,85M","-1,78%"
"09.02.2021","14,06","13,95","14,10","13,72","14,59M","1,30%"
"08.02.2021","13,88","13,99","14,34","13,75","23,63M","1,09%"
"05.02.2021","13,73","13,28","13,95","13,12","21,75M","4,41%"
"04.02.2021","13,15","13,09","13,69","13,09","20,66M","1,00%"
"03.02.2021","13,02","13,19","13,27","13,00","20,43M","-0,38%"
"02.02.2021","13,07","13,42","13,50","12,96","20,40M","-2,10%"
"01.02.2021","13,35","13,45","13,60","13,18","13,29M","1,14%"
"29.01.2021","13,20","13,72","13,83","13,15","14,03M","-5,10%"
"28.01.2021","13,91","12,91","13,97","12,91","18,34M","5,70%"
"27.01.2021","13,16","13,33","13,52","12,81","27,75M","-2,66%"
"26.01.2021","13,52","14,16","14,28","13,43","14,92M","-4,52%"
"22.01.2021","14,16","13,87","14,24","13,63","10,84M","0,00%"
"21.01.2021","14,16","14,15","14,62","13,95","16,67M","0,35%"
"20.01.2021","14,11","14,43","14,55","13,85","17,68M","-1,67%"
"19.01.2021","14,35","15,15","15,18","14,16","22,48M","-4,71%"
"18.01.2021","15,06","15,20","15,34","15,00","11,84M","0,27%"
"15.01.2021","15,02","15,54","15,67","14,81","17,73M","-4,70%"
"14.01.2021","15,76","15,64","15,87","15,43","20,88M","1,81%"
"13.01.2021","15,48","16,44","16,44","15,41","31,89M","-6,07%"
"12.01.2021","16,48","16,91","17,10","16,26","21,97M","-1,38%"
"11.01.2021","16,71","16,31","17,31","16,10","38,58M","1,21%"
"08.01.2021","16,51","16,78","17,08","16,10","23,24M","-0,48%"
"07.01.2021","16,59","15,91","16,59","15,91","22,30M","5,53%"
"06.01.2021","15,72","15,22","16,15","15,10","23,59M","4,11%"
"05.01.2021","15,10","14,97","15,23","14,56","18,30M","1,07%"
"04.01.2021","14,94","14,91","15,44","14,89","20,69M","2,26%"
"30.12.2020","14,61","15,11","15,15","14,49","19,63M","-3,12%"
"29.12.2020","15,08","14,55","15,20","14,42","18,00M","4,29%"
"28.12.2020","14,46","14,73","14,89","14,27","13,27M","-1,09%"
"23.12.2020","14,62","13,93","14,79","13,87","21,40M","4,65%"
"22.12.2020","13,97","14,34","14,44","13,85","13,07M","-1,90%"
"21.12.2020","14,24","14,06","14,52","13,46","27,24M","-1,04%"
"18.12.2020","14,39","13,92","14,67","13,91","42,37M","4,96%"
"17.12.2020","13,71","14,00","14,54","13,63","28,89M","-0,80%"
"16.12.2020","13,82","13,90","14,06","13,55","13,20M","0,00%"
"15.12.2020","13,82","13,46","14,25","13,44","21,64M","3,91%"
"14.12.2020","13,30","13,67","13,67","13,21","11,00M","-2,64%"
"11.12.2020","13,66","13,50","13,78","13,40","9,09M","-0,07%"
"10.12.2020","13,67","13,44","13,82","13,26","20,35M","3,09%"
"09.12.2020","13,26","13,93","13,98","13,12","21,23M","-4,19%"
"08.12.2020","13,84","14,43","14,64","13,75","18,20M","-4,29%"
"07.12.2020","14,46","14,02","14,60","13,77","17,81M","3,14%"
"04.12.2020","14,02","13,28","14,13","13,28","24,37M","6,94%"
