"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","115,61","115,17","115,75","114,86","7,96M","0,47%"
"12.07.2021","115,07","115,31","116,30","115,00","22,27M","1,24%"
"08.07.2021","113,66","112,02","114,51","111,50","21,79M","-0,39%"
"07.07.2021","114,10","114,81","115,58","114,00","21,41M","0,29%"
"06.07.2021","113,77","113,50","114,35","112,67","18,92M","0,53%"
"05.07.2021","113,17","113,90","113,96","112,28","13,68M","-0,36%"
"02.07.2021","113,58","112,00","113,62","111,58","19,64M","2,07%"
"01.07.2021","111,28","113,41","114,36","110,76","22,01M","-1,74%"
"30.06.2021","113,25","111,83","114,28","111,68","18,85M","0,66%"
"29.06.2021","112,51","110,60","113,05","110,60","19,54M","1,73%"
"28.06.2021","110,60","113,24","113,70","110,01","18,75M","-1,60%"
"25.06.2021","112,40","111,60","113,97","111,40","26,05M","1,23%"
"24.06.2021","111,03","111,72","111,92","110,27","23,02M","-1,80%"
"23.06.2021","113,07","112,41","114,25","112,16","29,34M","1,50%"
"22.06.2021","111,40","110,69","112,08","110,18","18,43M","1,17%"
"21.06.2021","110,11","107,75","110,69","107,14","22,61M","0,94%"
"18.06.2021","109,09","107,01","109,09","106,52","59,65M","3,01%"
"17.06.2021","105,90","107,68","109,16","104,90","33,55M","-2,08%"
"16.06.2021","108,15","111,50","111,63","108,03","38,09M","-3,00%"
"15.06.2021","111,50","113,77","113,86","111,25","20,50M","-1,95%"
"14.06.2021","113,72","114,91","115,28","113,12","19,16M","-0,54%"
"11.06.2021","114,34","113,35","114,76","113,02","18,29M","2,24%"
"10.06.2021","111,83","112,22","113,37","111,04","30,65M","-0,33%"
"09.06.2021","112,20","110,00","113,34","109,20","22,46M","2,07%"
"08.06.2021","109,92","112,48","112,77","109,70","22,55M","-1,68%"
"07.06.2021","111,80","112,20","112,65","110,70","22,71M","-0,97%"
"04.06.2021","112,90","114,50","114,78","112,39","18,32M","-1,66%"
"02.06.2021","114,80","114,22","115,70","113,50","20,30M","1,41%"
"01.06.2021","113,20","117,00","118,00","113,20","31,14M","-1,38%"
"31.05.2021","114,78","112,50","114,89","112,50","17,73M","2,86%"
"28.05.2021","111,59","111,11","112,75","109,42","25,11M","0,54%"
"27.05.2021","110,99","110,80","112,09","109,77","55,34M","0,72%"
"26.05.2021","110,20","106,37","110,32","106,03","28,13M","2,94%"
"25.05.2021","107,05","110,28","110,89","106,78","23,22M","-2,49%"
"24.05.2021","109,78","108,00","110,14","107,51","19,24M","0,35%"
"21.05.2021","109,40","111,11","111,25","108,50","27,20M","-1,54%"
"20.05.2021","111,11","111,70","112,10","110,20","20,89M","-1,02%"
"19.05.2021","112,25","112,10","112,78","109,84","32,84M","-2,05%"
"18.05.2021","114,60","114,56","115,40","113,19","27,04M","1,00%"
"17.05.2021","113,46","111,50","113,82","111,17","26,04M","2,62%"
"14.05.2021","110,56","111,20","111,79","109,62","25,60M","-1,72%"
"13.05.2021","112,49","112,00","114,22","110,72","34,26M","-1,61%"
"12.05.2021","114,33","118,00","118,46","113,96","31,63M","-3,70%"
"11.05.2021","118,72","113,98","118,72","113,32","28,59M","3,51%"
"10.05.2021","114,69","119,80","120,45","114,69","38,70M","-0,66%"
"07.05.2021","115,45","116,54","116,55","114,19","21,60M","0,35%"
"06.05.2021","115,05","111,94","115,20","111,48","38,11M","3,92%"
"05.05.2021","110,71","111,99","112,82","110,39","25,94M","0,55%"
"04.05.2021","110,10","108,95","111,07","108,66","20,73M","1,51%"
"03.05.2021","108,46","109,70","110,35","108,26","19,45M","-0,51%"
"30.04.2021","109,02","110,99","111,56","109,02","36,65M","-2,62%"
"29.04.2021","111,95","112,19","112,95","110,89","19,64M","0,03%"
"28.04.2021","111,92","110,56","112,43","109,33","20,44M","1,63%"
"27.04.2021","110,12","108,88","110,60","108,52","24,02M","1,43%"
"26.04.2021","108,57","109,95","110,69","108,15","16,73M","0,54%"
"23.04.2021","107,99","107,15","108,10","106,46","12,73M","1,66%"
"22.04.2021","106,23","107,24","107,24","104,34","19,70M","0,07%"
"20.04.2021","106,16","107,95","108,35","105,02","20,78M","-1,46%"
"19.04.2021","107,73","109,00","109,88","107,64","23,22M","-0,86%"
"16.04.2021","108,67","108,64","109,11","107,50","17,36M","0,43%"
"15.04.2021","108,21","108,66","109,88","107,55","19,33M","1,13%"
"14.04.2021","107,00","103,97","107,78","103,77","38,00M","3,30%"
"13.04.2021","103,58","103,90","104,29","102,85","17,58M","0,17%"
"12.04.2021","103,40","102,90","103,63","102,21","14,73M","0,39%"
"09.04.2021","103,00","104,00","104,66","102,94","18,80M","-1,44%"
"08.04.2021","104,50","104,94","105,30","104,12","25,89M","-0,06%"
"07.04.2021","104,56","102,37","105,32","102,15","32,72M","2,46%"
"06.04.2021","102,05","103,80","104,56","102,05","22,11M","-1,30%"
"05.04.2021","103,39","99,83","103,82","99,80","35,73M","6,16%"
"01.04.2021","97,39","98,50","98,86","96,13","17,07M","-0,59%"
"31.03.2021","97,97","97,17","98,56","96,70","18,67M","0,93%"
"30.03.2021","97,07","97,91","98,50","96,58","17,90M","-0,93%"
"29.03.2021","97,98","96,00","98,45","95,87","25,82M","2,56%"
"26.03.2021","95,53","93,74","95,73","93,39","26,66M","3,34%"
"25.03.2021","92,44","93,04","93,29","90,61","23,54M","-0,76%"
"24.03.2021","93,15","92,00","94,64","91,81","24,63M","2,30%"
"23.03.2021","91,06","93,34","93,78","91,06","20,29M","-2,31%"
"22.03.2021","93,21","93,52","93,84","91,85","21,01M","-1,66%"
"19.03.2021","94,78","96,10","96,16","93,44","38,51M","-1,44%"
"18.03.2021","96,16","97,70","98,27","95,53","19,05M","-1,78%"
"17.03.2021","97,90","96,40","98,12","96,06","21,37M","1,44%"
"16.03.2021","96,51","97,04","97,84","96,02","19,08M","-0,32%"
"15.03.2021","96,82","96,50","97,35","95,76","19,95M","-0,60%"
