"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","14,74","14,64","14,82","14,54","15,37M","0,07%"
"12.07.2021","14,73","15,03","15,05","14,67","19,97M","-0,81%"
"08.07.2021","14,85","14,76","14,90","14,53","31,36M","-1,98%"
"07.07.2021","15,15","15,16","15,27","14,87","33,13M","1,00%"
"06.07.2021","15,00","15,40","15,46","14,98","31,56M","-3,10%"
"05.07.2021","15,48","15,66","15,69","15,25","23,71M","-0,77%"
"02.07.2021","15,60","15,54","15,76","15,37","27,05M","0,91%"
"01.07.2021","15,46","15,89","15,93","15,30","34,35M","-2,09%"
"30.06.2021","15,79","15,84","15,98","15,71","32,26M","-1,44%"
"29.06.2021","16,02","16,06","16,07","15,67","23,85M","-0,06%"
"28.06.2021","16,03","15,61","16,15","15,61","33,43M","1,97%"
"25.06.2021","15,72","15,95","16,01","15,43","33,51M","-0,32%"
"24.06.2021","15,77","16,00","16,13","15,74","32,91M","-0,19%"
"23.06.2021","15,80","16,07","16,19","15,76","39,08M","-0,82%"
"22.06.2021","15,93","15,64","16,07","15,48","35,86M","1,14%"
"21.06.2021","15,75","15,25","15,79","15,18","47,11M","3,82%"
"18.06.2021","15,17","15,00","15,26","14,92","61,03M","0,73%"
"17.06.2021","15,06","14,68","15,12","14,48","44,22M","2,59%"
"16.06.2021","14,68","14,76","15,03","14,58","41,22M","-0,54%"
"15.06.2021","14,76","14,83","14,94","14,66","26,90M","-0,27%"
"14.06.2021","14,80","14,87","15,21","14,72","42,11M","1,37%"
"11.06.2021","14,60","14,53","14,62","14,15","40,11M","0,27%"
"10.06.2021","14,56","15,14","15,18","14,54","50,16M","-3,45%"
"09.06.2021","15,08","15,27","15,35","14,97","40,45M","-1,37%"
"08.06.2021","15,29","14,99","15,29","14,90","59,43M","4,37%"
"07.06.2021","14,65","14,61","15,02","14,61","51,76M","0,69%"
"04.06.2021","14,55","14,38","14,77","14,21","47,32M","1,39%"
"02.06.2021","14,35","13,83","14,59","13,68","76,46M","3,68%"
"01.06.2021","13,84","13,15","13,97","13,09","79,08M","6,63%"
"31.05.2021","12,98","12,75","13,07","12,65","40,79M","2,04%"
"28.05.2021","12,72","12,72","12,87","12,50","32,81M","0,00%"
"27.05.2021","12,72","12,51","12,72","12,44","34,77M","1,68%"
"26.05.2021","12,51","12,51","12,81","12,44","30,16M","0,64%"
"25.05.2021","12,43","12,55","12,63","12,37","30,25M","-0,24%"
"24.05.2021","12,46","11,95","12,56","11,95","61,24M","4,97%"
"21.05.2021","11,87","11,92","12,14","11,73","48,81M","-0,34%"
"20.05.2021","11,91","12,05","12,13","11,91","24,15M","-1,16%"
"19.05.2021","12,05","11,87","12,07","11,81","36,07M","0,50%"
"18.05.2021","11,99","11,96","12,15","11,92","27,83M","0,08%"
"17.05.2021","11,98","12,09","12,20","11,89","26,37M","-1,24%"
"14.05.2021","12,13","12,30","12,42","12,06","27,96M","-0,74%"
"13.05.2021","12,22","12,00","12,28","11,92","62,56M","4,44%"
"12.05.2021","11,70","11,95","12,16","11,61","33,01M","-3,47%"
"11.05.2021","12,12","11,86","12,12","11,71","31,76M","0,75%"
"10.05.2021","12,03","12,15","12,35","11,90","24,30M","-1,07%"
"07.05.2021","12,16","12,08","12,31","12,00","25,89M","1,67%"
"06.05.2021","11,96","12,03","12,17","11,80","29,87M","-1,16%"
"05.05.2021","12,10","11,91","12,18","11,88","22,73M","1,34%"
"04.05.2021","11,94","11,89","11,95","11,72","26,39M","0,59%"
"03.05.2021","11,87","11,95","12,08","11,76","24,87M","0,34%"
"30.04.2021","11,83","12,00","12,26","11,83","33,43M","-2,23%"
"29.04.2021","12,10","12,23","12,30","11,97","32,82M","-0,98%"
