Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,6.947777,7.373663,6.906024,7.223350,5.496986,14790506
2016-07-15,7.223350,7.306857,6.922725,7.073038,5.382598,12901681
2016-07-18,7.164895,7.482222,6.997882,7.448819,5.668569,11913140
2016-07-19,7.448819,7.540677,7.256753,7.348611,5.592310,8067352
2016-07-20,7.340260,7.640885,7.206649,7.415416,5.643148,14460234
2016-07-21,7.515625,7.632534,7.440468,7.582430,5.770246,7226584
2016-07-22,7.540677,7.707691,7.440468,7.549027,5.744827,9024758
2016-07-25,7.549027,7.549027,7.148194,7.306857,5.560535,10456734
2016-07-26,7.306857,7.549027,7.265104,7.532326,5.732117,11259781
2016-07-27,7.549027,7.724392,7.549027,7.599132,5.782957,8097290
2016-07-28,7.557378,7.590781,7.390364,7.574079,5.763891,5229984
2016-07-29,7.574079,7.632534,7.373663,7.590781,5.776601,6936069
2016-08-01,7.615833,7.924809,7.498923,7.549027,5.744827,8975660
2016-08-02,7.574079,7.582430,7.281805,7.365312,5.605020,6524127
2016-08-03,7.340260,7.741093,7.206649,7.724392,5.878280,7192575
2016-08-04,7.816250,8.150277,7.707691,8.075121,6.145185,12386275
2016-08-05,8.141927,8.217083,7.682639,7.807899,5.941828,10706654
2016-08-08,7.883055,8.016666,7.757795,7.958211,6.056217,5240043
2016-08-09,7.983264,8.075121,7.774496,7.816250,5.948184,11478326
2016-08-10,7.891406,7.991614,7.766145,7.791198,5.929119,9169416
2016-08-11,7.766145,8.066770,7.732743,8.066770,6.138830,6857154
2016-08-12,8.050069,8.217083,7.924809,8.016666,6.100700,9872591
2016-08-15,7.933159,8.217083,7.782847,8.183680,6.227799,7663554
2016-08-16,8.267187,8.325642,7.933159,7.966562,6.062571,11567540
2016-08-17,7.966562,7.999965,7.540677,7.832951,5.960894,9862053
2016-08-18,7.807899,7.849652,7.657586,7.707691,5.865571,6955110
2016-08-19,7.716041,7.924809,7.607482,7.849652,5.973604,6919663
2016-08-22,7.791198,7.799548,7.415416,7.515625,5.719408,10481283
2016-08-23,7.657586,7.749444,7.523975,7.523975,5.725761,9002963
2016-08-24,7.515625,7.574079,7.315208,7.365312,5.605020,9289167
2016-08-25,7.348611,7.473871,7.240052,7.398715,5.630439,6356117
2016-08-26,7.448819,7.649236,7.331909,7.365312,5.605020,8227219
2016-08-29,7.356961,7.557378,7.348611,7.515625,5.719408,5200405
2016-08-30,7.574079,7.582430,7.432118,7.448819,5.668569,5096103
2016-08-31,7.448819,7.557378,7.306857,7.306857,5.560535,8757115
2016-09-01,7.473871,7.682639,7.315208,7.615833,5.795665,9561001
2016-09-02,7.690989,8.008316,7.690989,8.008316,6.094347,8317870
2016-09-05,8.100173,8.100173,7.949861,8.050069,6.126120,3267512
2016-09-06,8.100173,8.166979,7.883055,8.125225,6.183314,5998423
2016-09-08,8.008316,8.141927,7.999965,7.999965,6.087991,12084024
2016-09-09,7.933159,7.933159,7.356961,7.407066,5.636794,14534599
2016-09-12,7.423767,7.423767,6.939427,7.423767,5.649504,13678023
2016-09-13,7.382014,7.407066,6.997882,6.997882,5.325404,7637688
2016-09-14,7.081389,7.114791,6.814166,7.039635,5.357179,10913223
2016-09-15,7.123142,7.223350,7.022934,7.139843,5.433436,5268903
2016-09-16,7.123142,7.131493,6.931076,6.989531,5.319049,6051712
2016-09-19,7.081389,7.173246,6.989531,7.089739,5.395308,3499589
2016-09-20,7.156545,7.306857,7.106441,7.206649,5.484276,6726745
2016-09-21,7.273454,7.415416,7.131493,7.348611,5.592310,7055221
2016-09-22,7.482222,7.624184,7.365312,7.590781,5.776601,6913317
