Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,7.850000,7.900000,7.730000,7.860000,6.796620,2890100
2016-07-19,7.860000,8.150000,7.800000,8.080000,6.986856,2602700
2016-07-20,8.140000,8.250000,8.030000,8.120000,7.021444,2325400
2016-07-21,8.120000,8.180000,8.050000,8.160000,7.056032,1508300
2016-07-22,8.140000,8.300000,8.080000,8.150000,7.047385,1580300
2016-07-25,8.200000,8.210000,7.720000,8.050000,6.960915,1817300
2016-07-26,8.050000,8.160000,7.980000,8.000000,6.917679,2479900
2016-07-27,8.030000,8.150000,7.810000,7.810000,6.753384,2714800
2016-07-28,7.850000,7.910000,7.680000,7.820000,6.762031,2195800
2016-07-29,7.860000,8.210000,7.830000,8.210000,7.099268,4712600
2016-08-01,8.250000,8.310000,8.120000,8.280000,7.159798,2568700
2016-08-02,8.310000,8.320000,7.970000,8.040000,6.952268,2275900
2016-08-03,8.040000,8.220000,7.970000,8.210000,7.099268,2106900
2016-08-04,8.270000,8.410000,8.200000,8.390000,7.254917,3153700
2016-08-05,8.420000,8.660000,8.420000,8.500000,7.350034,3613200
2016-08-08,8.580000,8.620000,8.110000,8.160000,7.056032,3430100
2016-08-09,8.200000,8.260000,8.050000,8.170000,7.064681,1725400
2016-08-10,8.240000,8.320000,8.100000,8.150000,7.047385,1463000
2016-08-11,8.100000,8.400000,8.080000,8.400000,7.263564,3638100
2016-08-12,8.400000,8.590000,8.320000,8.470000,7.324094,3008900
2016-08-15,8.500000,8.630000,8.440000,8.510000,7.358681,1953100
2016-08-16,8.490000,8.600000,8.360000,8.520000,7.367329,2104800
2016-08-17,8.490000,8.760000,8.360000,8.730000,7.548917,8536900
2016-08-18,8.810000,8.920000,8.660000,8.820000,7.626742,4138600
2016-08-19,8.770000,8.900000,8.720000,8.810000,7.618095,1841700
2016-08-22,8.820000,8.830000,8.510000,8.540000,7.384623,2616000
2016-08-23,8.640000,8.730000,8.450000,8.650000,7.479740,2856900
2016-08-24,8.620000,8.620000,8.480000,8.500000,7.350034,3732200
2016-08-25,8.530000,8.530000,8.200000,8.200000,7.090621,3596300
2016-08-26,8.200000,8.370000,8.090000,8.150000,7.047385,2805600
2016-08-29,8.130000,8.470000,7.970000,8.420000,7.280858,2029400
2016-08-30,8.430000,8.480000,8.330000,8.390000,7.254917,1520500
2016-08-31,8.430000,8.500000,8.160000,8.320000,7.194386,2042400
2016-09-01,8.430000,8.600000,8.290000,8.520000,7.367329,2349900
2016-09-02,8.590000,8.750000,8.520000,8.690000,7.514329,2052000
2016-09-05,8.730000,8.880000,8.650000,8.790000,7.600800,1442800
2016-09-06,8.840000,8.990000,8.710000,8.830000,7.635388,2548800
2016-09-08,8.860000,9.050000,8.820000,9.020000,7.799684,2700100
2016-09-09,8.910000,8.910000,8.580000,8.580000,7.419211,3085400
2016-09-12,8.580000,8.830000,8.460000,8.800000,7.609447,2441600
2016-09-13,8.840000,8.950000,8.360000,8.500000,7.350034,4060300
2016-09-14,8.520000,8.590000,8.280000,8.490000,7.341387,3591400
2016-09-15,8.520000,8.520000,8.260000,8.330000,7.203034,2424000
2016-09-16,8.330000,8.360000,8.260000,8.350000,7.220328,2232000
2016-09-19,8.410000,8.500000,8.370000,8.420000,7.280858,2328800
2016-09-20,8.340000,8.630000,8.340000,8.540000,7.384623,3188100
2016-09-21,8.510000,8.810000,8.400000,8.610000,7.445152,2875600
2016-09-22,8.700000,8.850000,8.650000,8.840000,7.644036,3304000
2016-09-23,8.850000,8.930000,8.730000,8.830000,7.635388,2643800
2016-09-26,8.780000,8.950000,8.650000,8.700000,7.522976,3970000
2016-09-27,8.800000,8.950000,8.720000,8.940000,7.730506,6800800
2016-09-28,8.940000,8.980000,8.830000,8.900000,7.695917,2855100
2016-09-29,8.890000,8.930000,8.680000,8.770000,7.583506,2711200
2016-09-30,8.780000,8.980000,8.770000,8.890000,7.687272,3193000
2016-10-03,8.950000,9.150000,8.780000,9.030000,7.808330,3976600
2016-10-04,9.100000,9.120000,8.990000,9.070000,7.842918,2729400
2016-10-05,9.110000,9.480000,9.110000,9.380000,8.110978,6617200
2016-10-06,9.360000,9.490000,9.130000,9.170000,7.929390,5005100
2016-10-07,9.240000,9.420000,9.210000,9.230000,7.981271,5579500
2016-10-10,9.250000,9.360000,9.130000,9.210000,7.963977,1655000
2016-10-11,9.200000,9.340000,8.940000,9.040000,7.816977,3893800
2016-10-13,9.040000,9.170000,8.950000,9.160000,7.920743,3611600
2016-10-14,9.250000,9.380000,9.000000,9.080000,7.851565,4564300
2016-10-17,9.110000,9.180000,9.000000,9.100000,7.868860,2649800
2016-10-18,9.130000,9.290000,9.050000,9.250000,7.998567,3633100
2016-10-19,9.280000,9.350000,9.130000,9.190000,7.946684,2833500
2016-10-20,9.170000,9.280000,9.030000,9.100000,7.868860,3863800
2016-10-21,9.100000,9.190000,8.910000,9.150000,7.912096,8126100
2016-10-24,9.160000,9.490000,9.130000,9.370000,8.102332,4070200
2016-10-25,9.400000,9.530000,9.320000,9.450000,8.171508,2958600
2016-10-26,9.450000,9.600000,9.240000,9.510000,8.223392,3125300
2016-10-27,9.530000,9.700000,9.480000,9.550000,8.257979,2688200
2016-10-28,9.550000,9.670000,9.410000,9.420000,8.145567,2712500
2016-10-31,9.440000,9.480000,9.300000,9.470000,8.188803,4682100
2016-11-01,9.450000,9.540000,9.010000,9.150000,7.912096,5043800
2016-11-03,9.140000,9.270000,9.040000,9.100000,7.868860,3429300
2016-11-04,9.150000,9.390000,8.910000,9.040000,7.816977,3411600
2016-11-07,9.220000,9.430000,9.200000,9.400000,8.128273,1814100
2016-11-08,9.310000,9.490000,9.310000,9.390000,8.119626,1833700
