Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,7.152670,7.432636,7.152670,7.423605,5.546247,41651727
2016-07-15,7.432636,7.432636,7.279106,7.387480,5.519258,24739152
2016-07-18,7.423605,7.577134,7.369418,7.550041,5.640708,19833465
2016-07-19,7.541010,7.604228,7.477792,7.595197,5.674446,27965652
2016-07-20,7.631321,7.694539,7.486823,7.568103,5.654202,27061669
2016-07-21,7.586165,7.613259,7.387480,7.495854,5.600225,19009982
2016-07-22,7.450698,7.541010,7.441667,7.513916,5.613719,18458557
2016-07-25,7.531979,7.586165,7.396511,7.477792,5.586730,21763230
2016-07-26,7.504885,7.568103,7.387480,7.405542,5.532753,15431478
2016-07-27,7.432636,7.531979,7.423605,7.522947,5.620467,18111646
2016-07-28,7.486823,7.504885,7.360387,7.432636,5.552994,29650598
2016-07-29,7.378449,7.595197,7.369418,7.550041,5.640708,16565110
2016-08-01,7.577134,7.658415,7.396511,7.459729,5.573236,19961245
2016-08-02,7.423605,7.640352,7.414574,7.504885,5.606973,22061642
2016-08-03,7.459729,7.802913,7.459729,7.802913,5.829631,33391650
2016-08-04,7.820975,7.956443,7.793882,7.820975,5.843124,20742873
2016-08-05,7.866131,7.884193,7.739695,7.793882,5.822884,21801542
2016-08-08,7.766788,7.839038,7.685508,7.739695,5.782400,12915520
2016-08-09,7.784851,7.884193,7.730664,7.730664,5.775655,17736943
2016-08-10,7.784851,7.820975,7.550041,7.631321,5.701434,31372859
2016-08-11,7.676477,7.848069,7.640352,7.848069,5.863368,20131323
2016-08-12,7.839038,7.920318,7.775820,7.857100,5.870115,16799853
2016-08-15,7.857100,7.992567,7.830007,7.920318,5.971571,12053171
2016-08-16,7.884193,7.938380,7.793882,7.839038,5.910289,41458507
2016-08-17,7.839038,7.974505,7.730664,7.965474,6.005617,26715423
2016-08-18,7.929349,8.010630,7.857100,8.001598,6.032854,16421164
2016-08-19,7.983536,7.992567,7.875162,7.929349,5.978379,8344452
2016-08-22,7.920318,7.920318,7.685508,7.712602,5.814962,14015380
2016-08-23,7.793882,7.811944,7.640352,7.721633,5.821771,22463362
2016-08-24,7.676477,7.766788,7.613259,7.694539,5.801343,17776473
2016-08-25,7.712602,7.775820,7.649384,7.676477,5.787725,8071950
2016-08-26,7.721633,7.857100,7.640352,7.748726,5.842197,17472304
2016-08-29,7.721633,7.920318,7.721633,7.866131,5.930717,16728434
2016-08-30,7.875162,7.911287,7.793882,7.884193,5.944333,11846221
2016-08-31,7.902256,7.965474,7.685508,7.766788,5.855814,21510328
2016-09-01,7.739695,7.902256,7.703570,7.820975,5.906971,30306660
2016-09-02,7.857100,7.938380,7.857100,7.929349,5.988825,19262552
2016-09-05,7.956443,7.983536,7.857100,7.902256,5.968362,9372006
2016-09-06,7.947411,7.965474,7.820975,7.965474,6.016110,17322267
2016-09-08,7.902256,7.929349,7.848069,7.857100,5.934258,23230374
2016-09-09,7.784851,7.802913,7.459729,7.495854,5.661419,31091832
2016-09-12,7.450698,7.622290,7.414574,7.559072,5.709165,18403193
2016-09-13,7.513916,7.568103,7.333293,7.522947,5.681880,32508263
2016-09-14,7.541010,7.568103,7.414574,7.441667,5.620492,27933873
2016-09-15,7.441667,7.694539,7.441667,7.613259,5.750090,44380837
2016-09-16,7.613259,7.613259,7.423605,7.522947,5.681880,29128737
2016-09-19,7.586165,7.667446,7.522947,7.541010,5.695522,11780116
2016-09-20,7.586165,7.649384,7.568103,7.586165,5.729627,13748525
2016-09-21,7.667446,7.676477,7.477792,7.631321,5.763733,18575707
2016-09-22,7.685508,7.793882,7.640352,7.748726,5.852405,19569711
2016-09-23,7.739695,7.748726,7.613259,7.685508,5.804659,14355203
2016-09-26,7.604228,7.649384,7.559072,7.595197,5.736450,13207398
2016-09-27,7.613259,7.712602,7.504885,7.703570,5.818300,26485663
2016-09-28,7.694539,7.802913,7.649384,7.784851,5.879689,19879528
2016-09-29,7.793882,7.820975,7.559072,7.559072,5.709165,30965048
2016-09-30,7.604228,7.631321,7.513916,7.531979,5.688702,24325584
2016-10-03,7.541010,7.703570,7.522947,7.667446,5.791018,14931653
2016-10-04,7.586165,7.649384,7.423605,7.559072,5.709165,98367982
2016-10-05,7.550041,7.730664,7.531979,7.658415,5.784197,43802395
2016-10-06,7.676477,7.802913,7.649384,7.784851,5.879689,38136007
2016-10-07,7.811944,7.902256,7.784851,7.875162,5.947899,35216888
2016-10-10,7.947411,8.001598,7.938380,7.992567,6.036572,28670767
2016-10-11,7.992567,7.992567,7.875162,7.911287,5.975184,21326077
2016-10-13,7.875162,7.956443,7.830007,7.911287,5.975184,34017262
2016-10-14,7.965474,8.091910,7.938380,8.037723,6.070676,28186997
2016-10-17,8.064816,8.146097,8.028692,8.109972,6.125244,26719853
2016-10-18,8.155128,8.236408,8.073848,8.218346,6.207098,32361105
2016-10-19,8.227377,8.272533,8.146097,8.164159,6.166172,23390376
2016-10-20,8.128034,8.326720,8.073848,8.200284,6.193457,22091095
2016-10-21,8.137066,8.227377,8.100941,8.137066,6.145710,15163517
2016-10-24,8.173190,8.227377,8.082879,8.091910,6.111605,18201668
2016-10-25,8.082879,8.119003,7.902256,7.983536,6.029751,15801642
2016-10-26,7.956443,8.082879,7.929349,8.001598,6.043395,12561412
2016-10-27,8.019661,8.227377,8.019661,8.173190,6.172992,26441704
2016-10-28,8.173190,8.236408,8.073848,8.191253,6.186635,20988910
2016-10-31,8.227377,8.525405,8.218346,8.525405,6.439012,37790425
2016-11-01,8.552499,8.570561,8.299626,8.335751,6.295770,28602337
2016-11-03,8.290595,8.426062,8.155128,8.173190,6.172992,22765539
2016-11-04,8.173190,8.462187,8.137066,8.335751,6.295770,29330926
2016-11-07,8.498312,8.606685,8.462187,8.534436,6.445831,20886155
2016-11-08,8.534436,8.696997,8.498312,8.579592,6.479936,25296224
2016-11-09,8.173190,8.570561,8.164159,8.398969,6.343517,21835535
2016-11-10,8.398969,8.435094,7.848069,7.965474,6.016110,43804609
2016-11-11,7.784851,8.046754,7.685508,7.748726,5.852405,48466917
2016-11-14,7.721633,7.938380,7.622290,7.739695,5.845584,29198385
2016-11-16,7.857100,8.010630,7.802913,7.992567,6.036572,26503269
2016-11-17,8.037723,8.082879,7.766788,7.802913,5.893331,32104438
2016-11-18,7.784851,8.064816,7.784851,7.929349,5.988825,18251939
2016-11-21,8.010630,8.109972,7.965474,8.010630,6.050215,22509425
2016-11-22,8.109972,8.182221,7.911287,8.010630,6.050215,27828239
2016-11-23,7.983536,8.037723,7.866131,7.866131,5.941078,23312867
2016-11-24,7.902256,7.929349,7.793882,7.802913,5.893331,8879600
2016-11-25,7.757757,7.784851,7.667446,7.766788,5.866046,12823173
2016-11-28,7.775820,7.893225,7.694539,7.839038,5.920615,15820798
2016-11-29,7.811944,7.857100,7.685508,7.685508,5.804659,16431019
