Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,2.200000,2.220000,2.150000,2.170000,2.092139,21949600
2016-07-15,2.170000,2.400000,2.140000,2.350000,2.265680,37445300
2016-07-18,2.360000,2.550000,2.340000,2.530000,2.439221,40027600
2016-07-19,2.490000,2.590000,2.390000,2.420000,2.333169,36426900
2016-07-20,2.420000,2.550000,2.310000,2.490000,2.400657,44402100
2016-07-21,2.550000,2.760000,2.530000,2.740000,2.641687,51772500
2016-07-22,2.820000,2.880000,2.750000,2.810000,2.709175,36300000
2016-07-25,2.840000,2.920000,2.710000,2.870000,2.767022,38674900
2016-07-26,2.930000,3.070000,2.840000,3.040000,2.930923,38920000
2016-07-27,3.120000,3.340000,3.080000,3.310000,3.191234,49492000
2016-07-28,3.350000,3.430000,3.020000,3.390000,3.268364,72648200
2016-07-29,3.300000,3.760000,3.270000,3.750000,3.615447,58635700
2016-08-01,3.840000,4.300000,3.810000,3.840000,3.702217,89921500
2016-08-02,3.730000,4.070000,3.560000,3.610000,3.480470,76774100
2016-08-03,3.640000,3.980000,3.470000,3.960000,3.817912,62377800
2016-08-04,4.120000,4.170000,3.870000,3.960000,3.817912,54754000
2016-08-05,4.040000,4.070000,3.830000,3.860000,3.721500,34929200
2016-08-08,3.930000,3.980000,3.660000,3.680000,3.547959,37871500
2016-08-09,3.710000,3.850000,3.660000,3.800000,3.663653,40848900
2016-08-10,3.860000,3.890000,3.670000,3.670000,3.538317,26267600
2016-08-11,3.720000,3.800000,3.580000,3.780000,3.644370,31523700
2016-08-12,3.770000,3.830000,3.680000,3.720000,3.586523,26282900
2016-08-15,3.750000,4.020000,3.730000,3.940000,3.798630,32995500
2016-08-16,3.930000,4.040000,3.850000,3.870000,3.731141,26637200
2016-08-17,3.850000,3.920000,3.750000,3.910000,3.769706,23941900
2016-08-18,3.900000,3.970000,3.870000,3.880000,3.740782,19690500
2016-08-19,3.850000,3.890000,3.790000,3.840000,3.702217,13765200
2016-08-22,3.810000,3.830000,3.550000,3.610000,3.480470,18032200
2016-08-23,3.690000,3.810000,3.670000,3.730000,3.596164,23374100
2016-08-24,3.680000,3.740000,3.410000,3.430000,3.306929,28165200
2016-08-25,3.380000,3.560000,3.320000,3.360000,3.239440,28086600
2016-08-26,3.410000,3.580000,3.370000,3.580000,3.451546,36357700
2016-08-29,3.600000,3.650000,3.390000,3.430000,3.306929,36508900
2016-08-30,3.480000,3.490000,3.350000,3.380000,3.258723,22639200
2016-08-31,3.400000,3.520000,3.340000,3.470000,3.345493,23188700
2016-09-01,3.500000,3.520000,3.420000,3.440000,3.316570,15274700
2016-09-02,3.500000,3.800000,3.460000,3.790000,3.654012,32231600
2016-09-05,3.860000,3.940000,3.820000,3.850000,3.711859,18410500
2016-09-06,3.910000,3.970000,3.760000,3.900000,3.760065,23224400
2016-09-08,3.910000,4.090000,3.890000,4.040000,3.895041,30746900
2016-09-09,4.000000,4.050000,3.850000,3.850000,3.711859,22722600
2016-09-12,3.880000,3.970000,3.710000,3.890000,3.750424,26141800
2016-09-13,3.830000,3.850000,3.560000,3.590000,3.461188,25745700
2016-09-14,3.670000,3.730000,3.530000,3.570000,3.441905,21551800
2016-09-15,3.610000,3.660000,3.530000,3.550000,3.422623,15500100
2016-09-16,3.530000,3.530000,3.380000,3.420000,3.297287,20218000
2016-09-19,3.500000,3.580000,3.360000,3.370000,3.249082,18167200
2016-09-20,3.420000,3.450000,3.230000,3.400000,3.278005,23875900
2016-09-21,3.460000,3.650000,3.400000,3.650000,3.519035,24968500
2016-09-22,3.750000,3.790000,3.590000,3.610000,3.480470,20504000
2016-09-23,3.630000,3.630000,3.490000,3.570000,3.441905,17481800
2016-09-26,3.480000,3.570000,3.460000,3.530000,3.403341,11944300
2016-09-27,3.560000,3.570000,3.410000,3.430000,3.306929,14639900
2016-09-28,3.470000,3.660000,3.470000,3.650000,3.519035,19318000
2016-09-29,3.690000,3.750000,3.570000,3.650000,3.519035,22009600
2016-09-30,3.630000,3.670000,3.530000,3.530000,3.403341,15102100
2016-10-03,3.560000,3.590000,3.500000,3.570000,3.441905,14143600
2016-10-04,3.580000,3.600000,3.520000,3.580000,3.451546,11174600
2016-10-05,3.610000,3.730000,3.600000,3.720000,3.586523,15748800
2016-10-06,3.650000,3.720000,3.600000,3.650000,3.519035,20183400
2016-10-07,3.700000,3.790000,3.690000,3.750000,3.615447,25114500
2016-10-10,3.800000,3.850000,3.760000,3.780000,3.644370,17201900
2016-10-11,3.730000,3.790000,3.680000,3.710000,3.576882,13813700
2016-10-13,3.660000,3.660000,3.520000,3.550000,3.422623,34002300
2016-10-14,3.610000,3.640000,3.560000,3.560000,3.432265,12870400
2016-10-17,3.550000,3.620000,3.510000,3.580000,3.451546,11458400
2016-10-18,3.630000,3.700000,3.610000,3.650000,3.519035,17313000
2016-10-19,3.680000,3.760000,3.650000,3.680000,3.547959,19641000
2016-10-20,3.640000,3.730000,3.580000,3.720000,3.586523,22123100
2016-10-21,3.700000,4.000000,3.670000,3.960000,3.817912,43237000
2016-10-24,4.060000,4.180000,4.030000,4.080000,3.933606,37950800
2016-10-25,4.170000,4.200000,3.940000,4.180000,4.030018,43495400
2016-10-26,4.110000,4.180000,4.050000,4.110000,3.962530,31039900
2016-10-27,4.150000,4.270000,4.150000,4.160000,4.010735,30780000
2016-10-28,4.300000,4.630000,4.270000,4.630000,4.463872,59447100
2016-10-31,4.790000,4.830000,4.510000,4.510000,4.348177,44355000
