Date,ABEV3,B3SA3,BBDC4,BOVA11,BRML3,CIEL3,CMIG4,COGN3,CSNA3,EQTL3,GGBR4,IRBR3,ITSA4,ITUB4,MGLU3,PETR4,PRIO3,USIM5,VALE3,VVAR3
2016-07-14,16.6248,5.605786,14.203136,53.610001,10.450459,23.16547,5.496986,14.181362,8.008073,8.983782,6.246456,,5.546247,16.365999,0.159011,9.809638,0.2684,2.092139,13.927343,3.370919
2016-07-15,16.49424,5.684979,14.203136,53.950001,10.658031,23.486578,5.382598,14.355761,8.39292,8.887883,6.384449,,5.519258,16.312372,0.158676,9.890413,0.26,2.26568,13.919316,3.301312
2016-07-18,16.589981,5.761344,14.49924,54.880001,10.99334,23.440701,5.668569,14.502623,8.581248,9.123107,6.559238,,5.640708,16.590267,0.158563,10.366086,0.261,2.439221,14.111971,3.520074
2016-07-19,16.685726,5.713263,14.444031,55.049999,11.009305,24.082912,5.59231,14.447551,8.523932,9.231672,6.467244,,5.674446,16.492758,0.160315,10.572508,0.2664,2.333169,13.517953,3.520074
2016-07-20,16.642206,5.472854,14.569505,54.970001,11.296714,23.919081,5.643148,13.722419,8.39292,8.998257,6.283254,,5.654202,16.751135,0.160875,10.60841,0.2782,2.400657,13.253052,3.480299
2016-07-21,16.711838,5.472854,14.459087,54.93,11.224862,23.689722,5.770246,13.658167,8.843273,8.938546,6.36605,,5.600225,16.526882,0.160315,10.635333,0.323,2.641687,13.96748,3.480299
2016-07-22,16.877218,5.464368,14.554442,55.049999,11.216879,23.873215,5.744827,13.841743,8.908778,9.246147,6.706431,,5.613719,16.629263,0.160427,10.716109,0.312,2.709175,13.766797,3.480299
2016-07-25,16.877218,5.430429,14.509277,55.099998,11.113094,23.788023,5.560535,13.593915,8.99066,9.629745,6.743229,,5.58673,16.502504,0.168443,10.796884,0.316,2.767022,13.983535,3.480299
2016-07-26,16.8424,5.396488,14.393841,55.099998,10.99334,23.650402,5.732117,13.355264,9.178988,9.787165,6.991615,,5.532753,16.292871,0.168928,10.662257,0.315,2.930923,14.786263,3.480299
2016-07-27,16.816286,5.337092,14.444031,55.049999,10.937454,23.493128,5.782957,13.098258,9.293623,9.707549,7.286,,5.620467,16.356241,0.167921,10.330186,0.3068,3.191234,15.187628,2.993057
2016-07-28,16.920734,5.430429,13.801627,55.0,11.001324,23.702829,5.763891,13.46541,9.293623,9.942775,7.194005,,5.552994,16.175865,0.164268,10.26736,0.3,3.268364,15.283957,2.853845
2016-07-29,16.363678,5.399315,14.233243,55.68,11.224862,24.082912,5.776601,13.254294,9.064354,10.047721,7.129607,,5.640708,16.473249,0.171501,10.653282,0.2984,3.615447,14.850481,2.883677
2016-08-01,16.537758,5.308809,14.253314,55.040001,11.320664,24.462997,5.744827,13.557199,8.745013,9.843257,7.2768,,5.573236,16.304987,0.171501,10.096836,0.296,3.702217,14.368844,2.933395
2016-08-02,16.398491,5.167393,14.076177,54.400002,11.113094,23.080278,5.60502,13.373621,8.220967,9.743739,6.973217,,5.606973,16.500082,0.163485,10.19556,0.285,3.48047,14.441091,2.933395
2016-08-03,16.224409,5.147592,14.402588,55.290001,11.065189,23.034403,5.87828,13.263474,8.687695,9.702123,7.221602,,5.829631,17.187788,0.165535,10.680206,0.31,3.817912,15.107355,2.953283
2016-08-04,16.294043,5.373861,14.55827,55.82,11.312682,23.348957,6.145185,13.134972,8.916966,9.966298,7.589582,,5.843124,17.285336,0.186414,10.778934,0.2996,3.817912,15.059192,2.814071
2016-08-05,16.6248,5.407801,14.648659,55.82,11.416467,23.453814,5.941828,13.235938,9.023413,9.930108,7.883965,,5.822884,17.182903,0.197599,10.455835,0.3084,3.7215,15.227763,2.78424
2016-08-08,16.75536,5.300323,14.503032,55.869999,11.105109,23.067173,6.056217,13.548018,8.794143,9.770879,7.497587,,5.7824,17.070724,0.197785,10.689182,0.307,3.547959,15.235792,2.78424
2016-08-09,16.764063,5.382347,14.427704,55.93,11.208895,23.067173,5.948184,13.658167,8.957907,9.633364,7.672378,,5.775655,17.104866,0.210648,10.662257,0.31,3.663653,15.243819,2.943339
2016-08-10,16.685726,5.280525,14.22181,55.130001,10.881569,22.93611,5.929119,13.905996,8.597626,9.589938,7.911564,,5.701434,16.963427,0.216985,10.375061,0.3024,3.538317,14.521362,2.89362
2016-08-11,16.972961,5.416286,14.643639,56.490002,11.04124,23.381729,6.13883,14.025321,8.99066,9.626127,8.325544,,5.863368,17.397511,0.219968,10.859708,0.3046,3.64437,14.778236,3.05272
2016-08-12,17.173155,5.472854,14.663726,56.509998,10.450459,23.034403,6.1007,13.630631,8.826895,9.461469,8.334741,,5.870115,17.529196,0.223584,10.769958,0.3044,3.586523,14.417007,3.162101
2016-08-15,17.355942,5.305981,14.879668,57.240002,10.218935,23.014746,6.227799,13.566378,9.129859,9.459659,8.932709,,5.971571,17.913412,0.221646,11.048182,0.309,3.79863,14.794291,3.132269
2016-08-16,17.408167,5.229614,14.653679,57.240002,9.899593,22.785383,6.062571,13.263474,8.62219,9.354712,8.822314,,5.910289,17.839424,0.231675,11.209731,0.304,3.731141,15.235792,2.983114
2016-08-17,17.451685,5.305981,14.819406,57.48,9.899593,22.99509,5.960894,13.327728,8.466614,9.434328,9.125899,,6.005617,18.076178,0.235627,11.452057,0.302,3.769706,15.348172,3.032832
2016-08-18,17.338535,5.190018,14.859575,57.34,9.819758,22.772282,5.865571,13.241416,8.335602,9.383664,9.512278,,6.032854,18.041643,0.230408,11.559755,0.305,3.740782,15.187628,2.913508
2016-08-19,17.277605,5.175877,14.774206,57.349998,10.218935,22.228363,5.973604,13.185935,8.261909,9.387284,9.457079,,5.978379,17.923277,0.228544,11.478979,0.307,3.702217,15.316064,2.983114
2016-08-22,17.051298,5.076885,14.377478,56.049999,10.1391,22.228363,5.719408,13.065727,7.574099,9.137583,8.895909,,5.814962,17.578026,0.230408,11.084082,0.3014,3.48047,14.754154,2.933395
2016-08-23,17.042595,5.125468,14.22181,56.0,9.923544,22.215256,5.725761,12.982506,7.688735,9.228054,8.969735,,5.821771,17.548445,0.234509,11.371282,0.2968,3.596164,15.051166,2.963226
2016-08-24,17.042595,5.119772,14.121372,55.900002,9.899593,22.339769,5.60502,12.945518,7.148311,9.121298,8.40682,,5.801343,17.464592,0.234509,11.128957,0.299,3.306929,14.569525,2.953283
2016-08-25,16.807585,5.139705,14.18666,56.060001,9.763874,22.182489,5.630439,12.85305,7.230194,9.26605,8.425277,,5.787725,17.410343,0.230259,11.245633,0.2912,3.23944,14.593609,2.953283
2016-08-26,16.703135,5.116925,14.382511,55.959999,9.715972,21.625473,5.60502,12.97326,7.20563,9.128533,8.489873,,5.842197,17.622417,0.231452,11.263581,0.295,3.451546,14.216326,2.953283
2016-08-29,16.746655,5.085603,14.643639,56.849998,9.907578,21.966238,5.719408,13.296898,7.410334,9.338428,8.582154,,5.930717,17.93314,0.234509,11.550781,0.2934,3.306929,14.52939,2.953283
2016-08-30,16.746655,5.153942,14.688839,56.889999,9.907578,21.966238,5.668569,12.806817,7.181065,9.311285,8.489873,,5.944333,18.051512,0.227611,11.748228,0.2934,3.258723,14.168159,2.933395
2016-08-31,16.703135,5.09984,14.593424,55.93,9.851693,22.01211,5.560535,12.760583,7.041866,9.150249,8.379136,,5.855814,17.681602,0.225561,11.532829,0.29,3.345493,13.598224,2.873733
2016-09-01,17.120928,4.943228,14.44779,56.25,10.27482,21.638578,5.795665,12.97326,7.20563,9.307669,8.25917,,5.906971,17.856766,0.235851,11.667455,0.284,3.31657,13.999589,2.873733
2016-09-02,17.268898,5.119772,14.868489,57.75,10.378605,21.691004,6.094347,12.843804,7.942569,9.336618,8.739033,,5.988825,18.118286,0.245134,12.179028,0.294,3.654012,14.641772,3.032832
2016-09-05,17.303715,5.096992,14.918741,57.68,10.330705,21.461643,6.12612,12.917778,7.950757,9.300429,8.895911,,5.968362,18.123209,0.245992,12.412377,0.286,3.711859,14.368844,2.983114
2016-09-06,17.408167,5.116925,15.074513,58.119999,10.49836,21.625473,6.183314,13.444845,7.754239,9.434328,8.868225,,6.01611,18.295916,0.246439,12.547002,0.28,3.760065,14.665854,2.983114
2016-09-08,17.408167,5.051433,15.275507,58.290001,10.194984,21.566492,6.087991,14.18459,7.574099,9.405375,9.015877,,5.934258,18.078802,0.245693,12.7624,0.29,3.895041,14.280545,2.983114
