Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8.950000,9.303333,8.893333,9.263333,8.211551,73845000
2019-01-03,9.136666,9.706666,9.133333,9.666666,8.569091,48211200
2019-01-04,9.560000,9.753333,9.280000,9.316666,8.258827,65334600
2019-01-07,9.383333,9.383333,9.103333,9.266666,8.214504,34563000
2019-01-08,9.320000,9.400000,9.183333,9.293333,8.238147,34092300
2019-01-09,9.333333,9.466666,9.236666,9.336666,8.276558,43927800
2019-01-10,9.350000,9.460000,9.266666,9.423333,8.353384,37463400
2019-01-11,9.423333,9.660000,9.413333,9.623333,8.530675,30136500
2019-01-14,9.630000,9.916666,9.613333,9.836666,8.719787,46510800
2019-01-15,9.816666,9.880000,9.646666,9.740000,8.634094,27547200
2019-01-16,9.726666,9.983333,9.610000,9.950000,8.820253,25323600
2019-01-17,9.966666,10.013333,9.783333,10.000000,8.864575,28993200
2019-01-18,10.000000,10.223333,9.933333,10.133333,8.982770,38361900
2019-01-21,10.050000,10.210000,9.920000,10.166666,9.012319,24367800
2019-01-22,10.066666,10.183333,9.896666,9.923333,8.796613,22506600
2019-01-23,10.000000,10.386666,9.956666,10.240000,9.077323,35742300
2019-01-24,10.360000,10.550000,10.200000,10.550000,9.352127,72752700
2019-01-28,10.466666,10.743333,10.363333,10.743333,9.523510,53865900
2019-01-29,10.826666,10.866666,10.453333,10.516666,9.322576,29300100
2019-01-30,10.633333,10.653333,10.360000,10.490000,9.298939,36645300
2019-01-31,10.536666,10.603333,10.400000,10.490000,9.298939,34641900
2019-02-01,10.416666,10.646666,10.416666,10.646666,9.437816,36630600
2019-02-04,10.626666,10.776666,10.433333,10.756666,9.535328,23313900
2019-02-05,10.670000,11.036666,10.670000,10.993333,9.745123,27119400
2019-02-06,10.866666,10.866666,10.663333,10.733333,9.514644,54848100
2019-02-07,10.866666,10.883333,10.253333,10.333333,9.160061,86789700
2019-02-08,10.266666,10.526666,10.243333,10.443333,9.257570,38286900
2019-02-11,10.343333,10.370000,10.160000,10.260000,9.095053,37454700
2019-02-12,10.346666,10.466666,10.236666,10.373333,9.195517,35465400
2019-02-13,10.450000,10.456666,10.283333,10.346666,9.171881,49510500
2019-02-14,10.283333,10.790000,10.233333,10.786666,9.561919,33276600
