Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,27.879999,28.650000,27.650000,28.320000,22.948406,4663200
2019-01-03,28.350000,28.799999,28.040001,28.629999,23.199608,3517600
2019-01-04,28.459999,28.719999,27.969999,28.350000,22.972717,3549900
2019-01-07,28.500000,28.500000,27.680000,27.930000,22.632381,3467500
2019-01-08,27.930000,28.129999,27.360001,27.520000,22.300148,4137700
2019-01-09,27.500000,27.500000,26.650000,26.650000,21.595161,6842300
2019-01-10,26.709999,27.610001,26.690001,27.400000,22.202908,7441300
2019-01-11,27.480000,27.969999,27.360001,27.750000,22.486521,5571000
2019-01-14,27.840000,28.049999,27.620001,28.000000,22.689106,2841900
2019-01-15,28.000000,28.170000,27.900000,28.129999,22.794443,3337300
2019-01-16,28.200001,28.500000,28.100000,28.400000,23.013235,3027000
2019-01-17,28.400000,29.049999,28.250000,29.030001,23.523739,5491900
2019-01-18,29.100000,29.639999,29.000000,29.639999,24.018036,5962300
2019-01-21,29.650000,29.680000,28.600000,29.100000,23.580462,2514000
2019-01-22,29.139999,29.370001,28.850000,29.150000,23.620974,4505500
2019-01-23,29.240000,29.650000,28.889999,29.650000,24.026138,5195700
2019-01-24,29.540001,29.990000,29.400000,29.990000,24.301649,5068800
2019-01-28,29.840000,30.430000,29.420000,30.059999,24.358374,4921700
2019-01-29,30.180000,30.600000,30.020000,30.049999,24.350269,3812200
2019-01-30,30.410000,30.680000,30.010000,30.660000,24.844568,4026100
2019-01-31,30.700001,31.430000,30.670000,31.059999,25.168699,7380200
2019-02-01,31.000000,31.580000,30.950001,31.400000,25.444210,5318800
2019-02-04,31.350000,31.620001,30.510000,31.620001,25.622480,4498800
2019-02-05,31.500000,31.870001,31.209999,31.500000,25.525244,3944300
2019-02-06,31.190001,31.290001,30.120001,30.120001,24.406994,4434900
2019-02-07,30.120001,30.610001,29.820000,30.219999,24.488026,3858800
2019-02-08,30.020000,30.459999,29.639999,30.240000,24.504230,5560100
2019-02-11,30.260000,30.549999,29.500000,29.549999,23.945107,4484800
2019-02-12,28.600000,29.230000,28.379999,28.920000,23.434603,13075100
2019-02-13,29.059999,29.070000,28.120001,28.389999,23.005129,7613800
2019-02-14,28.500000,28.700001,27.700001,28.660000,23.223919,7627400
2019-02-15,27.959999,27.959999,27.520000,27.680000,22.978109,4791800
2019-02-18,27.700001,27.850000,27.500000,27.650000,22.953201,2765800
2019-02-19,27.760000,28.209999,27.750000,28.000000,23.243752,4434900
2019-02-20,28.110001,28.160000,27.080000,27.389999,22.737368,10815100
2019-02-21,27.480000,27.570000,27.000000,27.139999,22.529837,8141400
2019-02-22,27.280001,27.510000,27.070000,27.400000,22.745670,6017500
2019-02-25,27.570000,28.020000,27.469999,27.620001,22.928299,9500100
2019-02-26,27.709999,27.740000,27.280001,27.469999,22.803782,5499000
2019-02-27,27.450001,27.820000,27.219999,27.780001,23.061121,4418600
2019-02-28,27.820000,27.889999,27.150000,27.299999,22.662659,7030100
2019-03-01,27.299999,27.459999,26.719999,26.860001,22.297400,5252800
2019-03-06,27.040001,27.070000,26.420000,26.610001,22.089865,3604300
2019-03-07,26.709999,26.780001,26.280001,26.490000,21.990250,3278700
2019-03-08,26.490000,26.780001,26.309999,26.600000,22.081564,2570000
2019-03-11,26.770000,27.799999,26.730000,27.719999,23.011312,5943600
2019-03-12,27.799999,27.830000,27.250000,27.799999,23.077724,5398400
2019-03-13,27.790001,28.100000,27.549999,28.100000,23.326761,3655100
2019-03-14,28.120001,28.120001,27.340000,27.520000,22.845285,3332200
2019-03-15,27.420000,28.100000,27.340000,28.100000,23.326761,6032400
2019-03-18,28.049999,28.250000,27.660000,27.870001,23.135836,4371800
2019-03-19,28.000000,28.030001,27.610001,27.790001,23.069424,4060900
2019-03-20,27.680000,27.950001,27.120001,27.350000,22.704165,3760000
2019-03-21,27.200001,27.379999,26.730000,26.900000,22.330606,3637400
2019-03-22,26.750000,26.820000,26.049999,26.219999,21.766111,4512500
2019-03-25,26.180000,26.540001,25.879999,26.459999,21.965343,3049300
2019-03-26,26.549999,26.660000,26.209999,26.240000,21.782717,3448900
