Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,11.280000,12.140000,11.280000,12.000000,10.834820,8650700
2019-01-03,12.000000,12.390000,11.900000,12.390000,11.186951,7971600
2019-01-04,12.400000,12.430000,12.140000,12.250000,11.060544,6512100
2019-01-07,12.260000,12.270000,11.820000,11.900000,10.744529,6741100
2019-01-08,11.920000,12.330000,11.920000,12.240000,11.051516,7947600
2019-01-09,12.300000,13.210000,12.300000,12.700000,11.466850,13845800
2019-01-10,12.750000,13.200000,12.700000,12.910000,11.656460,12893600
2019-01-11,12.850000,13.440000,12.850000,13.400000,12.098882,9076500
2019-01-14,13.400000,14.000000,13.310000,14.000000,12.640623,15299800
2019-01-15,14.000000,14.090000,13.250000,13.460000,12.153056,23645400
2019-01-16,13.460000,13.620000,12.970000,13.450000,12.144026,35678000
2019-01-17,13.420000,13.720000,13.290000,13.600000,12.279462,10332200
2019-01-18,13.720000,13.780000,13.290000,13.500000,12.189172,7502400
2019-01-21,13.440000,13.490000,13.240000,13.490000,12.180142,3966000
2019-01-22,13.470000,13.670000,13.220000,13.400000,12.098882,7122300
2019-01-23,13.580000,13.780000,13.400000,13.530000,12.216258,7926400
2019-01-24,13.850000,14.620000,13.850000,14.280000,12.893435,16229100
2019-01-28,14.250000,14.920000,13.930000,14.680000,13.254595,15564200
2019-01-29,14.660000,15.650000,14.590000,15.650000,14.130410,19089700
2019-01-30,15.660000,15.800000,14.910000,15.200000,13.724104,16620800
2019-01-31,15.350000,15.350000,14.800000,14.880000,13.435177,18037000
2019-02-01,14.900000,14.950000,14.580000,14.800000,13.362944,8829100
2019-02-04,14.670000,14.910000,14.510000,14.840000,13.399059,4628400
2019-02-05,14.670000,14.860000,14.550000,14.790000,13.353914,4735600
2019-02-06,14.430000,14.430000,13.840000,13.870000,12.523245,15523000
2019-02-07,13.930000,14.110000,13.510000,14.000000,12.640623,14998500
2019-02-08,14.100000,14.310000,13.980000,14.170000,12.794116,10109400
2019-02-11,14.320000,14.380000,13.850000,14.150000,12.776058,6944100
