Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8.770000,9.320000,8.700000,9.210000,7.811669,10675800
2019-01-03,9.160000,9.480000,9.100000,9.320000,7.904968,9752000
2019-01-04,9.370000,9.880000,9.370000,9.750000,8.269683,13260000
2019-01-07,9.750000,9.920000,9.710000,9.770000,8.286647,5160400
2019-01-08,9.850000,9.880000,9.710000,9.800000,8.312090,6861300
2019-01-09,9.880000,10.040000,9.810000,9.880000,8.379946,8683600
2019-01-10,9.820000,9.990000,9.720000,9.980000,8.464762,6052600
2019-01-11,9.990000,10.020000,9.810000,9.860000,8.362982,5792000
2019-01-14,9.750000,9.860000,9.660000,9.770000,8.286647,4978100
2019-01-15,9.740000,9.920000,9.550000,9.620000,8.159420,5056100
2019-01-16,9.680000,9.940000,9.620000,9.940000,8.430834,7421700
2019-01-17,9.860000,10.020000,9.810000,9.920000,8.413872,6578600
2019-01-18,9.990000,10.140000,9.830000,9.840000,8.346020,7719300
2019-01-21,9.840000,10.040000,9.780000,9.930000,8.422353,6901000
2019-01-22,9.850000,9.920000,9.700000,9.790000,8.303610,8269000
2019-01-23,9.920000,10.340000,9.900000,10.320000,8.753140,12083200
2019-01-24,10.390000,10.490000,10.270000,10.370000,8.795549,6085900
2019-01-28,10.000000,10.210000,9.720000,9.780000,8.295128,16305200
2019-01-29,9.850000,10.160000,9.820000,10.040000,8.515651,9173800
2019-01-30,10.300000,11.110000,10.280000,10.380000,8.804031,58174100
2019-01-31,10.550000,10.650000,10.060000,10.200000,8.651360,15711800
2019-02-01,10.440000,10.490000,9.960000,10.100000,8.566544,9806300
2019-02-04,10.100000,10.100000,9.830000,9.900000,8.396907,11844100
2019-02-05,9.880000,9.950000,9.800000,9.880000,8.379946,6626600
2019-02-06,9.820000,9.830000,9.310000,9.310000,7.896487,13621700
2019-02-07,9.400000,9.700000,9.260000,9.520000,8.074602,15427100
2019-02-08,9.460000,9.850000,9.280000,9.850000,8.354501,12184300
2019-02-11,10.000000,10.080000,9.590000,9.620000,8.159420,7512400
2019-02-12,9.760000,9.880000,9.530000,9.880000,8.379946,8744600
