Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,25.702703,26.180162,25.450113,25.659578,24.319773,3108056
2019-01-03,25.628775,25.721186,25.182119,25.357700,24.033657,3001576
2019-01-04,25.644176,25.644176,24.732384,25.074306,23.765060,4647800
2019-01-07,25.182119,25.366941,24.673857,25.326897,24.004463,2045201
2019-01-08,25.351540,25.770472,25.302254,25.567167,24.232185,5302589
2019-01-09,25.755070,25.758150,25.382343,25.499399,24.167957,3667078
2019-01-10,25.548685,25.604132,24.975735,24.975735,23.671637,3262258
2019-01-11,25.043503,25.182119,24.433586,24.473633,23.195753,9657244
2019-01-14,24.507517,24.941851,24.119389,24.365818,23.093565,4288429
2019-01-15,24.368898,24.793991,24.368898,24.643053,23.356325,4287780
2019-01-16,24.797071,25.715025,24.797071,25.567167,24.232185,8534007
2019-01-17,25.687302,25.936813,25.206762,25.751989,24.407358,5508408
2019-01-18,25.872126,26.586773,25.622614,26.555969,25.169357,3602800
2019-01-21,26.565210,26.666862,26.328020,26.506683,25.122644,913847
2019-01-22,26.519005,26.783918,26.343424,26.673023,25.280302,1397878
2019-01-23,26.648380,26.771597,26.420433,26.648380,25.256945,1678038
2019-01-24,26.580612,27.085794,26.460478,27.085794,25.671518,1945862
2019-01-28,26.217129,27.942141,26.183243,27.162806,25.744509,3987492
2019-01-29,27.415396,27.600220,26.519005,26.617577,25.227749,2788290
2019-01-30,26.786999,27.316824,26.263332,26.429674,25.049656,4005023
2019-01-31,26.645302,26.709990,25.785873,26.263332,24.892002,5999581
2019-02-01,26.460478,27.045750,26.460478,26.740791,25.344528,4660136
2019-02-04,26.947178,27.215172,26.494362,26.953339,25.545979,3488528
2019-02-05,27.190529,27.261377,26.232531,26.722309,25.327015,3143766
2019-02-06,26.645302,26.879410,26.284897,26.491282,25.108047,2800627
2019-02-07,26.639139,26.700748,25.878286,26.429674,25.049656,2601301
2019-02-08,26.830124,27.480083,26.155519,27.480083,26.045221,6717349
2019-02-11,27.480083,27.862051,27.156645,27.489325,26.053978,3963145
2019-02-12,27.689550,28.709156,27.600220,28.616745,27.122532,4876993
2019-02-13,28.616745,28.712236,27.889774,27.926739,26.468554,4548462
2019-02-14,28.080757,28.644468,27.729595,28.339512,26.859774,3289202
2019-02-15,28.031471,28.308706,27.464682,28.077679,26.611610,7858441
2019-02-18,28.339512,28.508932,27.911337,28.247099,26.772186,2267251
2019-02-19,28.308706,28.428843,27.923658,28.370314,26.888968,4693574
2019-02-20,28.428843,28.585941,27.818926,28.570539,27.078737,4470874
2019-02-21,28.462727,29.220501,28.462727,29.220501,27.694761,5794411
2019-02-22,29.091124,29.408403,28.758442,28.770763,27.268509,3535276
2019-02-25,29.041838,29.060320,28.385715,28.801567,27.297703,3659611
2019-02-26,28.869335,29.146570,28.271742,28.878576,27.370689,5838562
2019-02-27,28.613665,28.706076,27.723434,27.723434,26.275866,11978061
2019-02-28,27.991426,28.053036,27.202850,27.415396,25.983912,6888107
2019-03-01,27.443119,27.951382,27.443119,27.744997,26.296301,4826674
2019-03-06,27.957542,28.182411,26.358826,26.919455,25.513865,5421406
2019-03-07,26.799320,26.830124,25.816677,26.645302,25.254026,7730860
2019-03-08,26.642220,28.062277,26.226370,28.062277,26.597015,14605657
2019-03-11,27.877453,28.142366,27.526291,28.031471,26.567818,5264607
