Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,11.580000,12.040000,11.380000,12.040000,10.452952,6698300
2019-01-03,11.850000,12.230000,11.840000,12.230000,10.617908,5929300
2019-01-04,12.070000,12.890000,11.990000,12.550000,10.895728,7603800
2019-01-07,12.570000,12.670000,12.020000,12.110000,10.513725,6502600
2019-01-08,12.200000,12.350000,12.040000,12.300000,10.678680,7232300
2019-01-09,12.220000,12.550000,12.120000,12.200000,10.591863,6219300
2019-01-10,12.270000,12.320000,11.930000,12.160000,10.557134,6015600
2019-01-11,12.250000,12.510000,12.230000,12.480000,10.834954,4865900
2019-01-14,12.580000,12.710000,12.500000,12.690000,11.017274,4093200
2019-01-15,12.620000,12.780000,12.480000,12.620000,10.956500,4405200
2019-01-16,12.660000,13.150000,12.580000,13.150000,11.416639,5622000
2019-01-17,13.120000,13.500000,12.840000,13.400000,11.633685,5836200
2019-01-18,13.360000,13.810000,13.260000,13.530000,11.746549,6277000
2019-01-21,13.420000,13.720000,13.200000,13.700000,11.894141,4815100
2019-01-22,13.920000,14.130000,13.370000,13.600000,11.807323,6795200
2019-01-23,13.690000,14.100000,13.630000,14.080000,12.224051,4210000
2019-01-24,14.120000,14.470000,13.970000,14.470000,12.562643,5532500
2019-01-28,14.180000,14.800000,14.080000,14.800000,12.849146,5087000
2019-01-29,14.810000,14.880000,14.580000,14.700000,12.762325,4841400
2019-01-30,14.730000,15.650000,14.680000,15.300000,13.283237,8933400
2019-01-31,15.310000,15.780000,15.090000,15.090000,13.100918,10684700
2019-02-01,15.060000,15.420000,14.850000,14.870000,12.909918,7822500
2019-02-04,14.870000,15.090000,14.620000,15.020000,13.040146,5462800
2019-02-05,15.110000,15.230000,14.900000,14.980000,13.005418,6055400
2019-02-06,14.800000,14.920000,14.030000,14.030000,12.180642,8758400
2019-02-07,14.170000,14.580000,14.000000,14.330000,12.441098,20031000
2019-02-08,14.220000,14.420000,13.950000,14.250000,12.371644,8533600
2019-02-11,14.290000,14.480000,14.130000,14.350000,12.458460,4815600
2019-02-12,14.470000,14.690000,14.460000,14.550000,12.632099,4971500
2019-02-13,14.720000,14.770000,13.900000,14.380000,12.484507,42560400
2019-02-14,14.470000,14.550000,14.190000,14.500000,12.588689,5375000
2019-02-15,14.540000,15.000000,14.460000,14.820000,12.866508,6976500
2019-02-18,14.900000,15.090000,14.670000,15.000000,13.022781,4068600
2019-02-19,14.970000,14.970000,14.550000,14.790000,12.840463,6780700
2019-02-20,14.850000,14.870000,14.230000,14.230000,12.354279,6828600
2019-02-21,14.380000,14.520000,13.770000,13.920000,12.085143,9761400
2019-02-22,14.070000,14.210000,13.800000,14.210000,12.336915,4803400
2019-02-25,14.240000,14.290000,13.750000,13.970000,12.128551,5062400
2019-02-26,14.000000,14.030000,13.680000,13.700000,11.894141,3911000
2019-02-27,13.690000,13.760000,13.480000,13.760000,11.946233,3851200
2019-02-28,13.760000,13.870000,13.430000,13.430000,11.659732,5634000
2019-03-01,13.470000,14.130000,13.440000,14.120000,12.258779,7399800
2019-03-06,13.900000,13.970000,13.310000,13.400000,11.633685,7477300
2019-03-07,13.410000,13.540000,12.860000,13.070000,11.347185,8904400
2019-03-08,13.050000,13.220000,12.800000,13.150000,11.416639,7451400
2019-03-11,13.150000,13.490000,13.090000,13.250000,11.503458,11507400
2019-03-12,13.370000,13.740000,13.340000,13.700000,11.894141,9911900
2019-03-13,13.800000,14.120000,13.750000,14.120000,12.258779,14111500
2019-03-14,14.100000,14.450000,14.000000,14.400000,12.501870,7758900
2019-03-15,14.160000,15.010000,14.160000,14.850000,12.892554,22660100
2019-03-18,14.990000,15.550000,14.850000,15.550000,13.500284,10391100
2019-03-19,15.560000,15.600000,14.990000,14.990000,13.014100,7558700
2019-03-20,14.980000,15.290000,14.700000,14.980000,13.005418,8351000
2019-03-21,14.820000,14.880000,14.160000,14.650000,12.718917,7877500
2019-03-22,14.350000,14.750000,14.110000,14.290000,12.406369,8572700
2019-03-25,14.070000,14.750000,13.980000,14.440000,12.536598,4980300
2019-03-26,14.710000,15.380000,14.250000,15.120000,13.126964,9606400
2019-03-27,14.840000,14.890000,14.460000,14.620000,12.692871,9796800
2019-03-28,14.680000,15.550000,14.630000,15.470000,13.430828,10544300
2019-03-29,15.600000,16.209999,15.250000,15.920000,13.821514,12982700
2019-04-01,16.110001,16.299999,15.660000,16.230000,14.090649,6655200
2019-04-02,16.020000,16.190001,15.750000,15.860000,13.769422,5924600
2019-04-03,15.910000,15.980000,15.400000,15.600000,13.543693,8434000
2019-04-04,15.620000,15.930000,15.570000,15.780000,13.699967,7584000
2019-04-05,15.910000,16.719999,15.900000,16.600000,14.411880,15429600
2019-04-08,16.530001,17.250000,16.430000,17.250000,14.976198,11473000
2019-04-09,17.059999,17.170000,16.870001,16.900000,14.672335,11203600
2019-04-10,17.080000,17.170000,16.600000,17.110001,14.854655,11337500
2019-04-11,17.150000,17.299999,16.750000,16.889999,14.663651,8913500
2019-04-12,16.719999,17.770000,16.610001,17.639999,15.314791,15241500
2019-04-15,17.530001,18.059999,17.340000,17.930000,15.566566,8000000
2019-04-16,18.209999,19.980000,18.200001,19.450001,16.886206,20858700
2019-04-17,19.660000,19.900000,18.799999,19.100000,16.582342,20978800
2019-04-18,19.100000,19.350000,18.240000,18.240000,15.835703,15104600
2019-04-22,18.200001,19.370001,18.110001,18.990000,16.486841,11825200
2019-04-23,19.299999,20.080000,19.230000,19.719999,17.120615,14601000
