Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,37.879765,39.602390,37.879765,39.277706,37.322678,4521569
2019-01-03,39.277706,39.277706,38.357773,38.781666,36.851326,3858191
2019-01-04,38.835777,38.835777,37.113152,37.293530,35.437256,5842670
2019-01-07,37.293530,37.627232,36.130081,36.436726,34.623108,4355475
2019-01-08,36.734352,37.681347,36.400650,37.609196,35.737221,5978717
2019-01-09,37.834667,38.772644,37.834667,38.420902,36.508518,3718264
2019-01-10,38.691475,38.925968,38.141315,38.475018,36.559937,3895113
2019-01-11,38.475018,38.511093,37.618214,37.618214,35.745792,3353700
2019-01-14,37.699387,38.204449,36.526917,36.932770,35.094463,6414686
2019-01-15,37.022961,37.609196,36.770428,36.797485,34.965904,10342065
2019-01-16,36.977863,37.609196,36.914734,37.609196,35.737221,3122300
2019-01-17,37.663307,39.440048,37.663307,39.007137,37.065575,6301924
2019-01-18,38.916946,40.017265,38.637360,39.548279,37.579788,5877486
2019-01-21,39.232613,39.385937,38.520115,38.781666,36.851326,1970175
2019-01-22,39.025177,39.259670,38.105240,38.240524,36.337120,2930815
2019-01-23,38.475018,39.431030,38.339733,38.953026,37.014153,3952880
2019-01-24,39.097328,40.080399,39.070271,40.080399,38.085423,4453823
2019-01-28,40.080399,40.919167,39.494164,40.828976,38.796730,4195480
2019-01-29,41.036411,41.180714,40.341949,41.117580,39.070972,2437523
2019-01-30,41.442265,41.631664,40.152550,40.964260,38.925285,3984480
2019-01-31,40.991318,41.703815,40.405083,41.036411,38.993851,5243934
2019-02-01,40.828976,41.848122,40.549385,41.180714,39.130962,3143588
2019-02-04,41.180714,41.757931,40.576443,41.487362,39.422356,2941570
2019-02-05,41.288944,41.613628,40.837994,41.009354,38.968128,2457591
2019-02-06,40.720749,40.729767,38.971062,38.971062,37.031288,5229187
2019-02-07,39.503181,39.945114,38.375809,39.097328,37.151276,7245266
2019-02-08,39.728657,39.872963,38.420902,39.232613,37.279827,9829369
2019-02-11,39.241631,39.449070,38.456982,38.781666,36.851326,3848545
2019-02-12,39.440048,40.585461,38.799702,40.278816,38.273952,6027059
2019-02-13,40.540367,40.540367,38.880875,39.232613,37.279827,4852981
2019-02-14,39.422012,40.405083,38.249542,40.278816,38.273952,6582886
2019-02-15,40.224701,40.296852,39.629448,39.818848,37.836884,4222534
2019-02-18,39.818848,40.017265,38.998119,39.900021,37.914017,1678458
