Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.638125,5.812187,5.594687,5.812187,5.641579,27017600
2019-01-03,5.780937,5.796562,5.605000,5.750000,5.581216,26342400
2019-01-04,5.751562,5.760937,5.573437,5.575000,5.411353,27721600
2019-01-07,5.562500,5.702500,5.539687,5.661562,5.495374,21174400
2019-01-08,5.673437,5.702812,5.593750,5.615937,5.451089,19398400
2019-01-09,5.656250,5.687500,5.554687,5.597187,5.432889,24796800
2019-01-10,5.594062,5.659375,5.556250,5.651562,5.485668,24432000
2019-01-11,5.656250,5.673125,5.547187,5.550000,5.387087,37481600
2019-01-14,5.559687,5.615312,5.500000,5.593750,5.429553,34128000
2019-01-15,5.625000,5.653125,5.486875,5.530312,5.367978,32902400
2019-01-16,5.534375,5.562500,5.411875,5.468750,5.308222,35452800
2019-01-17,5.439062,5.506875,5.398437,5.452500,5.292449,28726400
2019-01-18,5.484375,5.526562,5.421875,5.443750,5.283957,22496000
2019-01-21,5.437187,5.444375,5.218750,5.218750,5.065560,40012800
2019-01-22,5.098437,5.217187,5.020312,5.064062,4.915413,65046400
2019-01-23,5.124687,5.317500,5.087812,5.300000,5.144426,38249600
2019-01-24,5.328750,5.353125,5.160937,5.233750,5.080120,36246400
2019-01-28,5.187187,5.265625,5.125312,5.230625,5.077087,25052800
2019-01-29,5.253125,5.615625,5.250312,5.565625,5.402254,51174400
2019-01-30,5.625000,5.687500,5.410312,5.504687,5.343104,43971200
2019-01-31,5.546875,5.655625,5.427500,5.595937,5.431675,30585600
2019-02-01,5.593750,5.640000,5.503750,5.587500,5.423486,20665600
2019-02-04,5.546875,5.567187,5.453437,5.533437,5.371010,17363200
2019-02-05,5.527812,5.542500,5.462500,5.484375,5.323389,14454400
2019-02-06,5.452500,5.453125,5.265625,5.303125,5.147459,25846400
2019-02-07,5.331562,5.481250,5.212500,5.212500,5.059494,37664000
2019-02-08,5.250000,5.312500,5.142500,5.312500,5.156559,22025600
2019-02-11,5.311250,5.311875,5.140937,5.166562,5.014904,21715200
2019-02-12,5.219062,5.255937,5.103125,5.150000,4.998829,32627200
2019-02-13,5.174062,5.187500,4.944062,5.040625,4.892664,38464000
2019-02-14,5.078125,5.343437,5.000625,5.334062,5.177488,33744000
2019-02-15,5.296875,5.312187,5.124062,5.124062,4.973652,31440000
2019-02-18,5.121250,5.266875,5.078125,5.266875,5.112272,14982400
2019-02-19,5.250000,5.374375,5.237812,5.301875,5.146246,30272000
2019-02-20,5.371250,5.371250,5.070312,5.078125,4.929063,48358400
2019-02-21,5.129062,5.140625,4.986562,5.034375,4.886598,40636800
2019-02-22,5.312812,5.661250,5.185312,5.559375,5.396187,122038400
2019-02-25,5.586250,5.621875,5.428125,5.428125,5.268790,41360000
2019-02-26,5.406562,5.620937,5.350000,5.578125,5.414387,33779200
