Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1.960000,2.077800,1.942200,2.071200,2.071200,2565000
2019-01-03,2.089200,2.089200,2.046000,2.075800,2.075800,3170000
2019-01-04,2.080000,2.115600,2.080000,2.093200,2.093200,1490000
2019-01-07,2.120000,2.148200,2.088000,2.091400,2.091400,2435000
2019-01-08,2.148400,2.148400,2.091200,2.141400,2.141400,1285000
2019-01-09,2.148000,2.199800,2.148000,2.167000,2.167000,1710000
2019-01-10,2.180000,2.212000,2.138000,2.179200,2.179200,2660000
2019-01-11,2.199400,2.206000,2.168400,2.205800,2.205800,1235000
2019-01-14,2.196000,2.230000,2.169000,2.189800,2.189800,3465000
2019-01-15,2.189800,2.229800,2.184600,2.200000,2.200000,2410000
2019-01-16,2.219200,2.226800,2.145200,2.196000,2.196000,2590000
2019-01-17,2.170200,2.223800,2.100000,2.200600,2.200600,5520000
2019-01-18,2.210000,2.236000,2.187800,2.236000,2.236000,3480000
2019-01-21,2.240000,2.334200,2.240000,2.334200,2.334200,3015000
2019-01-22,2.330000,2.349800,2.240000,2.287800,2.287800,3675000
2019-01-23,2.319800,2.319800,2.260400,2.277800,2.277800,1075000
2019-01-24,2.275200,2.303200,2.225200,2.235200,2.235200,1495000
2019-01-28,2.235000,2.273800,2.137800,2.146000,2.146000,2380000
2019-01-29,2.185800,2.198000,2.143800,2.173800,2.173800,1790000
2019-01-30,2.200000,2.486200,2.200000,2.360000,2.360000,8910000
2019-01-31,2.399800,2.400000,2.270000,2.300000,2.300000,10555000
2019-02-01,2.340000,2.356800,2.219400,2.240000,2.240000,8445000
2019-02-04,2.270000,2.286000,2.183600,2.212600,2.212600,5195000
2019-02-05,2.230600,2.231000,2.160400,2.184400,2.184400,2280000
2019-02-06,2.229600,2.379800,2.229400,2.319600,2.319600,10645000
2019-02-07,2.310400,2.351000,2.240000,2.264000,2.264000,5855000
2019-02-08,2.278000,2.313000,2.233000,2.241000,2.241000,2130000
2019-02-11,2.279600,2.350000,2.243400,2.320000,2.320000,4150000
2019-02-12,2.339600,2.348600,2.282000,2.317800,2.317800,1780000
2019-02-13,2.344000,2.524000,2.344000,2.524000,2.524000,8070000
2019-02-14,2.535000,2.840000,2.500000,2.699200,2.699200,11555000
2019-02-15,2.714000,2.820000,2.657400,2.700000,2.700000,5295000
2019-02-18,2.701200,2.748000,2.622000,2.698000,2.698000,2275000
2019-02-19,2.707200,2.760000,2.707200,2.712600,2.712600,1970000
2019-02-20,2.753800,2.812000,2.685000,2.760000,2.760000,3215000
2019-02-21,2.800000,2.872000,2.764200,2.773000,2.773000,6760000
2019-02-22,2.790000,2.917400,2.735000,2.852200,2.852200,8425000
