"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","16,84","16,32","16,85","16,03","70,01K","3,21%"
"12.07.2021","16,32","17,62","17,64","15,56","75,95K","-7,38%"
"11.07.2021","17,62","16,25","18,34","16,04","108,92K","8,37%"
"10.07.2021","16,25","16,71","17,38","16,14","36,40K","-2,73%"
"09.07.2021","16,71","17,23","17,24","16,10","57,34K","-3,02%"
"08.07.2021","17,23","19,06","19,36","16,99","64,75K","-9,56%"
"07.07.2021","19,05","18,65","19,06","18,15","85,39K","2,18%"
"06.07.2021","18,65","18,42","19,61","18,01","56,75K","1,28%"
"05.07.2021","18,41","20,42","20,73","18,35","46,55K","-9,84%"
"04.07.2021","20,42","18,27","21,60","15,98","177,62K","11,76%"
"03.07.2021","18,27","18,96","19,13","18,00","100,52K","-3,61%"
"02.07.2021","18,96","20,16","20,94","18,07","140,55K","-5,98%"
"01.07.2021","20,16","24,47","24,84","20,11","215,21K","-17,60%"
"30.06.2021","24,47","16,16","25,65","16,06","543,00K","51,51%"
"29.06.2021","16,15","15,07","16,70","14,90","98,37K","7,23%"
"28.06.2021","15,06","14,35","15,78","14,12","158,52K","4,93%"
"27.06.2021","14,35","12,16","14,40","12,01","166,05K","18,01%"
"26.06.2021","12,16","12,55","12,68","11,45","93,85K","-3,28%"
"25.06.2021","12,57","13,50","13,81","12,31","93,54K","-6,83%"
"24.06.2021","13,50","12,41","13,65","11,80","136,65K","8,82%"
"23.06.2021","12,40","12,00","13,13","11,62","152,98K","3,40%"
"22.06.2021","11,99","13,09","13,64","10,55","233,98K","-8,32%"
"21.06.2021","13,08","17,47","17,47","13,04","122,25K","-25,11%"
"20.06.2021","17,47","17,82","18,12","16,59","62,29K","-2,00%"
"19.06.2021","17,82","19,35","19,73","17,65","64,80K","-7,89%"
"18.06.2021","19,35","19,90","20,76","19,00","110,18K","-2,70%"
"17.06.2021","19,89","19,61","20,28","18,59","63,77K","1,54%"
"16.06.2021","19,59","21,07","21,32","19,52","62,32K","-7,02%"
"15.06.2021","21,07","21,87","22,51","20,81","65,25K","-3,66%"
"14.06.2021","21,87","21,52","22,26","20,99","68,45K","1,69%"
"13.06.2021","21,50","19,45","21,53","19,02","70,78K","10,55%"
"12.06.2021","19,45","20,80","21,00","19,07","62,82K","-6,46%"
"11.06.2021","20,79","23,25","24,70","20,75","75,68K","-10,50%"
"10.06.2021","23,23","23,86","24,03","22,30","68,16K","-2,62%"
"09.06.2021","23,86","23,49","24,73","22,69","100,01K","1,55%"
"08.06.2021","23,49","23,70","24,17","20,80","122,85K","-0,86%"
"07.06.2021","23,70","26,24","27,04","23,60","57,71K","-9,70%"
"06.06.2021","26,24","25,60","26,48","25,40","64,14K","2,37%"
"05.06.2021","25,64","27,33","28,51","25,28","71,46K","-6,18%"
"04.06.2021","27,32","28,39","30,29","26,69","113,15K","-3,76%"
"03.06.2021","28,39","27,86","28,86","27,55","58,89K","1,91%"
"02.06.2021","27,86","26,30","28,37","25,44","89,17K","5,94%"
"01.06.2021","26,30","27,16","27,86","25,82","85,55K","-3,50%"
"31.05.2021","27,25","27,22","27,31","24,92","87,36K","0,35%"
"30.05.2021","27,15","25,38","27,26","24,32","80,88K","7,03%"
"29.05.2021","25,37","26,56","27,66","23,99","75,93K","-4,47%"
"28.05.2021","26,56","28,99","29,38","25,69","76,03K","-8,28%"
"27.05.2021","28,95","30,87","31,07","28,81","89,20K","-6,40%"
"26.05.2021","30,93","29,30","31,62","28,53","130,46K","5,56%"
"25.05.2021","29,30","31,74","32,22","28,32","165,56K","-7,69%"
"24.05.2021","31,75","25,01","33,29","23,97","272,26K","27,10%"
"23.05.2021","24,98","34,87","36,22","22,04","230,71K","-28,38%"
"22.05.2021","34,87","31,27","38,94","31,07","408,17K","11,01%"
"21.05.2021","31,41","33,27","41,32","27,76","249,15K","-5,59%"
"20.05.2021","33,27","23,84","41,99","21,61","419,37K","39,55%"
"19.05.2021","23,84","35,67","36,18","21,00","207,48K","-33,16%"
"18.05.2021","35,67","34,18","37,09","33,69","74,61K","4,51%"
"17.05.2021","34,13","37,89","37,96","33,34","84,16K","-9,89%"
"16.05.2021","37,88","36,35","47,90","36,12","231,25K","4,22%"
"15.05.2021","36,35","39,69","40,26","36,15","51,36K","-8,36%"
"14.05.2021","39,66","38,17","41,18","37,93","55,75K","3,91%"
"13.05.2021","38,17","37,55","40,03","36,41","88,78K","1,72%"
"12.05.2021","37,52","44,46","46,46","37,46","89,68K","-15,60%"
"11.05.2021","44,46","40,56","44,56","38,96","73,26K","9,59%"
"10.05.2021","40,57","45,72","47,22","40,31","97,80K","-11,27%"
"09.05.2021","45,72","47,07","47,18","43,41","54,91K","-2,90%"
"08.05.2021","47,08","47,26","49,68","46,24","41,54K","-0,41%"
"07.05.2021","47,28","50,22","51,78","46,57","89,09K","-5,86%"
"06.05.2021","50,22","47,16","51,06","44,98","192,49K","6,52%"
"05.05.2021","47,15","38,88","47,19","38,88","89,62K","21,32%"
"04.05.2021","38,86","43,08","43,37","38,67","68,07K","-9,78%"
"03.05.2021","43,08","40,98","43,96","40,85","65,94K","5,12%"
"02.05.2021","40,98","42,87","42,97","39,99","75,00K","-4,27%"
"01.05.2021","42,81","41,88","42,86","39,95","103,87K","2,22%"
"30.04.2021","41,88","37,94","42,23","37,52","71,95K","10,37%"
"29.04.2021","37,94","39,24","39,24","36,01","64,45K","-3,31%"
"28.04.2021","39,24","39,99","40,88","38,15","58,66K","-1,83%"
"27.04.2021","39,97","38,14","40,47","37,58","78,15K","4,83%"
"26.04.2021","38,13","31,65","38,17","31,57","94,36K","20,47%"
"25.04.2021","31,65","31,72","33,46","30,07","74,26K","-0,20%"
"24.04.2021","31,72","34,98","35,05","31,57","52,85K","-9,35%"
"23.04.2021","34,99","36,90","37,38","32,14","115,41K","-5,17%"
"22.04.2021","36,89","38,57","42,76","36,15","120,86K","-4,34%"
"21.04.2021","38,57","40,17","41,42","38,07","78,21K","-4,03%"
"20.04.2021","40,19","39,34","40,55","35,74","103,12K","2,12%"
"19.04.2021","39,35","44,80","46,19","39,10","100,21K","-11,86%"
"18.04.2021","44,65","50,34","50,36","39,84","119,09K","-11,31%"
"17.04.2021","50,34","52,63","53,56","49,47","73,11K","-4,34%"
"16.04.2021","52,63","50,74","53,58","47,94","131,48K","3,71%"
"15.04.2021","50,74","48,99","51,78","48,26","76,98K","3,64%"
"14.04.2021","48,96","49,86","51,61","46,93","94,59K","-1,81%"
"13.04.2021","49,86","47,50","51,93","47,37","97,60K","4,97%"
"12.04.2021","47,50","49,11","49,23","46,39","64,08K","-3,27%"
"11.04.2021","49,11","52,41","52,45","47,94","80,25K","-6,12%"
"10.04.2021","52,30","56,41","58,64","50,17","137,23K","-7,22%"
"09.04.2021","56,38","50,47","56,61","47,01","137,36K","11,70%"
"08.04.2021","50,47","49,23","50,89","43,77","137,63K","3,28%"
"07.04.2021","48,87","43,09","49,51","39,08","273,48K","13,35%"
"06.04.2021","43,11","42,72","45,61","41,22","139,12K","0,81%"
"05.04.2021","42,76","40,88","43,30","38,78","122,70K","4,60%"
"04.04.2021","40,88","37,05","42,10","36,69","90,52K","10,32%"
"03.04.2021","37,06","40,34","43,26","36,71","143,02K","-8,14%"
"02.04.2021","40,34","38,78","40,59","38,03","72,47K","4,03%"
"01.04.2021","38,78","40,00","40,04","38,34","82,44K","-3,05%"
"31.03.2021","40,00","41,05","42,25","37,76","107,86K","-2,62%"
"30.03.2021","41,07","38,18","44,51","37,87","289,43K","7,58%"
"29.03.2021","38,18","35,75","38,59","34,44","97,30K","6,94%"
"28.03.2021","35,70","32,80","36,46","31,76","149,69K","8,86%"
"27.03.2021","32,80","33,65","34,50","31,93","105,42K","-2,66%"
"26.03.2021","33,69","30,59","33,72","30,58","90,52K","10,16%"
"25.03.2021","30,59","33,50","33,87","30,22","125,74K","-8,72%"
"24.03.2021","33,51","38,57","38,99","30,97","264,02K","-12,71%"
"23.03.2021","38,39","36,74","44,04","36,44","477,73K","4,69%"
"22.03.2021","36,67","30,73","41,74","30,33","431,27K","19,33%"
"21.03.2021","30,73","31,16","31,78","30,19","76,16K","-1,38%"
"20.03.2021","31,16","32,46","33,86","31,13","76,63K","-4,02%"
"19.03.2021","32,46","31,81","34,93","30,89","120,24K","2,05%"
"18.03.2021","31,81","31,04","31,91","30,11","92,99K","2,48%"
