"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","308,97","315,91","318,15","305,35","930,12K","-2,26%"
"12.07.2021","316,11","321,70","334,34","308,80","1,32M","-1,79%"
"11.07.2021","321,87","316,48","326,55","312,31","799,61K","1,83%"
"10.07.2021","316,09","317,20","321,21","310,81","818,91K","-0,20%"
"09.07.2021","316,72","302,27","319,45","302,27","1,11M","1,97%"
"08.07.2021","310,59","326,02","328,21","307,00","1,64M","-5,21%"
"07.07.2021","327,67","318,93","339,32","318,93","1,78M","3,44%"
"06.07.2021","316,77","302,07","318,78","302,07","2,05M","4,89%"
"05.07.2021","302,00","306,72","306,72","294,73","1,40M","-1,91%"
"04.07.2021","307,88","306,55","314,00","303,27","1,31M","2,88%"
"03.07.2021","299,26","287,20","299,95","284,56","956,68K","4,13%"
"02.07.2021","287,38","287,69","287,69","277,71","1,00M","-0,09%"
"01.07.2021","287,64","303,39","303,39","285,87","1,39M","-5,14%"
"30.06.2021","303,23","300,25","303,65","284,20","2,06M","1,15%"
"29.06.2021","299,79","290,71","312,82","290,71","2,12M","3,44%"
"28.06.2021","289,83","290,93","296,01","285,24","1,88M","-0,36%"
"27.06.2021","290,89","279,50","290,89","272,64","1,54M","4,09%"
"26.06.2021","279,46","280,77","287,47","268,23","2,26M","-0,60%"
"25.06.2021","281,15","308,58","312,51","281,15","2,71M","-8,79%"
"24.06.2021","308,26","295,40","314,39","283,20","2,63M","4,09%"
"23.06.2021","296,16","261,07","299,06","261,07","3,32M","13,28%"
"22.06.2021","261,45","273,00","287,82","242,70","5,57M","-3,83%"
"21.06.2021","271,85","340,05","340,05","271,85","3,73M","-19,83%"
"20.06.2021","339,10","334,21","339,74","318,58","1,62M","1,50%"
"19.06.2021","334,10","336,57","342,05","332,84","1,07M","-0,78%"
"18.06.2021","336,71","352,55","354,93","332,21","1,58M","-4,52%"
"17.06.2021","352,66","347,37","360,00","347,37","1,24M","1,59%"
"16.06.2021","347,15","366,43","366,43","347,15","1,53M","-5,35%"
"15.06.2021","366,78","370,20","376,27","366,42","1,55M","-0,89%"
"14.06.2021","370,09","367,43","373,26","359,43","1,98M","1,16%"
"13.06.2021","365,83","343,99","366,00","333,11","1,96M","6,58%"
"12.06.2021","343,24","345,57","346,41","330,82","2,07M","-0,63%"
"11.06.2021","345,42","352,42","363,65","343,05","2,22M","-1,70%"
"10.06.2021","351,40","375,57","375,57","351,40","2,42M","-6,36%"
"09.06.2021","375,27","351,32","375,27","336,47","3,49M","6,44%"
"08.06.2021","352,57","355,82","359,68","329,37","4,99M","-1,55%"
"07.06.2021","358,11","394,13","406,03","358,11","3,03M","-8,92%"
"06.06.2021","393,20","390,05","398,90","386,72","1,86M","0,79%"
"05.06.2021","390,10","391,74","420,52","387,62","3,98M","-0,13%"
"04.06.2021","390,62","428,57","428,57","369,80","4,93M","-8,64%"
"03.06.2021","427,55","401,20","427,55","398,66","4,21M","6,59%"
"02.06.2021","401,10","364,57","412,41","355,20","4,38M","10,69%"
"01.06.2021","362,37","353,59","362,37","346,74","3,65M","2,44%"
"31.05.2021","353,73","323,46","353,73","311,26","4,11M","8,65%"
"30.05.2021","325,58","305,30","333,93","297,20","3,74M","6,83%"
"29.05.2021","304,77","328,97","342,49","299,37","3,76M","-7,46%"
"28.05.2021","329,33","369,90","369,90","319,62","5,25M","-10,36%"
"27.05.2021","367,39","378,11","383,60","347,67","4,28M","-3,11%"
"26.05.2021","379,20","343,85","379,20","343,85","5,34M","10,30%"
"25.05.2021","343,78","344,20","353,59","318,24","7,64M","-0,49%"
"24.05.2021","345,46","261,09","345,46","261,09","7,79M","32,05%"
"23.05.2021","261,61","299,33","306,37","223,77","8,80M","-12,57%"
"22.05.2021","299,23","324,57","332,00","288,92","5,30M","-8,34%"
"21.05.2021","326,47","391,13","408,43","300,74","8,83M","-16,87%"
"20.05.2021","392,72","340,00","412,24","313,67","8,12M","17,24%"
"19.05.2021","334,98","509,67","509,67","326,84","11,50M","-34,10%"
"18.05.2021","508,31","512,52","530,60","499,27","2,72M","-0,68%"
"17.05.2021","511,78","562,60","562,60","500,61","4,03M","-9,16%"
"16.05.2021","563,37","565,01","603,14","537,49","2,94M","0,09%"
"15.05.2021","562,84","601,83","606,50","562,84","2,26M","-6,57%"
"14.05.2021","602,42","569,46","610,15","569,46","2,19M","5,35%"
"13.05.2021","571,81","590,27","622,86","555,57","5,50M","-2,32%"
"12.05.2021","585,38","670,01","679,99","585,38","2,81M","-12,84%"
"11.05.2021","671,62","630,50","671,62","626,04","2,64M","6,32%"
"10.05.2021","631,68","661,47","684,83","619,87","3,07M","-4,53%"
"09.05.2021","661,64","645,86","673,56","637,04","2,34M","2,39%"
"08.05.2021","646,17","624,14","650,00","623,07","2,19M","3,55%"
"07.05.2021","623,99","633,92","634,24","614,55","1,98M","-1,58%"
"06.05.2021","634,00","651,43","651,56","629,00","2,07M","-2,59%"
"05.05.2021","650,85","627,45","650,85","627,45","2,27M","4,82%"
"04.05.2021","620,95","677,41","677,41","620,95","3,76M","-8,16%"
"03.05.2021","676,12","621,65","676,12","621,65","2,87M","8,71%"
"02.05.2021","621,96","619,41","626,81","606,45","2,07M","0,33%"
"01.05.2021","619,91","622,83","638,15","618,24","2,43M","-0,55%"
"30.04.2021","623,31","600,06","623,31","598,74","3,43M","3,89%"
"29.04.2021","599,95","563,24","605,06","563,24","4,34M","6,65%"
"28.04.2021","562,52","569,03","573,61","550,88","2,38M","-1,11%"
"27.04.2021","568,84","532,48","568,84","529,70","2,81M","6,27%"
"26.04.2021","535,26","504,87","541,71","504,87","3,10M","6,15%"
"25.04.2021","504,26","497,91","511,82","487,73","2,49M","1,36%"
"24.04.2021","497,52","526,56","526,56","491,53","3,00M","-5,51%"
"23.04.2021","526,54","505,00","526,54","473,80","6,86M","4,11%"
"22.04.2021","505,74","545,51","577,56","505,74","6,38M","-6,91%"
"21.04.2021","543,28","588,67","594,46","543,28","5,69M","-7,53%"
"20.04.2021","587,50","505,68","587,50","488,16","5,73M","16,56%"
"19.04.2021","504,01","481,42","532,79","481,42","5,03M","4,68%"
