"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","45,5675","47,7249","48,2087","45,1473","24,32M","-4,52%"
"12.07.2021","47,7245","49,7057","50,6103","46,6990","25,61M","-3,95%"
"11.07.2021","49,6884","49,1271","50,5079","48,2649","24,77M","1,15%"
"10.07.2021","49,1258","50,0738","51,3312","48,1860","26,95M","-1,89%"
"09.07.2021","50,0731","49,1999","51,3045","48,5103","26,79M","1,77%"
"08.07.2021","49,1999","52,8267","52,9295","48,6207","23,61M","-6,85%"
"07.07.2021","52,8178","54,6937","55,4996","52,6630","23,80M","-3,43%"
"06.07.2021","54,6920","53,6867","56,8179","53,5417","24,46M","1,98%"
"05.07.2021","53,6306","56,3542","56,9110","52,9100","25,06M","-4,84%"
"04.07.2021","56,3607","57,2412","58,8900","56,1200","27,61M","-1,54%"
"03.07.2021","57,2412","53,7375","58,4201","52,4529","27,46M","6,50%"
"02.07.2021","53,7461","53,1414","55,1315","50,7994","27,06M","1,15%"
"01.07.2021","53,1337","57,5411","58,2616","52,4066","22,62M","-7,62%"
"30.06.2021","57,5143","56,3138","62,3675","51,8284","45,70M","2,13%"
"29.06.2021","56,3138","43,3521","58,5553","43,1681","31,54M","29,98%"
"28.06.2021","43,3250","42,3187","44,5044","41,0986","20,45M","2,47%"
"27.06.2021","42,2821","40,5122","42,4637","39,3882","18,63M","4,38%"
"26.06.2021","40,5082","39,4154","40,9193","37,5647","19,65M","2,73%"
"25.06.2021","39,4328","43,1115","45,3277","38,9797","24,52M","-8,52%"
"24.06.2021","43,1038","40,7679","43,5199","38,7570","23,14M","5,67%"
"23.06.2021","40,7898","36,5400","42,8284","34,6997","25,28M","11,70%"
"22.06.2021","36,5187","39,5258","42,6476","32,2691","27,52M","-7,62%"
"21.06.2021","39,5292","50,9585","51,4131","38,5687","26,51M","-22,48%"
"20.06.2021","50,9923","50,9326","51,4967","47,0007","21,21M","0,16%"
"19.06.2021","50,9095","52,5732","53,2330","50,8732","20,69M","-3,07%"
"18.06.2021","52,5194","55,5572","55,5618","50,5810","21,93M","-5,48%"
"17.06.2021","55,5663","55,3529","57,2465","54,3289","21,88M","0,38%"
"16.06.2021","55,3585","58,1663","58,3123","54,8953","22,95M","-4,86%"
"15.06.2021","58,1887","59,2584","60,1731","57,3573","25,00M","-1,80%"
"14.06.2021","59,2574","59,2131","60,4187","56,4350","25,49M","0,12%"
"13.06.2021","59,1840","55,2115","60,6222","53,7796","25,64M","7,23%"
"12.06.2021","55,1917","56,9248","57,0143","53,1420","26,19M","-3,05%"
"11.06.2021","56,9305","57,9005","60,7142","56,1139","28,48M","-1,68%"
"10.06.2021","57,9004","62,2749","63,3460","57,1304","39,75M","-6,98%"
"09.06.2021","62,2445","56,7050","62,5487","53,5506","54,51M","9,77%"
"08.06.2021","56,7068","58,0392","59,1164","49,6996","52,58M","-2,19%"
"07.06.2021","57,9774","64,0481","65,1304","57,3886","49,11M","-9,46%"
"06.06.2021","64,0355","63,1042","65,6032","62,7556","48,14M","1,46%"
"05.06.2021","63,1124","64,7559","67,3849","61,7030","52,56M","-2,53%"
"04.06.2021","64,7535","69,8705","69,9084","61,4907","54,62M","-7,29%"
"03.06.2021","69,8471","68,3850","72,6050","67,1795","52,00M","2,15%"
"02.06.2021","68,3801","67,7817","70,2483","65,8336","51,72M","0,88%"
"01.06.2021","67,7820","70,0970","71,7846","65,7552","53,77M","-3,37%"
"31.05.2021","70,1495","66,0566","70,6039","61,9379","55,59M","5,96%"
"30.05.2021","66,2010","64,3093","68,2254","59,8800","56,52M","2,99%"
"29.05.2021","64,2769","68,1937","70,8663","61,0124","61,36M","-5,79%"
"28.05.2021","68,2287","74,6338","79,3402","63,6570","76,97M","-8,40%"
"27.05.2021","74,4887","79,8279","79,8505","71,1911","72,08M","-6,65%"
"26.05.2021","79,7978","78,3382","83,1994","74,0249","76,84M","1,80%"
"25.05.2021","78,3835","73,4944","82,9155","70,1271","93,43M","6,64%"
"24.05.2021","73,5054","51,5416","74,7373","48,9110","74,95M","42,64%"
"23.05.2021","51,5337","58,5320","62,5506","40,0060","88,25M","-11,92%"
"22.05.2021","58,5067","64,1978","64,7593","54,2814","372,14M","-8,96%"
"21.05.2021","64,2677","73,7796","78,1060","54,6682","700,66M","-12,94%"
"20.05.2021","73,8199","59,3726","79,0219","54,5274","762,95M","23,71%"
"19.05.2021","59,6707","88,6051","90,2152","39,8758","832,61M","-32,68%"
"18.05.2021","88,6406","89,5877","95,5691","86,0009","761,92M","-1,22%"
"17.05.2021","89,7338","93,7068","94,3161","80,4819","859,67M","-4,36%"
"16.05.2021","93,8290","94,9685","103,2633","87,0287","859,25M","-1,23%"
"15.05.2021","94,9933","103,3899","114,6325","94,7659","1,04B","-8,04%"
"14.05.2021","103,2998","88,2417","109,4408","86,5548","1,03B","17,07%"
"13.05.2021","88,2403","84,9866","94,8217","76,9054","982,53M","4,94%"
"12.05.2021","84,0866","111,1690","114,1692","81,8903","1,09B","-24,32%"
"11.05.2021","111,1127","105,0895","117,6309","102,2644","1,24B","5,76%"
"10.05.2021","105,0571","117,9117","129,5448","91,3245","1,26B","-10,90%"
"09.05.2021","117,9116","127,3868","129,6396","113,1061","1,20B","-7,43%"
"08.05.2021","127,3800","119,6205","134,3130","110,3032","1,15B","6,57%"
