"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","1.940,72","2.035,09","2.042,61","1.920,62","717,85K","-4,64%"
"12.07.2021","2.035,09","2.139,44","2.167,60","2.008,66","540,10K","-4,87%"
"11.07.2021","2.139,35","2.110,90","2.173,34","2.081,62","724,84K","1,34%"
"10.07.2021","2.111,12","2.146,15","2.191,30","2.078,43","929,32K","-1,62%"
"09.07.2021","2.145,89","2.120,05","2.185,62","2.066,09","1,42M","1,21%"
"08.07.2021","2.120,22","2.316,21","2.322,47","2.095,92","1,82M","-8,48%"
"07.07.2021","2.316,57","2.322,74","2.402,68","2.296,43","1,32M","-0,26%"
"06.07.2021","2.322,72","2.196,25","2.347,47","2.194,20","1,78M","5,76%"
"05.07.2021","2.196,16","2.322,60","2.322,60","2.163,09","822,95K","-5,47%"
"04.07.2021","2.323,22","2.224,70","2.386,20","2.222,95","1,39M","4,43%"
"03.07.2021","2.224,70","2.154,53","2.236,97","2.115,80","1,28M","3,25%"
"02.07.2021","2.154,78","2.108,58","2.158,70","2.019,75","1,39M","2,17%"
"01.07.2021","2.109,11","2.274,50","2.274,63","2.077,56","1,71M","-7,24%"
"30.06.2021","2.273,84","2.158,32","2.281,55","2.090,61","1,90M","5,33%"
"29.06.2021","2.158,71","2.083,48","2.241,86","2.076,17","898,06K","3,63%"
"28.06.2021","2.083,09","1.981,24","2.142,84","1.962,89","2,19M","5,21%"
"27.06.2021","1.979,88","1.830,42","1.980,70","1.808,59","1,87M","8,15%"
"26.06.2021","1.830,62","1.810,53","1.850,40","1.719,32","1,99M","1,11%"
"25.06.2021","1.810,57","1.989,77","2.017,47","1.793,47","1,65M","-8,98%"
"24.06.2021","1.989,14","1.968,76","2.033,96","1.886,74","1,64M","1,05%"
"23.06.2021","1.968,39","1.877,28","2.043,10","1.823,57","1,77M","4,89%"
"22.06.2021","1.876,66","1.890,95","1.994,32","1.707,24","2,84M","-0,77%"
"21.06.2021","1.891,18","2.244,25","2.257,86","1.868,32","2,69M","-15,72%"
"20.06.2021","2.243,86","2.166,30","2.276,83","2.045,03","1,42M","3,55%"
"19.06.2021","2.166,91","2.229,53","2.276,70","2.164,14","1,08M","-2,81%"
"18.06.2021","2.229,53","2.372,10","2.376,62","2.142,74","778,79K","-5,99%"
"17.06.2021","2.371,62","2.367,78","2.459,11","2.309,08","1,06M","0,18%"
"16.06.2021","2.367,28","2.544,35","2.552,12","2.353,24","1,37M","-6,94%"
"15.06.2021","2.543,83","2.581,42","2.637,90","2.512,39","1,95M","-1,46%"
"14.06.2021","2.581,48","2.508,49","2.606,91","2.467,61","1,79M","2,92%"
"13.06.2021","2.508,27","2.368,68","2.547,90","2.311,96","1,62M","5,90%"
"12.06.2021","2.368,47","2.351,45","2.448,04","2.260,80","1,80M","0,72%"
"11.06.2021","2.351,45","2.470,04","2.493,48","2.324,21","587,18K","-4,80%"
"10.06.2021","2.469,97","2.607,45","2.615,46","2.432,41","1,29M","-5,23%"
"09.06.2021","2.606,23","2.507,86","2.620,74","2.408,37","2,32M","3,81%"
"08.06.2021","2.510,65","2.592,12","2.618,70","2.320,64","75,18K","-3,16%"
"07.06.2021","2.592,63","2.713,52","2.842,88","2.581,24","3,01M","-4,46%"
"06.06.2021","2.713,66","2.628,43","2.743,53","2.614,48","756,36K","3,22%"
"05.06.2021","2.628,98","2.688,75","2.814,02","2.555,98","2,55M","-2,14%"
"04.06.2021","2.686,50","2.856,63","2.856,63","2.557,71","2,47M","-5,85%"
"03.06.2021","2.853,35","2.705,05","2.889,19","2.666,39","1,09M","5,44%"
"02.06.2021","2.706,10","2.633,74","2.801,00","2.554,88","2,60M","2,75%"
"01.06.2021","2.633,67","2.707,94","2.738,23","2.529,73","2,45M","-2,76%"
"31.05.2021","2.708,47","2.386,93","2.713,98","2.279,42","2,83M","13,51%"
"30.05.2021","2.386,10","2.276,97","2.465,84","2.181,93","2,80M","4,83%"
"29.05.2021","2.276,07","2.411,68","2.567,42","2.207,21","2,94M","-5,73%"
"28.05.2021","2.414,29","2.742,39","2.760,17","2.332,43","3,26M","-11,75%"
"27.05.2021","2.735,88","2.885,02","2.885,87","2.638,62","2,39M","-5,16%"
"26.05.2021","2.884,66","2.705,69","2.908,37","2.648,10","2,66M","6,64%"
"25.05.2021","2.705,09","2.647,27","2.747,49","2.388,81","3,28M","2,20%"
