"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","9,1555","6,3057","9,1555","6,0883","215,65K","45,00%"
"12.07.2021","6,3141","6,0475","6,3141","5,9405","42,61K","4,41%"
"11.07.2021","6,0475","5,7909","6,1344","5,7023","39,95K","4,43%"
"10.07.2021","5,7909","5,9392","6,0686","5,6423","23,68K","-2,50%"
"09.07.2021","5,9392","5,9280","5,9513","5,5105","43,35K","0,19%"
"08.07.2021","5,9280","6,4953","6,5040","5,6946","44,11K","-8,73%"
"07.07.2021","6,4953","6,4392","7,0039","6,3385","36,36K","0,87%"
"06.07.2021","6,4392","6,4415","6,4954","6,1723","38,10K","-0,04%"
"05.07.2021","6,4415","6,4486","6,4606","5,9245","39,75K","-0,11%"
"04.07.2021","6,4486","6,2173","6,4969","6,1830","35,81K","3,72%"
"03.07.2021","6,2173","6,1397","6,2612","5,8821","39,36K","1,26%"
"02.07.2021","6,1397","6,0294","6,3646","5,6791","58,21K","1,83%"
"01.07.2021","6,0294","6,4094","6,4094","5,6824","48,43K","-5,93%"
"30.06.2021","6,4094","5,8480","6,8937","5,6809","128,76K","9,41%"
"29.06.2021","5,8584","5,3376","5,9052","5,2817","66,20K","9,75%"
"28.06.2021","5,3378","5,0749","5,3381","4,8715","60,46K","5,37%"
"27.06.2021","5,0659","4,9877","5,0659","4,6900","52,37K","1,38%"
"26.06.2021","4,9969","4,5112","5,4986","4,5112","178,27K","10,77%"
"25.06.2021","4,5112","4,9868","5,3191","4,4305","117,01K","-9,54%"
"24.06.2021","4,9868","4,4698","4,9868","4,2708","64,64K","11,57%"
"23.06.2021","4,4698","4,0920","4,6273","3,8828","72,71K","9,23%"
"22.06.2021","4,0920","4,5435","4,8096","3,4358","181,30K","-9,94%"
"21.06.2021","4,5435","6,4791","6,5251","4,5323","94,62K","-29,97%"
"20.06.2021","6,4882","6,7537","6,7626","5,8109","54,88K","-3,93%"
"19.06.2021","6,7537","6,8882","7,0335","6,6003","36,69K","-1,95%"
"18.06.2021","6,8882","7,5295","7,5479","6,6714","45,09K","-8,52%"
"17.06.2021","7,5295","7,6879","7,8217","7,3300","33,64K","-2,06%"
"16.06.2021","7,6879","8,0288","8,1109","7,6279","40,32K","-4,25%"
"15.06.2021","8,0288","8,2082","8,2183","7,9234","35,88K","-2,19%"
"14.06.2021","8,2082","8,0903","8,2082","7,7608","63,12K","1,46%"
"13.06.2021","8,0903","7,5404","8,1773","7,4014","91,89K","7,29%"
"12.06.2021","7,5404","8,2788","8,3086","6,9930","87,84K","-8,92%"
"11.06.2021","8,2788","8,9340","9,0125","8,1458","73,81K","-7,33%"
"10.06.2021","8,9340","9,2851","9,6000","8,6781","81,28K","-3,78%"
"09.06.2021","9,2851","8,3552","9,4826","7,9734","96,00K","11,13%"
"08.06.2021","8,3549","8,5228","8,8653","7,5076","68,28K","-1,97%"
"07.06.2021","8,5228","9,3499","9,7054","8,5222","72,27K","-8,85%"
"06.06.2021","9,3499","8,9481","9,8472","8,9113","96,67K","4,49%"
"05.06.2021","8,9481","9,2006","9,5112","8,7007","54,11K","-2,74%"
"04.06.2021","9,2006","10,0835","10,1014","8,7226","62,67K","-8,76%"
"03.06.2021","10,0835","9,3607","11,0555","9,3607","137,89K","7,72%"
"02.06.2021","9,3607","9,1836","9,5171","8,9641","58,90K","1,62%"
"01.06.2021","9,2116","8,9573","9,5128","8,6228","88,71K","2,84%"
"31.05.2021","8,9573","8,6667","8,9879","8,1250","50,66K","3,35%"
"30.05.2021","8,6667","8,4612","8,8294","8,0423","51,36K","2,43%"
"29.05.2021","8,4612","9,0642","9,5802","7,9784","63,23K","-6,65%"
"28.05.2021","9,0642","9,5554","10,3161","8,4617","83,39K","-4,99%"
"27.05.2021","9,5400","10,2041","10,2041","9,0054","50,79K","-6,28%"
"26.05.2021","10,1797","9,3090","10,1797","8,9672","65,17K","9,44%"
"25.05.2021","9,3013","9,0155","9,8797","7,9288","104,27K","3,17%"
"24.05.2021","9,0155","7,8583","9,0387","7,3224","92,70K","14,73%"
"23.05.2021","7,8583","8,6714","9,5808","6,3851","99,12K","-9,38%"
"22.05.2021","8,6714","9,8035","9,8813","8,3427","69,96K","-11,55%"
"21.05.2021","9,8035","13,7318","14,8376","8,4500","175,06K","-28,53%"
"20.05.2021","13,7166","8,2502","14,8665","7,0755","290,30K","66,26%"
"19.05.2021","8,2502","11,6601","12,0694","6,3666","147,69K","-29,24%"
"18.05.2021","11,6601","11,2074","12,8851","10,9856","53,23K","4,04%"
"17.05.2021","11,2074","12,2741","12,5570","10,5169","72,73K","-8,69%"
"16.05.2021","12,2741","12,2116","13,1070","11,5459","55,77K","0,64%"
"15.05.2021","12,1957","13,4125","13,6685","12,0709","55,54K","-9,07%"
