"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","203,480","206,756","211,504","200,390","99,79K","-1,58%"
"12.07.2021","206,756","211,607","216,728","203,081","97,38K","-2,29%"
"11.07.2021","211,607","209,633","214,704","207,908","78,52K","0,94%"
"10.07.2021","209,633","212,676","217,394","206,812","88,83K","-1,43%"
"09.07.2021","212,676","205,064","214,753","199,875","104,50K","3,71%"
"08.07.2021","205,066","215,283","215,699","202,536","120,31K","-4,75%"
"07.07.2021","215,283","221,904","231,389","214,366","122,40K","-2,98%"
"06.07.2021","221,904","214,306","222,321","211,983","98,09K","3,55%"
"05.07.2021","214,306","219,956","220,386","205,725","109,97K","-2,57%"
"04.07.2021","219,956","215,214","225,171","215,131","92,71K","2,20%"
"03.07.2021","215,214","211,532","216,291","206,887","86,33K","1,74%"
"02.07.2021","211,532","206,079","211,617","199,582","109,55K","2,65%"
"01.07.2021","206,079","222,827","223,146","203,378","137,06K","-7,32%"
"30.06.2021","222,349","217,068","223,646","209,094","135,94K","2,44%"
"29.06.2021","217,062","212,896","227,036","212,452","145,37K","2,06%"
"28.06.2021","212,677","211,676","217,138","205,948","127,82K","0,56%"
"27.06.2021","211,502","202,669","211,839","195,475","116,69K","4,36%"
"26.06.2021","202,669","195,506","202,781","185,467","171,38K","3,46%"
"25.06.2021","195,891","225,630","227,509","192,922","193,17K","-13,18%"
"24.06.2021","225,627","218,504","226,760","204,319","161,05K","3,26%"
"23.06.2021","218,509","201,327","223,757","193,113","231,95K","8,55%"
"22.06.2021","201,304","203,543","225,664","180,513","322,81K","-1,10%"
"21.06.2021","203,543","264,483","265,587","200,313","267,01K","-23,07%"
"20.06.2021","264,591","268,162","271,094","248,099","150,64K","-1,43%"
"19.06.2021","268,421","264,835","281,758","263,458","165,62K","1,35%"
"18.06.2021","264,835","276,901","279,814","261,043","173,11K","-4,36%"
"17.06.2021","276,901","262,127","281,441","261,964","129,79K","5,64%"
"16.06.2021","262,127","278,681","288,469","259,803","145,91K","-6,22%"
"15.06.2021","279,502","275,404","285,374","272,379","157,04K","1,49%"
"14.06.2021","275,408","261,122","275,424","258,648","148,08K","5,47%"
"13.06.2021","261,122","242,767","261,866","237,874","117,90K","7,56%"
"12.06.2021","242,767","242,795","251,588","232,076","125,56K","-0,01%"
