"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","0,23222","0,23858","0,24209","0,22732","286,90M","-2,66%"
"12.07.2021","0,23857","0,24584","0,25203","0,23617","174,08M","-2,97%"
"11.07.2021","0,24588","0,24484","0,24793","0,24036","187,55M","0,42%"
"10.07.2021","0,24486","0,24556","0,25263","0,23845","218,96M","-0,28%"
"09.07.2021","0,24555","0,24371","0,24927","0,23300","348,61M","0,82%"
"08.07.2021","0,24355","0,25665","0,25748","0,23892","379,25M","-5,14%"
"07.07.2021","0,25675","0,26020","0,26555","0,25575","291,15M","-1,29%"
"06.07.2021","0,26010","0,25358","0,26779","0,25289","255,58M","2,57%"
"05.07.2021","0,25358","0,26811","0,26811","0,25201","255,95M","-5,42%"
"04.07.2021","0,26811","0,26487","0,27148","0,26464","228,92M","1,22%"
"03.07.2021","0,26487","0,26305","0,26985","0,25930","233,03M","0,71%"
"02.07.2021","0,26301","0,26898","0,27334","0,25237","209,09M","-2,24%"
"01.07.2021","0,26902","0,28327","0,28382","0,25992","331,17M","-5,06%"
"30.06.2021","0,28336","0,28079","0,28577","0,26618","287,20M","0,91%"
"29.06.2021","0,28079","0,26354","0,29338","0,26255","160,27M","6,56%"
"28.06.2021","0,26350","0,25932","0,26930","0,25603","355,10M","1,68%"
"27.06.2021","0,25914","0,24885","0,25914","0,23938","397,07M","4,11%"
"26.06.2021","0,24892","0,24119","0,24895","0,22846","333,38M","3,05%"
"25.06.2021","0,24154","0,26832","0,27409","0,24076","469,96M","-9,98%"
"24.06.2021","0,26833","0,25561","0,27289","0,24334","426,57M","4,99%"
"23.06.2021","0,25557","0,23508","0,26932","0,22522","553,35M","8,95%"
"22.06.2021","0,23458","0,23668","0,25856","0,19918","1,10B","-0,87%"
"21.06.2021","0,23665","0,29726","0,30220","0,23548","685,31M","-20,33%"
"20.06.2021","0,29704","0,28930","0,29912","0,26976","371,70M","2,69%"
"19.06.2021","0,28927","0,29687","0,30603","0,28879","246,68M","-2,54%"
"18.06.2021","0,29681","0,31741","0,31827","0,28525","409,98M","-6,49%"
"17.06.2021","0,31740","0,31762","0,32993","0,31042","277,86M","-0,03%"
"16.06.2021","0,31750","0,33364","0,34187","0,31482","428,25M","-4,83%"
"15.06.2021","0,33362","0,34307","0,35155","0,33041","407,06M","-2,72%"
"14.06.2021","0,34295","0,34484","0,34941","0,32764","444,60M","-0,54%"
"13.06.2021","0,34480","0,32775","0,34833","0,31097","398,58M","5,22%"
"12.06.2021","0,32770","0,31817","0,34333","0,30015","401,88M","2,99%"
"11.06.2021","0,31818","0,33865","0,34249","0,31421","399,59M","-6,05%"
"10.06.2021","0,33867","0,36523","0,36678","0,33146","421,30M","-7,25%"
"09.06.2021","0,36516","0,34957","0,36516","0,32496","585,70M","4,47%"
"08.06.2021","0,34952","0,34653","0,35614","0,31082","673,16M","0,83%"
"07.06.2021","0,34666","0,38034","0,39152","0,34352","442,50M","-8,86%"
"06.06.2021","0,38035","0,37485","0,38833","0,37162","287,23M","1,42%"
"05.06.2021","0,37503","0,38468","0,40541","0,36556","525,48M","-2,52%"
"04.06.2021","0,38474","0,42508","0,42519","0,37013","655,60M","-9,49%"
"03.06.2021","0,42506","0,41885","0,43373","0,41289","508,10M","1,50%"
"02.06.2021","0,41877","0,41837","0,43426","0,40604","554,92M","0,09%"
"01.06.2021","0,41840","0,40285","0,44842","0,38446","1,19B","3,89%"
"31.05.2021","0,40273","0,37442","0,40926","0,36585","800,67M","7,43%"
"30.05.2021","0,37487","0,36706","0,39855","0,34725","720,85M","2,18%"
"29.05.2021","0,36688","0,39891","0,40936","0,34417","887,42M","-8,04%"
"28.05.2021","0,39896","0,41973","0,42571","0,36528","1,04B","-4,82%"
"27.05.2021","0,41915","0,44348","0,44673","0,41061","770,57M","-5,49%"
"26.05.2021","0,44352","0,42876","0,46990","0,42167","1,07B","3,43%"
"25.05.2021","0,42881","0,43907","0,45889","0,40846","1,28B","-2,30%"
"24.05.2021","0,43892","0,36426","0,44804","0,36039","1,91B","20,46%"
