"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.07.2021","0,072902","0,075035","0,075687","0,071697","644,48M","-2,85%"
"12.07.2021","0,075037","0,077663","0,078969","0,073970","581,38M","-3,38%"
"11.07.2021","0,077663","0,075913","0,078990","0,074933","476,33M","2,30%"
"10.07.2021","0,075915","0,077030","0,078727","0,074625","606,79M","-1,45%"
"09.07.2021","0,077034","0,076149","0,078236","0,072414","977,18M","1,16%"
"08.07.2021","0,076149","0,083466","0,083593","0,075494","1,19B","-8,77%"
"07.07.2021","0,083472","0,084504","0,086090","0,083211","755,69M","-1,22%"
"06.07.2021","0,084504","0,083362","0,087020","0,083073","932,95M","1,37%"
"05.07.2021","0,083361","0,087772","0,087829","0,081672","1,15B","-5,13%"
"04.07.2021","0,087869","0,088716","0,090014","0,087048","971,03M","-0,95%"
"03.07.2021","0,088716","0,086678","0,090122","0,084276","966,34M","2,35%"
"02.07.2021","0,086681","0,084519","0,087504","0,082018","1,27B","2,54%"
"01.07.2021","0,084530","0,091100","0,091110","0,082618","1,41B","-7,20%"
"30.06.2021","0,091090","0,090011","0,094388","0,081803","1,97B","1,55%"
"29.06.2021","0,089695","0,079351","0,094974","0,079016","2,15B","13,03%"
"28.06.2021","0,079353","0,077846","0,081749","0,075744","1,15B","1,94%"
"27.06.2021","0,077845","0,073896","0,078238","0,071362","1,09B","5,37%"
"26.06.2021","0,073878","0,072220","0,075733","0,069083","1,63B","2,29%"
"25.06.2021","0,072222","0,080647","0,083104","0,071339","2,03B","-10,45%"
"24.06.2021","0,080646","0,076142","0,083035","0,072291","1,98B","5,90%"
"23.06.2021","0,076152","0,071734","0,084309","0,068089","3,54B","6,59%"
"22.06.2021","0,071446","0,073420","0,080855","0,059724","5,46B","-2,69%"
"21.06.2021","0,073418","0,098433","0,098435","0,073154","2,59B","-25,41%"
"20.06.2021","0,098432","0,096742","0,100411","0,088399","1,27B","1,71%"
"19.06.2021","0,096778","0,099582","0,101876","0,096700","800,01M","-2,50%"
"18.06.2021","0,099265","0,107160","0,107411","0,096368","1,03B","-7,37%"
"17.06.2021","0,107163","0,107518","0,111481","0,105084","721,12M","-0,32%"
"16.06.2021","0,107511","0,111389","0,114240","0,105739","1,07B","-3,48%"
"15.06.2021","0,111391","0,113359","0,115452","0,110073","1,15B","-1,74%"
"14.06.2021","0,113360","0,112483","0,116484","0,108616","1,60B","0,78%"
"13.06.2021","0,112485","0,106008","0,115383","0,099936","1,77B","6,11%"
"12.06.2021","0,106004","0,104677","0,107808","0,096894","2,10B","1,27%"
"11.06.2021","0,104669","0,111952","0,114442","0,103486","2,00B","-6,50%"
"10.06.2021","0,111949","0,119928","0,122096","0,109355","2,29B","-6,65%"
"09.06.2021","0,119928","0,112955","0,119928","0,105772","3,06B","5,96%"
"08.06.2021","0,113187","0,114591","0,118177","0,099881","4,14B","-1,23%"
"07.06.2021","0,114591","0,127903","0,136235","0,113263","2,68B","-10,41%"
"06.06.2021","0,127902","0,125233","0,133772","0,124526","1,93B","2,13%"
"05.06.2021","0,125238","0,129176","0,141235","0,120603","3,04B","-3,05%"
