Date,Open,High,Low,Close,Adj Close,Volume
2017-06-13,0.638503,0.652862,0.533910,0.590255,0.590255,25425600
2017-06-14,0.592347,0.606196,0.495745,0.528916,0.528916,14194900
2017-06-15,0.528284,0.543165,0.300365,0.363661,0.363661,10300400
2017-06-16,0.353285,0.448249,0.309852,0.410757,0.410757,6920690
2017-06-17,0.426762,0.444205,0.414139,0.419906,0.419906,3100660
2017-06-18,0.420597,0.426069,0.393790,0.405862,0.405862,2514450
2017-06-19,0.405456,0.420990,0.388231,0.412183,0.412183,3543640
2017-06-20,0.414299,0.422032,0.398649,0.418494,0.418494,3755470
2017-06-21,0.419439,0.437340,0.405037,0.413547,0.413547,3999810
2017-06-22,0.413371,0.427283,0.407261,0.417742,0.417742,2343320
2017-06-23,0.417769,0.480910,0.408405,0.480910,0.480910,3768560
2017-06-24,0.482769,0.635612,0.482769,0.512910,0.512910,19215500
2017-06-25,0.514185,0.525564,0.454951,0.470941,0.470941,5012890
2017-06-26,0.470192,0.473662,0.351156,0.402438,0.402438,9101080
2017-06-27,0.411989,0.420035,0.353549,0.392269,0.392269,4411090
2017-06-28,0.399874,0.399874,0.357338,0.379136,0.379136,4704400
2017-06-29,0.375767,0.459387,0.361568,0.417798,0.417798,5324020
2017-06-30,0.417167,0.453008,0.398195,0.401591,0.401591,5044270
2017-07-01,0.402295,0.414192,0.381489,0.389630,0.389630,2334640
2017-07-02,0.391880,0.396890,0.366798,0.382249,0.382249,2971770
2017-07-03,0.379055,0.384955,0.356024,0.376139,0.376139,3873180
2017-07-04,0.374900,0.410698,0.373865,0.396390,0.396390,3933710
2017-07-05,0.396273,0.400841,0.371809,0.380130,0.380130,3061100
2017-07-06,0.380253,0.382865,0.317295,0.353880,0.353880,8218370
2017-07-07,0.355803,0.355994,0.271859,0.284565,0.284565,8804780
2017-07-08,0.286164,0.320908,0.281393,0.305515,0.305515,3273950
2017-07-09,0.297377,0.312770,0.285475,0.302889,0.302889,2474500
2017-07-10,0.304476,0.304476,0.190539,0.217061,0.217061,8233640
2017-07-11,0.214742,0.231574,0.185681,0.187596,0.187596,6946200
2017-07-12,0.191125,0.237362,0.183955,0.228758,0.228758,4646480
2017-07-13,0.229099,0.238625,0.194249,0.214589,0.214589,4129150
