Date,Open,High,Low,Close,Adj Close,Volume
2016-09-09,0.181483,0.558951,0.181357,0.558478,0.558478,1349
2016-09-10,0.558536,0.559143,0.370960,0.391001,0.391001,811
2016-09-11,0.390948,0.398459,0.372790,0.376150,0.376150,879
2016-09-12,0.376312,0.376671,0.360443,0.374598,0.374598,1116
2016-09-13,0.374469,0.375092,0.301766,0.309509,0.309509,3337
2016-09-14,0.309516,0.337779,0.306223,0.325127,0.325127,4129
2016-09-15,0.325188,0.365124,0.325024,0.349832,0.349832,1982
2016-09-16,0.349726,0.389464,0.348948,0.388858,0.388858,15105
2016-09-17,0.388924,0.427314,0.388896,0.426568,0.426568,21060
2016-09-18,0.426591,0.427137,0.384916,0.384916,0.384916,105159
2016-09-19,0.384877,0.384881,0.331207,0.331296,0.331296,1448
2016-09-20,0.331291,0.336507,0.309502,0.312621,0.312621,1171
2016-09-21,0.312539,0.318675,0.303564,0.303794,0.303794,156
2016-09-22,0.303806,0.308768,0.252592,0.252723,0.252723,54002
2016-09-23,0.252745,0.277371,0.241462,0.243237,0.243237,16845
2016-09-24,0.243321,0.254850,0.213843,0.213843,0.213843,21740
2016-09-25,0.213843,0.224547,0.192797,0.198994,0.198994,3075
2016-09-26,0.199118,0.224506,0.193879,0.202491,0.202491,9657
2016-09-27,0.202473,0.202473,0.179976,0.197913,0.197913,19806
2016-09-28,0.197915,0.212750,0.184495,0.194798,0.194798,6354
2016-09-29,0.194845,0.208155,0.175516,0.191738,0.191738,11050
2016-09-30,0.191685,0.194601,0.180176,0.184939,0.184939,2032
2016-10-01,0.184979,0.216455,0.184979,0.202293,0.202293,2748
2016-10-02,0.202302,0.202303,0.177092,0.177279,0.177279,4178
2016-10-03,0.177613,0.192425,0.177613,0.178713,0.178713,913
2016-10-04,0.178659,0.185843,0.178659,0.185843,0.185843,506
2016-10-05,0.185765,0.289548,0.179917,0.289392,0.289392,1864
2016-10-06,0.289361,0.291334,0.180059,0.180059,0.180059,2612
2016-10-07,0.179898,0.202840,0.179898,0.202840,0.202840,5785
2016-10-08,0.202812,0.223037,0.185864,0.205229,0.205229,31830
2016-10-09,0.205045,0.205045,0.178857,0.186541,0.186541,30052
2016-10-10,0.186466,0.202517,0.180081,0.193108,0.193108,11204
2016-10-11,0.193114,0.195352,0.181615,0.193575,0.193575,5949
2016-10-12,0.193611,0.193611,0.175684,0.186052,0.186052,12201
2016-10-13,0.186072,0.186072,0.175498,0.185407,0.185407,1318
2016-10-14,0.185400,0.191090,0.176211,0.191014,0.191014,2335
2016-10-15,0.191007,0.191007,0.179885,0.179885,0.179885,596
2016-10-16,0.179883,0.190690,0.175885,0.175901,0.175901,16019
2016-10-17,0.175871,0.192747,0.175284,0.192747,0.192747,12989
2016-10-18,0.192736,0.289527,0.179325,0.197440,0.197440,406917
2016-10-19,0.197446,0.205554,0.111325,0.117084,0.117084,228476
2016-10-20,0.117083,0.117172,0.085342,0.092682,0.092682,286750
2016-10-21,0.092487,0.093918,0.072287,0.080181,0.080181,269793
2016-10-22,0.080197,0.096001,0.080013,0.081484,0.081484,293121
2016-10-23,0.081487,0.085212,0.076681,0.082727,0.082727,107073
2016-10-24,0.081000,0.100103,0.076476,0.093762,0.093762,522611
2016-10-25,0.093621,0.322439,0.092699,0.135712,0.135712,365986
2016-10-26,0.135700,0.169630,0.121312,0.129615,0.129615,494772
2016-10-27,0.129608,0.140409,0.124055,0.127426,0.127426,169528
2016-10-28,0.127447,0.159842,0.123780,0.151552,0.151552,545958
2016-10-29,0.151237,0.176248,0.151237,0.170166,0.170166,714101
2016-10-30,0.172946,0.183820,0.170264,0.181026,0.181026,377793
2016-10-31,0.181610,0.229291,0.177568,0.228251,0.228251,917488
2016-11-01,0.228232,0.239149,0.204285,0.211322,0.211322,411699
2016-11-02,0.214646,0.219169,0.191732,0.197941,0.197941,242163
2016-11-03,0.197962,0.198170,0.155788,0.173534,0.173534,265799
2016-11-04,0.173574,0.183584,0.168351,0.175917,0.175917,123337
2016-11-05,0.175934,0.181375,0.156657,0.160797,0.160797,165265
2016-11-06,0.160800,0.168170,0.156750,0.164002,0.164002,52679
2016-11-07,0.163957,0.174019,0.143322,0.173087,0.173087,264007
2016-11-08,0.173073,0.173376,0.160523,0.161594,0.161594,64487
2016-11-09,0.161599,0.166946,0.156541,0.159859,0.159859,51101
2016-11-10,0.159342,0.179854,0.154536,0.168272,0.168272,226859
2016-11-11,0.168293,0.181036,0.165815,0.176226,0.176226,92296
2016-11-12,0.172603,0.179612,0.166288,0.168695,0.168695,38920
2016-11-13,0.168699,0.172853,0.163703,0.169917,0.169917,47661
2016-11-14,0.170347,0.196291,0.168508,0.183786,0.183786,161342
2016-11-15,0.183863,0.183864,0.172835,0.173875,0.173875,58217
2016-11-16,0.173875,0.177754,0.153992,0.162529,0.162529,52767
2016-11-17,0.162654,0.177109,0.162560,0.173280,0.173280,115600
2016-11-18,0.173267,0.196769,0.169420,0.172177,0.172177,170258
2016-11-19,0.172135,0.176490,0.168427,0.169928,0.169928,20977
2016-11-20,0.169929,0.171309,0.161549,0.170999,0.170999,6888
2016-11-21,0.171000,0.174966,0.169408,0.173476,0.173476,13977
2016-11-22,0.173474,0.174220,0.167397,0.168892,0.168892,30457
2016-11-23,0.168883,0.172495,0.166940,0.167085,0.167085,18866
2016-11-24,0.167006,0.186579,0.165703,0.171955,0.171955,252878
2016-11-25,0.171903,0.191663,0.171885,0.174514,0.174514,148809
2016-11-26,0.174608,0.185637,0.173892,0.174141,0.174141,53456
2016-11-27,0.174134,0.179557,0.173007,0.173050,0.173050,34618
2016-11-28,0.173073,0.175046,0.166608,0.167994,0.167994,92873
2016-11-29,0.167861,0.167909,0.141612,0.149953,0.149953,121979
2016-11-30,0.149963,0.150848,0.140499,0.144636,0.144636,63418
2016-12-01,0.144522,0.144846,0.138559,0.140114,0.140114,62769
2016-12-02,0.140119,0.145737,0.138452,0.141991,0.141991,69742
2016-12-03,0.141987,0.144054,0.136455,0.142444,0.142444,121437
2016-12-04,0.142444,0.157052,0.142444,0.147170,0.147170,109462
2016-12-05,0.147270,0.147270,0.138194,0.141459,0.141459,71656
2016-12-06,0.138960,0.141810,0.135703,0.136097,0.136097,54376
2016-12-07,0.136196,0.142794,0.134726,0.137450,0.137450,51152
2016-12-08,0.137448,0.138971,0.134429,0.134429,0.134429,31065
2016-12-09,0.134409,0.136923,0.129699,0.130070,0.130070,54783
2016-12-10,0.130952,0.132206,0.124770,0.125328,0.125328,37027
2016-12-11,0.125352,0.128221,0.120730,0.122134,0.122134,41967
2016-12-12,0.122082,0.140238,0.122082,0.129977,0.129977,57019
2016-12-13,0.133035,0.136888,0.125618,0.127959,0.127959,30845
2016-12-14,0.127930,0.127930,0.120364,0.121008,0.121008,50948
2016-12-15,0.121012,0.123902,0.109819,0.109837,0.109837,38086
2016-12-16,0.109869,0.118707,0.109327,0.114432,0.114432,49515
2016-12-17,0.114445,0.115568,0.101740,0.105842,0.105842,62650
2016-12-18,0.105842,0.117273,0.101063,0.115260,0.115260,37746
2016-12-19,0.115260,0.121812,0.106848,0.121387,0.121387,55326
2016-12-20,0.121536,0.124127,0.115108,0.120868,0.120868,73913
2016-12-21,0.120868,0.168983,0.118599,0.167117,0.167117,635204
2016-12-22,0.166441,0.184986,0.147481,0.155065,0.155065,544880
2016-12-23,0.155059,0.157925,0.131227,0.137593,0.137593,187645
2016-12-24,0.139545,0.151804,0.136822,0.146916,0.146916,132934
2016-12-25,0.144213,0.153788,0.141296,0.146788,0.146788,239670
2016-12-26,0.146785,0.182563,0.141148,0.166597,0.166597,579250
2016-12-27,0.166600,0.177395,0.153932,0.158032,0.158032,265268
2016-12-28,0.158032,0.162041,0.145990,0.150689,0.150689,118030
2016-12-29,0.150688,0.151915,0.140106,0.140950,0.140950,100992
2016-12-30,0.143599,0.148070,0.136893,0.147527,0.147527,69464
2016-12-31,0.147526,0.148837,0.142705,0.144763,0.144763,61000
2017-01-01,0.144763,0.147274,0.139742,0.141841,0.141841,63512
2017-01-02,0.141841,0.147746,0.141841,0.145642,0.145642,75921
2017-01-03,0.145645,0.147282,0.139653,0.140422,0.140422,90544
2017-01-04,0.140294,0.142834,0.134433,0.136734,0.136734,94045
2017-01-05,0.136797,0.143977,0.126582,0.131070,0.131070,206224
2017-01-06,0.131087,0.139018,0.131087,0.135472,0.135472,54666
2017-01-07,0.135505,0.135759,0.125106,0.131104,0.131104,53818
2017-01-08,0.128325,0.134773,0.127755,0.132609,0.132609,69033
2017-01-09,0.132630,0.133670,0.117667,0.123767,0.123767,90000
2017-01-10,0.123761,0.139550,0.123113,0.133864,0.133864,126915
2017-01-11,0.133970,0.134950,0.112802,0.115138,0.115138,120522
2017-01-12,0.115137,0.124128,0.109263,0.124122,0.124122,59945
2017-01-13,0.124106,0.124342,0.113803,0.121321,0.121321,50365
2017-01-14,0.121337,0.123940,0.116299,0.122939,0.122939,9262
2017-01-15,0.122904,0.132022,0.117124,0.123732,0.123732,6954
2017-01-16,0.123730,0.123958,0.118628,0.119649,0.119649,5112
2017-01-17,0.119675,0.122525,0.114662,0.116638,0.116638,7960
2017-01-18,0.116816,0.123035,0.115687,0.123035,0.123035,7457
2017-01-19,0.123035,0.123948,0.116102,0.116619,0.116619,14984
2017-01-20,0.116596,0.124276,0.111754,0.117809,0.117809,16255
2017-01-21,0.117955,0.127853,0.114241,0.116309,0.116309,15335
2017-01-22,0.116306,0.119379,0.109804,0.114313,0.114313,6468
2017-01-23,0.114416,0.130461,0.111428,0.129948,0.129948,7175
2017-01-24,0.128569,0.128569,0.113295,0.120213,0.120213,7139
2017-01-25,0.120212,0.129256,0.115434,0.124216,0.124216,6427
2017-01-26,0.124319,0.135711,0.120759,0.133612,0.133612,7694
2017-01-27,0.129894,0.135296,0.128775,0.130343,0.130343,9238
2017-01-28,0.130334,0.137387,0.125774,0.134674,0.134674,7066
2017-01-29,0.138097,0.141860,0.132053,0.141204,0.141204,11695
2017-01-30,0.141147,0.153760,0.140489,0.153760,0.153760,9285
2017-01-31,0.153713,0.153791,0.144326,0.147016,0.147016,17416
2017-02-01,0.147034,0.150287,0.140878,0.147218,0.147218,4496
2017-02-02,0.147206,0.147974,0.134287,0.145699,0.145699,2973
2017-02-03,0.145650,0.145650,0.132985,0.134264,0.134264,9702
2017-02-04,0.134385,0.147454,0.132960,0.135867,0.135867,10217
2017-02-05,0.135944,0.143104,0.128306,0.131582,0.131582,2685
2017-02-06,0.131717,0.138723,0.125146,0.126788,0.126788,10498
2017-02-07,0.126972,0.136817,0.126972,0.133135,0.133135,5302
2017-02-08,0.133244,0.134031,0.121542,0.129568,0.129568,8268
2017-02-09,0.129684,0.132791,0.118249,0.127476,0.127476,10870
2017-02-10,0.127540,0.131710,0.117976,0.125761,0.125761,2605
2017-02-11,0.125788,0.127159,0.122483,0.125607,0.125607,743
2017-02-12,0.125493,0.137479,0.117401,0.121566,0.121566,3330
2017-02-13,0.121530,0.137720,0.118105,0.118286,0.118286,6977
2017-02-14,0.118339,0.121985,0.114384,0.116603,0.116603,6788
2017-02-15,0.116744,0.120698,0.111437,0.112729,0.112729,5690
2017-02-16,0.112739,0.126088,0.112574,0.126088,0.126088,10795
2017-02-17,0.125972,0.130485,0.115022,0.122661,0.122661,28259
2017-02-18,0.122901,0.130873,0.119005,0.124431,0.124431,13458
2017-02-19,0.124522,0.124827,0.117671,0.122905,0.122905,4321
2017-02-20,0.123001,0.127204,0.116679,0.121475,0.121475,10971
2017-02-21,0.121400,0.127322,0.114101,0.121561,0.121561,14370
2017-02-22,0.124515,0.124515,0.115683,0.121959,0.121959,6903
2017-02-23,0.121958,0.122226,0.114699,0.118724,0.118724,6304
2017-02-24,0.119243,0.136124,0.086475,0.121185,0.121185,17386
2017-02-25,0.120864,0.121660,0.110955,0.114526,0.114526,9339
2017-02-26,0.114553,0.115582,0.104331,0.114986,0.114986,8433
2017-02-27,0.115234,0.118632,0.109630,0.115376,0.115376,8960
2017-02-28,0.115442,0.118271,0.113307,0.117443,0.117443,19659
2017-03-01,0.117455,0.135197,0.113717,0.135197,0.135197,12914
2017-03-02,0.135408,0.135475,0.115596,0.119301,0.119301,8963
2017-03-03,0.119272,0.124929,0.118119,0.122444,0.122444,9499
2017-03-04,0.122602,0.125583,0.117666,0.119901,0.119901,6235
2017-03-05,0.119821,0.123680,0.116513,0.121757,0.121757,4192
2017-03-06,0.121782,0.124417,0.118414,0.123450,0.123450,10659
