Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,1.656770,1.955420,1.656770,1.851830,1.851830,459394
2017-10-03,1.901990,2.069650,1.764390,1.924880,1.924880,476488
2017-10-04,1.876310,2.183610,1.876310,2.151110,2.151110,476292
2017-10-05,2.178200,2.190370,1.956210,2.134660,2.134660,501729
2017-10-06,2.114770,2.196800,2.097010,2.175600,2.175600,524678
2017-10-07,2.181600,2.442950,2.181600,2.381940,2.381940,453749
2017-10-08,2.398170,2.458790,2.324590,2.347670,2.347670,466671
2017-10-09,2.338720,2.443530,2.117640,2.316660,2.316660,751712
2017-10-10,2.300960,2.389600,2.095990,2.320080,2.320080,799158
2017-10-11,2.291070,2.325100,2.230500,2.260390,2.260390,484819
2017-10-12,2.246490,2.480120,2.245630,2.473280,2.473280,460146
2017-10-13,2.493650,2.505730,2.343080,2.440750,2.440750,691607
2017-10-14,2.448550,2.656740,2.409590,2.620070,2.620070,649276
2017-10-15,2.639110,2.791800,2.399080,2.496560,2.496560,339115
2017-10-16,2.482830,2.635580,2.406320,2.592370,2.592370,478468
2017-10-17,2.572320,2.633840,2.361230,2.498900,2.498900,1080100
2017-10-18,2.497730,2.520280,2.250100,2.283860,2.283860,1072900
2017-10-19,2.288700,2.498080,1.698100,2.028320,2.028320,1489370
2017-10-20,2.000140,2.237290,1.818000,1.893400,1.893400,869169
2017-10-21,1.891940,1.956360,1.636710,1.824520,1.824520,662759
2017-10-22,1.824610,1.898020,1.633460,1.677800,1.677800,568426
2017-10-23,1.665150,1.801490,1.656170,1.717060,1.717060,437565
2017-10-24,1.711610,1.981520,1.667250,1.840730,1.840730,391817
2017-10-25,1.840280,1.879090,1.723860,1.781190,1.781190,185990
2017-10-26,1.783450,1.801930,1.718900,1.788950,1.788950,215177
2017-10-27,1.794010,1.864050,1.779740,1.779740,1.779740,283231
2017-10-28,1.772840,1.848270,1.744470,1.795220,1.795220,353571
2017-10-29,1.798730,1.827760,1.697580,1.745500,1.745500,571833
2017-10-30,1.739690,1.859360,1.719370,1.753270,1.753270,666903
2017-10-31,1.744230,1.823310,1.664570,1.754960,1.754960,714885
2017-11-01,1.734460,1.800250,1.646760,1.719730,1.719730,486612
2017-11-02,1.718290,1.750670,1.493310,1.612340,1.612340,701330
2017-11-03,1.620570,1.781400,1.593320,1.742890,1.742890,642585
2017-11-04,1.748590,1.875580,1.748590,1.765360,1.765360,567026
2017-11-05,1.777640,1.810990,1.685920,1.700080,1.700080,338133
2017-11-06,1.703770,1.776820,1.551060,1.554250,1.554250,504421
2017-11-07,1.557250,1.854580,1.523120,1.716710,1.716710,599851
2017-11-08,1.719600,1.759310,1.611820,1.618840,1.618840,603375
2017-11-09,1.618220,1.770870,1.561080,1.706310,1.706310,506992
2017-11-10,1.725750,1.788160,1.506240,1.556840,1.556840,507916
2017-11-11,1.550430,1.629680,1.506630,1.583380,1.583380,500045
2017-11-12,1.579000,1.603630,1.442530,1.476480,1.476480,278535
2017-11-13,1.504680,1.564480,1.400590,1.459460,1.459460,390003
2017-11-14,1.454180,1.589450,1.454180,1.557080,1.557080,372245
2017-11-15,1.561000,1.663880,1.542950,1.610520,1.610520,178352
2017-11-16,1.623580,1.679180,1.529410,1.660010,1.660010,386974
2017-11-17,1.653710,1.701570,1.625210,1.654020,1.654020,271884
2017-11-18,1.644010,1.706940,1.618180,1.686600,1.686600,187698
2017-11-19,1.680970,1.727890,1.637050,1.724360,1.724360,255118
2017-11-20,1.714210,1.772300,1.690880,1.747900,1.747900,287842
2017-11-21,1.751510,1.771580,1.677610,1.721610,1.721610,295924
2017-11-22,1.733620,2.429110,1.722000,2.323220,2.323220,853953
2017-11-23,2.285900,2.387200,2.020920,2.021650,2.021650,321518
2017-11-24,2.016090,2.112280,1.848390,1.975990,1.975990,787662
2017-11-25,1.953340,2.212420,1.928240,2.030200,2.030200,589199
2017-11-26,2.022320,2.211500,2.016170,2.171570,2.171570,799362
2017-11-27,2.175480,2.258340,2.025550,2.167130,2.167130,391622
2017-11-28,2.175410,2.262820,2.069190,2.125690,2.125690,504296
2017-11-29,2.131520,2.397080,1.935770,2.058110,2.058110,412355
2017-11-30,2.063900,2.290860,1.947970,2.186310,2.186310,340965
2017-12-01,2.185000,2.422070,2.070610,2.417620,2.417620,530200
2017-12-02,2.415150,2.520080,2.383270,2.494490,2.494490,463783
2017-12-03,2.484280,2.883720,2.470950,2.718520,2.718520,511950
2017-12-04,2.724430,2.778880,2.546440,2.668190,2.668190,643893
2017-12-05,2.671560,2.837150,2.651030,2.798330,2.798330,496599
2017-12-06,2.785980,3.722300,2.785980,3.309390,3.309390,708488
2017-12-07,3.296580,3.782880,3.088450,3.775560,3.775560,463861
2017-12-08,3.783310,3.951350,3.320180,3.817240,3.817240,924748
2017-12-09,3.832420,3.929920,3.147070,3.407720,3.407720,866925
2017-12-10,3.417400,3.652470,3.005130,3.446750,3.446750,923580
2017-12-11,3.450040,3.967100,3.267020,3.869710,3.869710,735963
