Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,GAS-USD,LINK-USD,LTC-USD,REP-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2017-10-01,0.024969,415.152008,1.52653,4403.740234,0.001084,0.70776,12.7417,302.337006,30.2311,0.436647,54.543301,20.6577,0.001848,,0.013688,93.222,0.206532
2017-10-02,0.025932,421.186005,1.96467,4409.319824,0.001085,0.654973,12.437,297.475006,31.6756,0.356767,53.375999,19.371401,0.002803,,0.012962,91.544197,0.202676
2017-10-03,0.020816,404.177002,1.8207,4317.47998,0.001108,0.63123,12.4062,292.463013,27.443001,0.345535,52.349602,19.436001,0.002447,,0.012404,92.961197,0.203318
2017-10-04,0.021931,358.446991,1.60148,4229.359863,0.001024,0.601539,11.9703,292.65799,29.0294,0.397361,51.399502,18.992001,0.00325,,0.011851,90.407097,0.214774
2017-10-05,0.021489,355.75,1.67849,4328.410156,0.001001,0.606157,11.9481,295.863007,29.3141,0.406538,51.669498,19.0226,0.00332,,0.014576,91.858902,0.237016
2017-10-06,0.018539,363.014008,1.57991,4370.810059,0.001056,0.599844,12.3379,308.588013,27.921801,0.475765,52.120098,19.6143,0.002996,,0.018403,91.189796,0.234039
2017-10-07,0.020941,360.782013,1.58425,4426.890137,0.001066,0.588553,12.2757,311.123993,28.121401,0.463657,52.584,20.131399,0.002459,,0.020959,91.703697,0.23861
2017-10-08,0.020477,342.212006,1.21723,4610.47998,0.001056,0.604501,12.1241,308.608002,23.499599,0.397137,53.142601,19.1194,0.00253,,0.018598,89.774597,0.279944
2017-10-09,0.022114,314.161011,1.40378,4772.02002,0.000991,0.557142,11.4962,297.391998,23.0432,0.380589,50.164001,17.8123,0.002181,,0.017601,85.4851,0.251825
2017-10-10,0.021531,321.589996,1.39336,4781.990234,0.001036,0.555214,11.5376,299.869995,23.5214,0.407469,50.717098,18.773199,0.002225,,0.018953,86.821198,0.260733
2017-10-11,0.02252,314.895996,1.43373,4826.47998,0.001046,0.610223,11.4947,303.455994,22.9107,0.450463,50.887501,18.6127,0.00247,,0.01945,87.4217,0.264439
2017-10-12,0.026252,313.213013,1.34376,5446.910156,0.001062,0.591723,11.9619,304.135986,20.7794,0.444011,60.107601,18.229799,0.002345,,0.017784,87.0924,0.248414
2017-10-13,0.033641,321.460999,1.43548,5647.209961,0.001066,0.58397,12.1838,338.756989,24.829,0.434603,59.428902,18.383699,0.002113,,0.01796,95.134598,0.260489
2017-10-14,0.032465,321.958008,1.53819,5831.790039,0.00111,0.582836,12.2568,339.627991,22.9457,0.39186,63.950199,18.951099,0.002394,,0.017522,100.230003,0.25732
2017-10-15,0.030049,314.946991,1.55844,5678.189941,0.001106,0.571914,11.9485,336.595001,22.0648,0.413516,65.4674,18.655199,0.002286,,0.018925,94.865501,0.263983
2017-10-16,0.028948,313.643005,1.4407,5725.589844,0.001164,0.561856,11.8872,333.384003,21.9247,0.423807,64.621902,19.089199,0.002156,,0.036865,95.900299,0.256232
2017-10-17,0.027217,371.730988,1.38995,5605.509766,0.001067,0.552144,11.9153,317.082001,21.9298,0.400848,59.479,18.7019,0.001944,,0.045842,91.284203,0.232064
2017-10-18,0.026691,339.165985,1.32756,5590.689941,0.001047,0.546006,11.5277,314.319,20.702,0.366229,60.730801,18.339399,0.002095,,0.035133,89.542198,0.21852
2017-10-19,0.027032,330.806,1.28461,5708.52002,0.001064,0.566708,11.3438,308.088013,20.1518,0.3,59.7397,18.150101,0.001915,,0.031195,88.623901,0.21515
2017-10-20,0.03063,327.444,1.24192,6011.450195,0.00105,0.540684,11.2212,304.006012,19.6945,0.223874,60.330601,17.556999,0.001942,,0.026757,90.540497,0.210549
2017-10-21,0.028436,323.358002,1.25405,6031.600098,0.001007,0.526792,10.919,300.187012,19.051399,0.252681,58.201801,16.837299,0.002298,,0.036429,88.123299,0.211016
2017-10-22,0.027729,331.660004,1.21377,6008.419922,0.001023,0.51797,10.8273,295.446014,20.8326,0.264695,56.807899,16.8465,0.002583,,0.031269,86.581902,0.204177
