Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2.134508,2.457097,2.127879,2.291432,2.291432,1010449
2019-01-02,2.310105,2.422220,2.272796,2.358147,2.358147,1313074
2019-01-03,2.368172,2.379315,2.244817,2.248181,2.248181,536207
2019-01-04,2.252283,2.287728,2.199221,2.244484,2.244484,300516
2019-01-05,2.242453,2.327351,2.237534,2.292005,2.292005,352919
2019-01-06,2.291357,2.559551,2.246181,2.467518,2.467518,855836
2019-01-07,2.483395,2.566688,2.433269,2.433269,2.433269,1167069
2019-01-08,2.432231,2.596127,2.382491,2.577037,2.577037,1173249
2019-01-09,2.573845,2.664452,2.547892,2.574128,2.574128,976896
2019-01-10,2.574878,2.588154,2.127740,2.199150,2.199150,1191086
2019-01-11,2.194662,2.218569,2.153854,2.195614,2.195614,697215
2019-01-12,2.196541,2.208507,2.123666,2.134292,2.134292,682735
2019-01-13,2.137883,2.161301,1.973089,1.977837,1.977837,751553
2019-01-14,1.979479,2.187959,1.979479,2.128104,2.128104,958963
2019-01-15,2.130617,2.150781,2.030517,2.047902,2.047902,733383
2019-01-16,2.045626,2.224557,2.040493,2.126490,2.126490,1487794
2019-01-17,2.126979,2.303656,2.126979,2.209886,2.209886,1454170
2019-01-18,2.213311,2.235724,2.145481,2.205855,2.205855,936510
2019-01-19,2.211141,2.313868,2.209202,2.273711,2.273711,1306518
2019-01-20,2.272838,2.286800,2.107698,2.153998,2.153998,842144
2019-01-21,2.163507,2.167343,2.105385,2.131907,2.131907,704783
2019-01-22,2.135355,2.221027,2.092480,2.201924,2.201924,784126
2019-01-23,2.204601,2.249133,2.137112,2.149377,2.149377,1320893
2019-01-24,2.152668,2.201717,2.143359,2.198556,2.198556,871886
2019-01-25,2.200745,2.206755,2.129407,2.159430,2.159430,980608
2019-01-26,2.160957,2.184323,2.124499,2.129679,2.129679,807982
2019-01-27,2.133548,2.137812,2.042438,2.082100,2.082100,779690
2019-01-28,2.080182,2.080182,1.881114,1.929939,1.929939,863613
2019-01-29,1.932520,1.997085,1.922955,1.967687,1.967687,780844
2019-01-30,1.964631,2.042928,1.941430,1.987053,1.987053,875740
2019-01-31,1.988166,2.023724,1.909725,1.912087,1.912087,855124
2019-02-01,1.916750,1.959972,1.866400,1.934227,1.934227,819628
2019-02-02,1.929703,1.987917,1.905399,1.976410,1.976410,870320
2019-02-03,1.983849,1.986338,1.891973,1.919636,1.919636,640096
2019-02-04,1.924076,1.949570,1.897821,1.929702,1.929702,686926
2019-02-05,1.926767,1.944744,1.902355,1.910891,1.910891,854981
2019-02-06,1.917425,1.941787,1.835833,1.857179,1.857179,1354977
2019-02-07,1.865894,1.906908,1.844044,1.895713,1.895713,893220
2019-02-08,1.894561,2.063110,1.894561,2.040659,2.040659,1374598
2019-02-09,2.049226,2.079292,2.017005,2.054939,2.054939,817219
2019-02-10,2.056478,2.112902,1.996420,2.099978,2.099978,1201441
2019-02-11,2.102837,2.200966,2.041806,2.146462,2.146462,1684951
2019-02-12,2.147298,2.201110,2.087885,2.156113,2.156113,1767810
2019-02-13,2.162011,2.173712,2.087970,2.114790,2.114790,818710
2019-02-14,2.114203,2.148112,2.051002,2.051203,2.051203,567631
2019-02-15,2.058552,2.292721,2.040799,2.191226,2.191226,2483894
2019-02-16,2.193171,2.426931,2.113825,2.122018,2.122018,3216010
2019-02-17,2.124464,3.685948,2.124464,2.691710,2.691710,42651096
2019-02-18,2.704756,2.704756,2.389997,2.511715,2.511715,6864015
2019-02-19,2.495823,2.642207,2.377917,2.475984,2.475984,4673201
2019-02-20,2.482185,2.650702,2.482185,2.633431,2.633431,4495831
