Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,0.047181,0.049737,0.046805,0.049690,0.049690,1012700
2019-01-02,0.049894,0.050699,0.047404,0.050489,0.050489,1201751
2019-01-03,0.050446,0.054451,0.049668,0.052906,0.052906,2795025
2019-01-04,0.052287,0.052287,0.049511,0.051363,0.051363,1615458
2019-01-05,0.051174,0.051745,0.050006,0.050197,0.050197,661659
2019-01-06,0.050145,0.052663,0.049547,0.052030,0.052030,830757
2019-01-07,0.051953,0.053497,0.051151,0.051540,0.051540,1267124
2019-01-08,0.051953,0.052324,0.050132,0.050526,0.050526,1271169
2019-01-09,0.050705,0.051585,0.050373,0.050689,0.050689,526367
2019-01-10,0.051082,0.051391,0.044367,0.044730,0.044730,1872385
2019-01-11,0.044595,0.046639,0.044416,0.046239,0.046239,974246
2019-01-12,0.046322,0.046846,0.045551,0.046517,0.046517,630920
2019-01-13,0.046419,0.047878,0.043628,0.044067,0.044067,759417
2019-01-14,0.044180,0.046589,0.043948,0.046267,0.046267,498870
2019-01-15,0.046109,0.048452,0.045442,0.045979,0.045979,1429784
2019-01-16,0.046050,0.047556,0.045768,0.047293,0.047293,803893
2019-01-17,0.047267,0.048401,0.046513,0.047435,0.047435,899594
2019-01-18,0.047591,0.047694,0.046311,0.046876,0.046876,521290
2019-01-19,0.046809,0.054483,0.046643,0.050717,0.050717,4819790
2019-01-20,0.050670,0.050670,0.046127,0.047146,0.047146,1619338
2019-01-21,0.047230,0.047549,0.045832,0.047549,0.047549,859599
2019-01-22,0.047677,0.050033,0.046030,0.049468,0.049468,2127552
2019-01-23,0.049483,0.053965,0.049352,0.051909,0.051909,4474882
2019-01-24,0.051907,0.052856,0.050122,0.051547,0.051547,2287940
2019-01-25,0.051742,0.056226,0.051101,0.055730,0.055730,4089760
2019-01-26,0.055776,0.064788,0.055776,0.061830,0.061830,10517554
2019-01-27,0.062003,0.067970,0.056290,0.057041,0.057041,12552030
2019-01-28,0.057235,0.058990,0.049651,0.051923,0.051923,4854661
2019-01-29,0.052104,0.054832,0.051189,0.052805,0.052805,2578012
2019-01-30,0.052783,0.054821,0.051416,0.054038,0.054038,2116595
2019-01-31,0.054080,0.054335,0.050970,0.052690,0.052690,2099848
2019-02-01,0.052486,0.058710,0.051295,0.058119,0.058119,2835603
2019-02-02,0.058012,0.060264,0.055227,0.057222,0.057222,2821987
2019-02-03,0.057180,0.057518,0.054644,0.055725,0.055725,1475213
2019-02-04,0.055872,0.062250,0.055284,0.060903,0.060903,3479603
2019-02-05,0.060875,0.069791,0.059843,0.068959,0.068959,9346982
2019-02-06,0.069593,0.075858,0.062710,0.062899,0.062899,11043383
2019-02-07,0.062978,0.071562,0.062978,0.068162,0.068162,6108936
2019-02-08,0.068825,0.073139,0.067274,0.071998,0.071998,3826016
2019-02-09,0.071846,0.080083,0.069312,0.078179,0.078179,7740761
2019-02-10,0.077508,0.096812,0.075679,0.085831,0.085831,34884525
2019-02-11,0.087683,0.093818,0.083273,0.086638,0.086638,10301197
2019-02-12,0.087192,0.087192,0.081448,0.083306,0.083306,4528835
2019-02-13,0.083766,0.093000,0.082854,0.091115,0.091115,6720168
2019-02-14,0.092173,0.098223,0.089591,0.093131,0.093131,11317307
2019-02-15,0.093042,0.094325,0.090382,0.092669,0.092669,4376724
2019-02-16,0.092879,0.092879,0.086723,0.087282,0.087282,3321664
2019-02-17,0.087278,0.091926,0.086458,0.090447,0.090447,4281733
