Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3.257107,3.270379,3.046660,3.162524,3.162524,17751534
2019-01-02,3.178581,3.194866,3.083118,3.153164,3.153164,14176192
2019-01-03,3.152538,3.182137,3.076494,3.103900,3.103900,10588626
2019-01-04,3.112997,3.117283,3.023183,3.086819,3.086819,12094372
2019-01-05,3.081077,3.125134,3.038382,3.073536,3.073536,11661695
2019-01-06,3.076688,3.239460,3.037946,3.210197,3.210197,12685025
2019-01-07,3.207455,3.213567,2.934001,2.951987,2.951987,15409171
2019-01-08,2.948549,3.067869,2.874208,2.887409,2.887409,15761841
2019-01-09,2.893340,2.962821,2.845369,2.864082,2.864082,13767604
2019-01-10,2.867119,2.881375,2.587461,2.617751,2.617751,21314704
2019-01-11,2.614424,2.704781,2.570928,2.595898,2.595898,11321681
2019-01-12,2.594774,2.655378,2.547955,2.595519,2.595519,8891122
2019-01-13,2.596167,2.669515,2.487519,2.669515,2.669515,17509923
2019-01-14,2.678919,2.818612,2.629617,2.745976,2.745976,33323810
2019-01-15,2.737857,2.742849,2.586702,2.599403,2.599403,16600031
2019-01-16,2.602272,2.705943,2.563458,2.595324,2.595324,14102644
2019-01-17,2.595923,2.658090,2.573350,2.616401,2.616401,19423848
2019-01-18,2.617366,2.632785,2.532753,2.552517,2.552517,13659258
2019-01-19,2.563091,2.667927,2.543059,2.603329,2.603329,10639690
2019-01-20,2.596548,2.636715,2.495105,2.540930,2.540930,9885648
2019-01-21,2.540058,2.560222,2.497668,2.536999,2.536999,9053180
2019-01-22,2.539145,2.819022,2.472607,2.785768,2.785768,23594560
2019-01-23,2.788512,3.194092,2.741143,3.051819,3.051819,69909033
2019-01-24,3.047962,3.086547,2.722967,2.746160,2.746160,41182271
2019-01-25,2.754308,2.932592,2.733864,2.810778,2.810778,31324116
2019-01-26,2.804831,2.817449,2.685938,2.704498,2.704498,13128785
2019-01-27,2.706085,2.926416,2.636419,2.699514,2.699514,31886645
2019-01-28,2.705177,2.924330,2.524098,2.887110,2.887110,30872060
2019-01-29,2.907816,3.016156,2.803825,2.960959,2.960959,35586250
2019-01-30,2.968619,3.057451,2.778878,2.893188,2.893188,36132989
