Date,ABEV3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BOVA11,BRML3,CCRO3,CIEL3,CMIG4,COGN3,CSNA3,ECOR3,EQTL3,GGBR4,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LREN3,MGLU3,MULT3,PETR4,PRIO3,RADL3,UGPA3,USIM5,VALE3
2019-01-02,14.685471,8.211551,40.703751,21.585308,26.543947,22.948406,87.900002,12.521656,10.83482,8.264735,10.207084,9.141587,7.811669,9.72,14.012153,13.069728,24.319773,10.240974,33.093395,10.452952,15.233185,37.322678,5.641579,23.437693,18.925686,2.0712,11.081697,26.082016,8.779833,40.610806
2019-01-03,14.849148,8.569091,40.871254,22.036453,26.811701,23.199608,88.0,12.605382,11.186951,8.067341,9.992949,9.250299,7.904968,9.92,14.403092,12.983744,24.033657,10.330027,33.638992,10.617908,15.625457,36.851326,5.581216,23.606987,19.38978,2.0758,11.05629,25.597237,8.590923,38.94949
2019-01-04,15.049197,8.258827,40.871254,21.553459,26.601313,22.972717,88.5,12.363507,11.060544,8.711014,9.893022,9.26018,8.269683,9.96,14.590146,13.327682,23.76506,10.297645,33.075512,10.895728,15.877631,35.437256,5.411353,23.127321,19.444843,2.0932,11.214598,25.424446,9.094683,41.48518
2019-01-07,14.985545,8.214504,40.603252,21.734575,26.916899,22.632381,88.480003,12.289084,10.744529,8.633773,9.600369,9.022993,8.286647,9.84,14.683672,13.362077,24.004463,10.289547,33.138119,10.513725,15.877631,34.623108,5.495374,22.798141,19.751619,2.0914,10.96443,24.646879,9.112675,41.262611
2019-01-08,14.685471,8.238147,40.142609,21.976074,27.081263,22.300148,88.830002,12.30769,11.051516,8.341974,9.550405,9.092174,8.31209,9.82,14.721084,13.379273,24.232185,10.427176,33.558491,10.67868,15.943008,35.737221,5.451089,22.638254,19.633627,2.1414,11.365091,24.238899,8.858072,41.660057
2019-01-09,14.894614,8.276558,40.033726,22.434914,27.548071,21.595161,90.32,12.503051,11.46685,8.693849,9.700299,9.467719,8.379946,10.01,14.954899,13.757607,24.167957,10.564799,34.068325,10.591863,16.297922,36.508518,5.432889,22.920408,20.042662,2.167,11.943606,25.01646,9.148205,42.677509
2019-01-10,15.321993,8.353384,40.620003,22.501328,27.462599,22.202908,90.419998,12.410021,11.65646,9.517746,9.871607,9.546782,8.464762,10.2,15.149434,13.40507,23.671637,10.491943,33.835766,10.557134,16.24188,36.559937,5.485668,22.732304,19.869612,2.1792,12.414627,25.664434,9.365802,42.20853
2019-01-11,15.722094,8.530675,40.78751,22.410765,27.285076,22.486521,90.379997,12.30769,12.098882,9.191622,9.893022,9.734556,8.362982,10.45,15.213034,13.086925,23.195753,10.362411,33.630043,10.834954,16.027067,35.745792,5.387087,22.280855,19.657227,2.2058,12.508441,25.530043,9.229804,41.636211
2019-01-14,15.949422,8.719787,41.733921,22.434914,27.607244,22.689106,91.209999,12.372809,12.640623,9.354683,9.950124,10.080453,8.286647,10.71,15.564694,13.069728,23.093565,10.516227,33.880489,11.017274,16.643492,35.094463,5.429553,22.299665,19.547104,2.1898,12.463488,25.712429,8.948739,41.811081
2019-01-15,16.094913,8.634094,41.248142,22.519434,27.554644,22.794443,90.610001,12.354204,12.153056,9.011395,9.871607,9.971743,8.15942,10.54,15.630162,12.811773,23.356325,10.45146,33.352772,10.9565,17.129162,34.965904,5.367978,22.713491,19.531368,2.2,12.649161,25.486841,8.830873,41.612362
2019-01-16,16.185843,8.820253,40.854511,22.640179,27.686138,23.013235,91.150002,12.279781,12.144026,8.788253,9.750263,10.129867,8.430834,10.35,15.630162,12.837567,24.232185,10.459558,33.254391,11.416639,17.157181,35.737221,5.308222,22.760519,19.523504,2.196,12.547532,25.467646,9.057538,41.85083
2019-01-17,16.23131,8.864575,41.005268,22.730755,27.778189,23.523739,91.970001,12.549564,12.279462,8.994227,10.035777,10.347289,8.413872,10.5,15.622678,12.94075,24.407358,10.475747,33.254391,11.633685,16.998405,37.065575,5.292449,22.901598,19.790951,2.2006,12.316904,26.3988,9.048471,43.10675
2019-01-18,16.367708,8.98277,40.661869,23.002428,28.060898,24.018036,92.610001,12.642593,12.189172,8.942734,9.907297,10.060688,8.34602,10.34,15.488001,13.319084,25.169357,10.467653,33.683716,11.746549,16.998405,37.579788,5.283957,22.835762,19.979736,2.236,12.385311,26.888378,9.012205,43.528038
2019-01-21,16.367708,9.012319,40.444122,22.603971,27.738737,23.580462,92.639999,12.577474,12.180142,9.140126,10.064328,9.981625,8.422353,10.5,15.740521,13.327682,25.122644,10.427176,33.406445,11.894141,17.231901,36.851326,5.06556,22.816952,20.081993,2.3342,12.191819,26.417999,9.111938,43.94138
2019-01-22,15.949422,8.796613,40.36874,22.58585,27.613815,23.620974,91.400002,12.568172,12.098882,8.925568,10.042915,9.981625,8.30361,10.58,15.338359,13.301888,25.280302,10.378598,33.352772,11.807323,17.119823,36.33712,4.915413,22.986244,19.767349,2.2878,12.010058,26.110811,8.849006,43.782402
2019-01-23,15.622067,9.077323,41.20628,23.014503,28.087202,24.026138,93.099998,12.875165,12.216258,8.762506,10.157121,10.712952,8.75314,10.61,15.525413,13.456659,25.256945,10.516227,33.576385,12.224051,17.185198,37.014153,5.144426,23.475311,20.003334,2.2778,12.096053,27.008373,8.81274,44.235493
2019-01-24,15.603883,9.352127,40.996883,23.352602,28.369913,24.301649,94.169998,13.265885,12.893435,9.165874,10.342703,11.30592,8.795549,11.17,15.710596,13.749009,25.671518,10.686235,33.531654,12.562643,17.596149,38.085423,5.08012,23.606987,20.089863,2.2352,12.174232,27.699539,8.885274,44.632938
2019-01-28,16.322243,9.52351,40.469234,23.901995,28.600025,24.358374,92.080002,13.331005,13.254595,9.346101,10.042915,11.335569,8.295128,11.47,15.73117,13.448061,25.744509,10.921009,34.130913,12.849146,17.56813,38.79673,5.077087,23.569366,19.484173,2.146,12.725385,27.92993,8.81274,33.671436
2019-01-29,16.249498,9.322576,41.817669,23.249958,28.231844,24.350269,92.190002,13.489155,14.13041,9.800961,10.050053,11.197209,8.515651,12.0,16.198803,13.448061,25.227749,10.742905,33.880489,12.762325,17.362656,39.070972,5.402254,23.842115,19.956137,2.1738,12.332541,27.382755,8.794607,33.973495
2019-01-30,16.340429,9.298939,42.362057,23.437124,28.166092,24.844568,93.519997,13.489155,13.724104,9.94686,9.992949,11.80006,8.804031,11.75,16.46068,13.886586,25.049656,10.864338,34.095142,13.283237,17.605492,38.925285,5.343104,24.171297,20.152788,2.36,12.187911,27.205164,8.975939,37.041759
2019-01-31,15.922143,9.298939,43.434086,24.306507,29.757172,25.168699,94.0,13.535668,13.435177,10.24724,9.885884,11.296037,8.65136,11.39,16.488733,13.456659,24.892002,10.929102,34.685452,13.100918,17.446716,38.993851,5.431675,24.481668,20.121321,2.3,12.117552,27.45475,8.89434,36.167385
2019-02-01,16.467735,9.437816,43.643471,24.01671,29.389,25.44421,94.360001,13.303097,13.362944,10.324481,9.785954,11.473927,8.566544,11.48,16.499958,13.585638,25.344528,10.961485,34.725723,12.909918,17.792284,39.130962,5.423486,24.566317,20.294374,2.24,12.2055,26.869179,8.78554,36.763546
2019-02-04,16.776901,9.535328,44.472618,24.540518,30.038332,25.62248,95.029999,13.396124,13.399059,10.058432,9.707438,11.612288,8.396907,11.55,16.451326,13.749009,25.545979,11.171971,35.513107,13.040146,18.044458,39.422356,5.37101,25.064787,20.475294,2.2126,12.215274,27.257963,8.867139,35.515572
2019-02-05,16.949669,9.745123,45.77079,24.522409,30.051481,25.525244,94.800003,13.37752,13.353914,9.59499,9.750263,11.523341,8.379946,11.53,16.247437,13.688821,25.327015,10.82386,34.000961,13.005418,18.586166,38.968128,5.323389,24.782637,20.514626,2.1844,11.984651,27.358755,8.885274,35.388393
2019-02-06,16.449545,9.514644,42.981819,23.356689,28.637379,24.406994,91.269997,13.117041,12.523245,8.882658,9.37196,11.088499,7.896487,11.11,16.172617,13.181508,25.108047,10.362411,32.569347,12.180642,18.072479,37.031288,5.147459,24.030218,20.050528,2.3196,11.673894,26.206808,8.477277,33.750923
2019-02-07,17.049694,9.160061,43.266582,23.694933,29.07148,24.488026,91.0,12.884468,12.640623,9.183039,9.479026,11.048967,8.074602,11.25,15.968728,13.095523,25.049656,10.378598,32.685669,12.441098,18.305977,37.151276,5.059494,23.870329,19.735889,2.264,11.775523,25.885225,8.558875,33.059372
2019-02-08,16.567757,9.25757,43.325211,24.311001,29.380604,24.50423,91.699997,12.940285,12.794116,9.097216,9.56468,11.029201,8.354501,11.13,15.880812,13.198706,26.045221,10.710524,33.383591,12.371644,17.98842,37.279827,5.156559,23.83271,19.767349,2.241,11.771615,25.890022,8.722074,34.307343
2019-02-11,17.013323,9.095053,42.043804,23.83988,29.209599,23.945107,90.989998,12.782137,12.776058,9.492,9.343409,11.266389,8.15942,11.01,15.618938,13.284691,26.053978,10.637662,33.007793,12.45846,17.558792,36.851326,5.014904,23.672821,19.539238,2.32,11.580081,25.870825,8.685807,33.401176
2019-02-12,16.97695,9.195517,44.631741,24.353291,29.794964,23.434603,92.449997,12.614685,12.812173,9.500582,9.479026,11.197209,8.379946,11.08,15.564694,13.327682,27.122532,10.815765,33.795166,12.632099,17.00774,38.273952,4.998829,23.616392,20.231443,2.3178,11.583987,25.770029,8.685807,35.213516
2019-02-13,16.722342,9.171881,43.618343,24.147919,29.334557,23.005129,92.599998,12.651896,12.414897,9.42334,9.636058,11.137914,8.464762,10.86,15.785417,13.439464,26.468554,10.580992,33.025673,12.484507,16.932014,37.279827,4.892664,23.795088,20.491024,2.524,11.3475,26.494795,8.722074,36.159435
2019-02-14,16.904205,9.561919,45.846169,24.969368,30.452694,23.223919,94.339996,12.930983,12.748971,9.697976,9.793092,11.464045,8.591989,11.14,15.768581,13.525449,26.859774,10.848149,33.90255,12.588689,16.969408,38.273952,5.177488,24.199511,21.198971,2.6992,11.48822,26.888378,8.767406,36.294567
2019-02-15,16.813272,9.550101,45.904789,24.637165,30.255384,22.978109,94.040001,12.85656,12.640623,9.406177,9.850194,10.752483,8.600471,11.07,15.712463,13.310485,26.61161,10.710524,33.553574,12.866508,17.137701,37.836884,4.973652,23.954977,21.112442,2.7,11.43545,27.382755,8.522607,36.469444
2019-02-18,16.54048,9.446681,45.452526,24.069408,29.56476,22.953201,92.980003,12.884468,12.830232,9.148709,9.957261,10.673421,8.727696,11.17,15.710596,13.370676,26.772186,10.491943,33.016735,13.022781,16.969408,37.914017,5.112272,23.889139,21.049515,2.698,11.253687,26.744385,8.495408,35.968658
