Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DCR-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,FIL-USD,GAS-USD,LINK-USD,LTC-USD,MIOTA-USD,MKR-USD,NEO-USD,REP-USD,THETA-USD,TRX-USD,VET-USD,WAVES-USD,XLM-USD,XMR-USD,XRP-USD,XTZ-USD
2019-01-01,0.042547,164.854599,6.075273,3843.52002,17.464001,0.002392,2.663533,5.227261,140.819412,3.016652,2.291432,0.299371,31.979931,0.369184,461.394714,7.866171,8.195203,0.04969,0.019561,0.004145,3.162524,0.11593,48.367496,0.364771,0.474699
2019-01-02,0.045258,171.827377,6.188613,3943.409424,18.415791,0.002407,2.887629,5.4387,155.047684,3.344247,2.358147,0.316489,33.433681,0.394705,496.909027,8.076462,8.868501,0.050489,0.020222,0.004231,3.153164,0.119331,52.252449,0.375243,0.485319
2019-01-03,0.042682,162.049927,5.903535,3836.741211,18.236917,0.00236,2.681411,5.094617,149.13501,3.337603,2.248181,0.365974,32.026699,0.379233,501.963898,7.67924,8.638993,0.052906,0.020088,0.004051,3.1039,0.113825,49.815357,0.360224,0.482134
2019-01-04,0.043812,161.39563,6.065138,3857.717529,18.562626,0.002315,2.721645,5.254148,154.58194,3.46101,2.244484,0.437175,32.404167,0.377061,498.494354,7.634589,9.245858,0.051363,0.021492,0.004094,3.086819,0.115361,50.630875,0.356747,0.483029
2019-01-05,0.044701,160.401215,6.065543,3845.19458,18.49041,0.002319,2.699468,5.136273,155.638596,3.208686,2.292005,0.395948,34.936867,0.369546,508.891937,7.844755,9.298466,0.050197,0.022294,0.004074,3.073536,0.114046,49.931812,0.355275,0.483224
2019-01-06,0.049261,166.841187,6.395979,4076.632568,19.628544,0.002328,2.875272,5.503687,157.746201,3.307161,2.467518,0.39701,39.298855,0.380924,521.431091,8.64254,9.52725,0.05203,0.023005,0.00434,3.210197,0.120384,54.876587,0.368395,0.484338
2019-01-07,0.047996,161.243973,6.291411,4025.248291,19.065767,0.002285,2.768176,4.915885,151.699219,3.481158,2.433269,0.376474,37.806274,0.367764,492.698486,8.471042,9.395186,0.05154,0.023601,0.004176,2.951987,0.12322,52.826897,0.364347,0.481431
2019-01-08,0.048525,161.912628,6.640054,4030.8479,18.387667,0.002276,2.797585,4.987912,150.359634,3.479402,2.577037,0.424198,39.479717,0.363091,489.260223,9.175762,10.048374,0.050526,0.026336,0.004382,2.887409,0.123119,53.155445,0.365315,0.484993
2019-01-09,0.052169,160.084747,6.64155,4035.296387,19.003344,0.002266,2.912539,4.982934,150.803116,3.408183,2.574128,0.401805,38.985535,0.369409,492.541504,9.201449,9.914944,0.050689,0.028418,0.00477,2.864082,0.123774,52.713856,0.37089,0.495942
2019-01-10,0.044529,134.966797,5.915919,3678.924561,16.489388,0.002132,2.436124,4.431997,128.625183,2.998332,2.19915,0.354604,33.866009,0.312712,437.558197,7.968067,9.119574,0.04473,0.025847,0.004068,2.617751,0.109879,45.496136,0.332652,0.452833
2019-01-11,0.044147,131.668579,6.075342,3687.365479,17.059261,0.002129,2.416931,4.485956,127.548325,3.018783,2.195614,0.444193,32.327629,0.315375,435.951874,7.946219,9.397525,0.046239,0.025128,0.004006,2.595898,0.107332,45.804752,0.332904,0.449763
2019-01-12,0.043704,134.381165,5.976965,3661.301025,17.508684,0.002148,2.427397,4.561171,125.96653,3.113629,2.134292,0.412244,32.384426,0.313771,434.629395,7.751993,9.094035,0.046517,0.0235,0.00402,2.595519,0.106764,45.00779,0.3288,0.424779
